episode,filename,size_bytes,sha256,zip_crc,zip_files,schema_version,title,duration_seconds,cue_count,shot_change_count,shot_segment_count,retained_frames,contact_sheets,audio_file,ja_subtitle,ja_subtitle_format,selected_subtitle_exists,declared_ja_track,ja_metadata_filename_mismatch,en_dialogue,en_spoken,op_ed_dedup_metadata,missing_or_irregular,source_video,selected_subtitle
S03E01,LLS_s03e01_screenshots.zip,170726573,ba6e20dfeb26d973a4593fd46bdf1bcf2125d28afcc6c9d107de58ca61021cb3,PASS,861,2,Love Live! Superstar!!,1423.098,449,393,382,802,41,audio/s03e01.complete-audio.mp3,subtitles/S03E01.ja.corrected.ass,ass,True,S03E01.ja.corrected.ass,False,subtitles/S03E01.en.dialogue.ass,subtitles/S03E01.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 3\Love Live! Superstar!! - S03E01.mkv,subtitles\S03E01.ja.corrected.ass
S03E02,LLS_s03e02_screenshots.zip,174251003,fa246b0bb28c8c7d651902ff7ac34ae35767a54707187671305af15b45cab0c6,PASS,911,2,Love Live! Superstar!!,1422.098,454,422,410,846,47,audio/s03e02.complete-audio.mp3,subtitles/S03E02.ja.corrected.ass,ass,True,S03E02.ja.corrected.ass,False,subtitles/S03E02.en.dialogue.ass,subtitles/S03E02.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 3\Love Live! Superstar!! - S03E02.mkv,subtitles\S03E02.ja.corrected.ass
S03E03,LLS_s03e03_screenshots.zip,172735080,d764af25f9ce46c5ea9b7a05d027851e51089b2172ac9705ea9a3ad707ca985b,PASS,962,2,Love Live! Superstar!!,1423.098,453,438,424,894,50,audio/s03e03.complete-audio.mp3,subtitles/S03E03.ja.corrected.ass,ass,True,S03E03.ja.corrected.ass,False,subtitles/S03E03.en.dialogue.ass,subtitles/S03E03.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 3\Love Live! Superstar!! - S03E03.mkv,subtitles\S03E03.ja.corrected.ass
S03E04,LLS_s03e04_screenshots.zip,153704424,7aae6ed7c6cf3c8cb6ba096a1b21d002a3cf9ec72bb21a1bae54ba51a94808d3,PASS,765,2,Love Live! Superstar!!,1422.098,447,381,369,707,40,audio/s03e04.complete-audio.mp3,subtitles/S03E04.ja.corrected.srt,srt,True,S03E04.ja.corrected.ass,True,subtitles/S03E04.en.dialogue.ass,subtitles/S03E04.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 3\Love Live! Superstar!! - S03E04.mkv,subtitles\S03E04.ja.corrected.srt
S03E05,LLS_s03e05_screenshots.zip,160766094,e11f4e5389f90a002466808d1a06f7bff4da1e5368f1fb1f139a1c360344e39e,PASS,796,2,Love Live! Superstar!!,1423.098,459,389,380,736,42,audio/s03e05.complete-audio.mp3,subtitles/S03E05.ja.corrected.ass,ass,True,S03E05.ja.corrected.ass,False,subtitles/S03E05.en.dialogue.ass,subtitles/S03E05.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 3\Love Live! Superstar!! - S03E05.mkv,subtitles\S03E05.ja.corrected.ass
S03E06,LLS_s03e06_screenshots.zip,182088745,c89dc2d46214f021aafb508054147a930e3017687877b6669d9dc3d14d956e30,PASS,940,2,Love Live! Superstar!!,1422.098,378,436,421,873,49,audio/s03e06.complete-audio.mp3,subtitles/S03E06.ja.corrected.srt,srt,True,S03E06.ja.corrected.ass,True,subtitles/S03E06.en.dialogue.ass,subtitles/S03E06.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 3\Love Live! Superstar!! - S03E06.mkv,subtitles\S03E06.ja.corrected.srt
S03E07,LLS_s03e07_screenshots.zip,157838248,bd3843f006ee6de382ce0e32008710c79f83ad5391dfd4c3c28c761a7473af6b,PASS,778,2,Love Live! Superstar!!,1423.098,443,383,375,719,41,audio/s03e07.complete-audio.mp3,subtitles/S03E07.ja.corrected.srt,srt,True,S03E07.ja.corrected.ass,True,subtitles/S03E07.en.dialogue.ass,subtitles/S03E07.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 3\Love Live! Superstar!! - S03E07.mkv,subtitles\S03E07.ja.corrected.srt
S03E08,LLS_s03e08_screenshots.zip,165059864,dc985b4bcae1c85d6e15892c620fd56d104efeb79d9accb037549eacd826a8dd,PASS,894,2,Love Live! Superstar!!,1422.098,445,436,422,830,46,audio/s03e08.complete-audio.mp3,subtitles/S03E08.ja.corrected.srt,srt,True,S03E08.ja.corrected.ass,True,subtitles/S03E08.en.dialogue.ass,subtitles/S03E08.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 3\Love Live! Superstar!! - S03E08.mkv,subtitles\S03E08.ja.corrected.srt
S03E09,LLS_s03e09_screenshots.zip,162739046,8dd447b180ff37269f3df7681fcd112e2c0fed3aebe5ad4255f8e639b62fc71e,PASS,862,2,Love Live! Superstar!!,1423.098,466,392,383,802,42,audio/s03e09.complete-audio.mp3,subtitles/S03E09.ja.corrected.srt,srt,True,S03E09.ja.corrected.ass,True,subtitles/S03E09.en.dialogue.ass,subtitles/S03E09.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 3\Love Live! Superstar!! - S03E09.mkv,subtitles\S03E09.ja.corrected.srt
S03E10,LLS_s03e10_screenshots.zip,172492430,9ec7f0b22dc1c802b351a362c86665083271595b1f4b326d4e5c61d133d4bbc1,PASS,1020,2,Love Live! Superstar!!,1422.098,438,436,422,950,52,audio/s03e10.complete-audio.mp3,subtitles/S03E10.ja.corrected.srt,srt,True,S03E10.ja.corrected.ass,True,subtitles/S03E10.en.dialogue.ass,subtitles/S03E10.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 3\Love Live! Superstar!! - S03E10.mkv,subtitles\S03E10.ja.corrected.srt
