locator_id	volume	chapter	internal_cbz_image_filename	sequential_page_index	printed_page_if_verified	short_japanese_anchor	panel_spread_description	evidence_type	linked_claim_ids	linked_specialist_document	verification_status	locator_priority	source_evidence_id	claim_linkage_basis	confidence	verification_note
AOT-LOC-01-001	V01	第1話 二千年後の君へ				「いってらっしゃい エレン」 / Eren waking in tears	The opening supplies an unexplained temporal-memory signal rather than contextual exposition.	FP		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_03_MIKASA_ACKERMAN_LOVE_AGENCY_HOME_AND_MEMORY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V01_E001	VOLUME_SPECIALIST_ROUTE	D	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-01-002	V01	第1話 二千年後の君へ					Armin gives positive content to freedom beyond mere resentment of the Walls.	TF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_03_MIKASA_ACKERMAN_LOVE_AGENCY_HOME_AND_MEMORY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V01_E002	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-01-003	V01	第1話 二千年後の君へ				家畜 / birdcage language and imagery	Eren interprets safety without authorship as domestication.	TF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_03_MIKASA_ACKERMAN_LOVE_AGENCY_HOME_AND_MEMORY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V01_E003	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-01-004	V01	第2話 その日				「駆逐してやる!!」	Carla’s death fuses Eren’s prior exploratory desire with total exterminatory purpose.	TF/SI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_03_MIKASA_ACKERMAN_LOVE_AGENCY_HOME_AND_MEMORY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V01_E004	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-01-005	V01	第2話 その日					Their strategic conduct distinguishes them from ordinary Titan behavior without yet explaining identity.	SI/UA		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_03_MIKASA_ACKERMAN_LOVE_AGENCY_HOME_AND_MEMORY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V01_E005	VOLUME_SPECIALIST_ROUTE	C	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-01-006	V01	第3話 解散式の夜					The military incentive system directs excellence away from the most exposed front.	TF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_03_MIKASA_ACKERMAN_LOVE_AGENCY_HOME_AND_MEMORY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V01_E006	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-01-007	V01	第4話 初陣					Eren’s heroism is established through rescue before combat mastery.	TF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_03_MIKASA_ACKERMAN_LOVE_AGENCY_HOME_AND_MEMORY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V01_E007	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-01-008	V01	第4話 初陣					The volume rejects a conventional uninterrupted protagonist-growth arc.	VF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_03_MIKASA_ACKERMAN_LOVE_AGENCY_HOME_AND_MEMORY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V01_E008	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-02-001	V02	第6話 少女が見た世界				「この世界は残酷だ…そして…とても美しい」	Mikasa’s worldview holds cruelty and beauty simultaneously rather than treating beauty as denial.	TF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_03_MIKASA_ACKERMAN_LOVE_AGENCY_HOME_AND_MEMORY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V02_E001	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
AOT-LOC-02-002	V02	第6話 少女が見た世界				「戦え」 and the trafficker scene	Eren’s rescue gives Mikasa agency through a violent command and a new home.	TF/TI		AOT_02_EREN_JAEGER_FREEDOM_DESIRE_CAUSALITY_AND_RESPONSIBILITY.md;AOT_03_MIKASA_ACKERMAN_LOVE_AGENCY_HOME_AND_MEMORY.md;AOT_04_ARMIN_ARLERT_KNOWLEDGE_IMAGINATION_DIALOGUE_AND_RESPONSIBILITY.md	CHAPTER_VERIFIED_PAGE_PENDING	P1	AOT_V02_E002	VOLUME_SPECIALIST_ROUTE	A	Chapter and source object verified; exact image locator not guessed during migration
