canonical_order,story_id,scope,arc_jp,title_jp,scene_count,source_commit,analysis_status,analytical_artifact
1,BA:main:000:001:001,MAIN_V000_C001_E001,プロローグ,,5,cbe3fd623c2aab9e781ba0ce0483bc77c68bff86,deep_reading_complete_active_provisional,BLUE_ARCHIVE_MAIN_V000_C001_E001_DEEP_READING.md
2,BA:main:000:001:002,MAIN_V000_C001_E002,プロローグ,,6,cbe3fd623c2aab9e781ba0ce0483bc77c68bff86,deep_reading_complete_active_provisional,BLUE_ARCHIVE_MAIN_V000_C001_E002_DEEP_READING.md
3,BA:main:001:001:001,MAIN_V001_C001_E001,対策委員会編,第1話;対策委員会へようこそ！,1,cbe3fd623c2aab9e781ba0ce0483bc77c68bff86,deep_reading_complete_active_provisional,BLUE_ARCHIVE_MAIN_V001_C001_E001_DEEP_READING.md
4,BA:main:001:001:002,MAIN_V001_C001_E002,対策委員会編,第2話;アビドスでの初日,4,cbe3fd623c2aab9e781ba0ce0483bc77c68bff86,deep_reading_complete_active_provisional,BLUE_ARCHIVE_MAIN_V001_C001_E002_DEEP_READING.md
5,BA:main:001:001:003,MAIN_V001_C001_E003,対策委員会編,第3話;大人の力ってすごい！,2,cbe3fd623c2aab9e781ba0ce0483bc77c68bff86,deep_reading_complete_active_provisional,BLUE_ARCHIVE_MAIN_V001_C001_E003_DEEP_READING.md
6,BA:main:001:001:004,MAIN_V001_C001_E004,対策委員会編,第4話;委員会の事情,1,cbe3fd623c2aab9e781ba0ce0483bc77c68bff86,deep_reading_complete_active_provisional,BLUE_ARCHIVE_MAIN_V001_C001_E004_DEEP_READING.md
7,BA:main:001:001:005,MAIN_V001_C001_E005,対策委員会編,第5話;セリカの平凡な一日,1,cbe3fd623c2aab9e781ba0ce0483bc77c68bff86,deep_reading_complete_active_provisional,BLUE_ARCHIVE_MAIN_V001_C001_E005_DEEP_READING.md
8,BA:main:001:001:006,MAIN_V001_C001_E006,対策委員会編,第6話;救出作戦！,2,cbe3fd623c2aab9e781ba0ce0483bc77c68bff86,deep_reading_complete_active_provisional,BLUE_ARCHIVE_MAIN_V001_C001_E006_DEEP_READING.md
9,BA:main:001:001:007,MAIN_V001_C001_E007,対策委員会編,第7話;新たなる脅威？,3,cbe3fd623c2aab9e781ba0ce0483bc77c68bff86,deep_reading_complete_active_provisional,BLUE_ARCHIVE_MAIN_V001_C001_E007_DEEP_READING.md
10,BA:main:001:001:008,MAIN_V001_C001_E008,対策委員会編,第8話;便利屋参上！,1,cbe3fd623c2aab9e781ba0ce0483bc77c68bff86,deep_reading_complete_active_provisional,BLUE_ARCHIVE_MAIN_V001_C001_E008_DEEP_READING.md
11,BA:main:001:001:009,MAIN_V001_C001_E009,対策委員会編,第9話;恩知らずの血戦,2,cbe3fd623c2aab9e781ba0ce0483bc77c68bff86,deep_reading_complete_active_provisional,BLUE_ARCHIVE_MAIN_V001_C001_E009_DEEP_READING.md
12,BA:main:001:001:010,MAIN_V001_C001_E010,対策委員会編,第10話;手がかりを探して,1,cbe3fd623c2aab9e781ba0ce0483bc77c68bff86,deep_reading_complete_active_provisional,BLUE_ARCHIVE_MAIN_V001_C001_E010_DEEP_READING.md
13,BA:main:001:001:011,MAIN_V001_C001_E011,対策委員会編,第11話;ブラックマーケットへ（１）,2,cbe3fd623c2aab9e781ba0ce0483bc77c68bff86,deep_reading_complete_active_provisional,BLUE_ARCHIVE_MAIN_V001_C001_E011_DEEP_READING.md
14,BA:main:001:001:012,MAIN_V001_C001_E012,対策委員会編,第12話;ブラックマーケットへ（２）,1,cbe3fd623c2aab9e781ba0ce0483bc77c68bff86,deep_reading_complete_active_provisional,BLUE_ARCHIVE_MAIN_V001_C001_E012_DEEP_READING.md
15,BA:main:001:001:013,MAIN_V001_C001_E013,対策委員会編,第13話;出動！覆面水着団（１）,1,cbe3fd623c2aab9e781ba0ce0483bc77c68bff86,deep_reading_complete_active_provisional,BLUE_ARCHIVE_MAIN_V001_C001_E013_DEEP_READING.md
