block_no,block,source_range,nearest_anime_anchor,relation,major_expansion_or_shift,continuity_status
1,Shine Purity,st-original-cmn-01-01-01..06,E01-E02,"DIRECT_RETELLING;EXPANDED_MAKINO_POV;INFORMATION_ORDER_SHIFT","Makino/Mana school-to-manager interiority; transplant and heart-guidance front-loaded","order shift"
2,Short Goodbye,st-original-cmn-01-01-07..11,E02-E03,"DIRECT_RETELLING;ADDED_SCENE_OR_CONTEXT;EXPANDED_MAKINO_POV","slower member intake; dorm/local Hoshimi history; managerial design uncertainty","compatible expansion"
3,like the Sun/Moon,st-original-cmn-01-01-12..16,E03-E05,"EXPANDED_MAKINO_POV;ADDED_SCENE_OR_CONTEXT;EXPLICITATED_MOTIVE","group-design mistakes; quieter-member differentiation; collective singing preference","compatible expansion"
4,Strange One,st-original-cmn-01-01-17..21,E04+E07,"DIRECT_RETELLING;INFORMATION_ORDER_SHIFT;EXPANDED_MAKINO_POV","Mei recruitment plus Grand Prix restoration introduced earlier","order shift"
5,The Sun Moon and Stars,st-original-cmn-01-01-22..28,E04-E06,"DIRECT_RETELLING;GAME_ADDED_MANAGER_ARC;ADDED_SCENE_OR_CONTEXT","Rei recruitment; Makino overwork/collapse; group debut as birth cry","compatible expansion"
6,to Trust One,st-original-cmn-01-02-01..05,E05,"GAME_ORIGINAL_CHARACTER_ARC;EXPLICITATED_MOTIVE;EXPANDED_MAKINO_POV","Rei: dance-first vocation; LizNoir benchmark; trust vs overintervention","compatible expansion"
7,Drop of Smile,st-original-cmn-01-02-06..10,E05,"GAME_ORIGINAL_CHARACTER_ARC;ADDED_SCENE_OR_CONTEXT","Shizuku/Chisa confidence and media/fandom arc","compatible expansion"
8,Make up her Mind,st-original-cmn-01-02-11..15,"Haruko context; no close anime equivalent","GAME_ORIGINAL_CHARACTER_ARC","Haruko musical-theatre career fork; finite idolhood; manager ethics","compatible expansion"
9,With a Will,st-original-cmn-01-02-16..20,"Nagisa context; E03-E06","GAME_ORIGINAL_CHARACTER_ARC;ADDED_CROSS_UNIT_CONTEXT","Nagisa independent idol identity; TRINITYAiLE comparative model","compatible expansion"
10,Proud Lady,st-original-cmn-01-02-21..25,"Suzu + E10 Rui material","GAME_ORIGINAL_CHARACTER_ARC;INFORMATION_ORDER_SHIFT","Suzu family/finance/work arc; Rui-Asakura father reveal much earlier","order shift"
11,Resolution,st-original-cmn-01-02-26..30,E04+E07+E09,"DIRECT_RETELLING_SEED;GAME_ORIGINAL_MEI_MANA_ARC","extended Mei/Mana ordinary friendship; secrecy rationale; Mei idol aspiration","compatible expansion / order shift"
12,Dear My Sister,st-original-cmn-01-02-31..39,E05+E07,"DIRECT_RETELLING_THEME;GAME_ORIGINAL_EXPANSION","bilateral Saki/Chisa individuation; Sumire mentorship","compatible expansion"
13,Sunlight,st-original-cmn-01-02-40..45,E07-E08,"DIRECT_RETELLING;EXPANDED_MAKINO_POV","hospital follow-up; confidentiality; ghost warmth clue; Makino medical memory","compatible expansion"
14,Successor of Miracle,st-original-cmn-01-03-01..05,E08,"DIRECT_RETELLING;EXPANDED_INTERIORITY","successor discourse; Sakura self-distortion; Kotono lost-song transfer","compatible expansion"
15,Sorrows of Orpheus,st-original-cmn-01-03-06..10,E08,"DIRECT_RETELLING;EXPANDED_GROUP_RESPONSE","Kotono purpose crisis answered by Tsuki social scaffolding","compatible expansion"
16,"Cherry,Worry",st-original-cmn-01-03-11..15,E08-E10,"DIRECT_RETELLING;ADDED_COMPETITIVE_CONTEXT","public Mana-revival label; SUNNY PEACE group individuation","compatible expansion"
17,Beat Meets,st-original-cmn-01-03-16..20,E09,"DIRECT_RETELLING;EXPANDED_MAKINO_ETHICAL_CRISIS","fear of Sakura will being overwritten; ghost-heart linkage; Makino cost","compatible expansion"
18,Idoly Pride,st-original-cmn-01-03-21..25,E09,"DIRECT_RETELLING;EXPLICITATED_METAPHYSICS_ETHICS","anti-substitution; heart/personhood; Makino theorizes Mana fading","compatible expansion"
19,Still Live,st-original-cmn-01-04-01..05,E09-E11,"RETELLING_RESEQUENCING;ADDED_SCENE_OR_CONTEXT","quarterfinal aftermath; Tsuki textual goodbye rupture; Sunny songwriting; last-homework setup","resequenced"
20,on My Way,st-original-cmn-01-04-06..10,E11,"DIRECT_RETELLING_CORE;EXPANDED_DIALOGUE_INTERIORITY","Kotono one-way closure; Rio origin/rivalry; Makino non-jurisdiction","compatible expansion"
21,Glory Days,st-original-cmn-01-04-11..15,E10-E11,"RETELLING_RESEQUENCING;EXPANDED_RIVAL_CONTEXT;EXPANDED_MAKINO_POV","semifinal integration; self-written Sunny song; Mana disappears after semis","material resequencing"
22,Last Step,st-original-cmn-01-04-16..20,E12,"EXPANDED_MAKINO_POV;RETELLING_RESEQUENCING","post-death grief memoir; classroom ghost onset; Mana dream/confession before final","material resequencing"
23,Pray for you,st-original-cmn-01-04-21..24,E12,"RETELLING_CONTINUITY_VARIANT;EXPANDED_MAKINO_POV","planned ten-person final; Sayonara shared performance; First Step encore; no reproduced anime tie architecture","continuity variant"
