case_id	primary_pressure	secondary_pressure	pressure_domain	work_type	confidence	evidence_pointer	notes	next_action	parodic	notes
DJFW_CASE_0001	professional/service-skill pressure	Takina jealousy/direct preference; Chisato role-flexibility under embarrassment	romantic / erotic / comic / institutional parody	institutional-training comedy	medium_high	case reading sections 3-5	DA utilitarianism literalized as intimate training skill.	Compare with future Lycoris training/mission fanworks.		
DJFW_CASE_0002	costume/body-premise pressure	Producer-access romantic familiarity	romantic / erotic / character-image	costume-triggered intensification	high	reading 13BuHxC1io1nu_PH_OLkYs47eYr4j7iTb; afterword p067	Narrow Minami register; author explicitly recognizes character-collapse risk.	Compare against 0003-0005 telomereNA transformations.		
DJFW_CASE_0003	role-performance pressure	master/servant private role intensification	romantic / erotic / performed social role	maid-role transformation	high	reading 1pnpnXVvKoJCI2JAH0NYbP9G_uke05djr; afterword p067	Transformation retains ordinary Minami/P as substrate and explicitly requires diegetic time for stronger change.	Use as role-performance benchmark.		
DJFW_CASE_0004	ongoing-intimacy accumulation	ordinary-life resets across long compilation	romantic / erotic / temporal continuity	accretive relationship continuity	high	reading 1wNIxtxqfQ6kOo1DzqINQev-CsjSZ2c0q; afterword p106	Duration preserves pair continuity but not uniformly deep characterization; author describes scene-added production.	Use as duration/continuity comparator.		
DJFW_CASE_0005	private-adulthood / self-authorization pressure	romantic vacation frame and birthday/adulthood symbolism	romantic / adulthood / desire	adult-romance intensification	high	reading 1jou_7pnJHL2-VC-DszBVIPLB4I-bvh2W; afterword p040	Strongest quartet adult/desire case; audited baseline means intensification of existing self-authorship, not its creation.	Use as strongest telomereNA autonomy comparator.		
DJFW_CASE_0006	frailty/bodily consequence pressure	externally introduced pharmacological mechanism	body / risk / dark comedy	frailty-collapse negative control	high	reading 1xzAo58DzPoMS0DHWPc3DdM1Xj_t3A3xL	Uses real body limit but removes chosen difficulty and accountable relationship.	Retain as negative control.		
DJFW_CASE_0007	ontological AU transformation	folklore-horror / spirit-medium vocation	occult / vocational / relational	transformative AU	high	reading 1JDkoHmW68v91EoefFS1kaTWH0DoFoOEf	Frailty, calm, impossible-experience appetite, charisma, and Producer attachment are structurally translated rather than discarded.	Use as long-form AU benchmark.		
DJFW_CASE_0008	anthology motif pressure	body/accessory micro-premises	roster / erotic / microform	motif-first anthology micro-fidelity	high	reading 1H2w_TEQOr0mIukg7JYduZdYlE2BgCpz0	Two adjacent Hiro segments preserve evaluative calm but lack longitudinal room.	Use as anthology micro-fidelity comparator.		
DJFW_CASE_0009	romantic/erotic anthology pressure	frailty + shared-dream + reciprocal-constraint compression	romantic / relational / microform	short-form relational intensification	high	reading 1mqpgYimEyitiIOgx_lW8P2D_EfbOvVxh; mapped mameojitan p19-p26	Despite anthology pressure, the Hiro segment preserves accountable difficulty unusually well.	Use as short-form Hiro benchmark.		
DJFW_CASE_0010	creator-machine / interchangeable-role pressure	visual roster identity without voice/decision dependency	categorical negative control	subjecthood-erasing artist-machine grammar	high	reading 1H8sBFuZT85996KCEMyHRh5wbT0SXcDO3	Character identity is functionally replaceable; Hiro cameo changes metadata, not authorship judgment.	No explicit OCR/transcription.		
