retrieval_id	source	locator	anchor	evidence_class	category	retrieval_note
V01-L011	V01	p-008.xhtml ¶266	名前さえ、一回だって訊いたことがない	CS/LI	MEMORY_NAMING_DEAD	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V01-L020	V01	p-014.xhtml ¶084–090	存在証明 / 登り方は選べる	CS	IDENTITY_REVISION_CONTROL	Sector pride begins as self-authorship under a regime denying personhood; this is the positive baseline later critiques must preserve.
V01-L026	V01	p-018.xhtml ¶343	生きているからどんどん変わって	NV	IDENTITY_REVISION_CONTROL	Living change is already contrasted with fixation, but later volumes show change is not the only morally significant property.
V02-L019	V02	p-005.xhtml ¶497	人は常に、その人唯一つの存在	CS	IDENTITY_REVISION_CONTROL	Irreplaceable singular personhood prevents pride/function from becoming pure fungibility.
V02-L028	V02	p-006.xhtml ¶429–434	哀れみの檻	CS/LI	CURSE_BINDING_ENCLOSURE	Care can become enclosure when it vetoes competent departure; an early structural cousin of later curse language.
V02-L031	V02	p-006.xhtml ¶497–507	選べる道はなるべく多い方がいい	CS	IDENTITY_REVISION_CONTROL	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V02-L034	V02	p-007.xhtml ¶376–387	名前、聞かなければよかったな / お人好しの死神	CS/LI	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V02-L050	V02	p-009.xhtml ¶081–089	鮮血の女王 calls all Processors	BA/MI	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V03-L001	V03	p-001.xhtml ¶001–002	それが誇りだと / それ以外の何も	NV/PT	PRIDE_DIGNITY_IDENTITY	The epigraph already qualifies pride by noting how little else the Eighty-Six know.
V03-L012	V03	p-006.xhtml ¶054	戦い抜く誇りしか、おれ達にはない	NV	PRIDE_DIGNITY_IDENTITY	Pride becomes dangerous through exclusivity: pride is all that remains.
V03-L016	V03	p-006.xhtml ¶147	目的もなく帰る地もなく、誇りだけに縋って	CS	PRIDE_DIGNITY_IDENTITY	Kiriya supplies the nightmare endpoint of pride without home, purpose, or alternative identity.
V03-L030	V03	p-010.xhtml ¶116	手に入れた“自由” / あまりにも大きな空虚	NV	IDENTITY_REVISION_CONTROL	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V03-L033	V03	p-010.xhtml ¶149	共に行く者どもを支えとすればよい	CS	IDENTITY_REVISION_CONTROL	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V03-L034	V03	p-011.xhtml ¶179	もうこれしかないからだ	NV	IDENTITY_REVISION_CONTROL	Shin parallel: battle becomes what remains when other ends are absent.
V03-L044	V03	p-013.xhtml ¶106–110	忘れないでと、言われましたから / 忘れたくないから	CS/LI	MEMORY_NAMING_DEAD	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V04-L021	V04	p-008.xhtml ¶361	最後に記憶野を破壊してる	PF/LI	MEMORY_NAMING_DEAD	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V04-L029	V04	p-009.xhtml ¶490	今。完全に忘れていた	NV/LI	MEMORY_NAMING_DEAD	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V04-L042	V04	p-012.xhtml ¶208	憎まないために、全てを忘れた	NV/IT	MEMORY_NAMING_DEAD	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V05-L019	V05	p-005.xhtml ¶791	忘れないまま...好きになってもいい	CS	MEMORY_NAMING_DEAD	Remembering the dead need not prohibit new attachments; additive inheritance replaces exclusivity.
V05-L021	V05	p-005.xhtml ¶930–931	檻の扉は開いた / 何処にも行かないことだって、自由	CS/LI	CURSE_BINDING_ENCLOSURE	Freedom includes staying by choice once the cage is open; exit-capability matters more than movement itself.
V05-L023	V05	p-006.xhtml ¶682	未来などない。課された役目しかない	CS/LI	ROLE_IDENTITY	Assigned role as the only future is the Sirin-side negative control.
V05-L035	V05	p-007.xhtml ¶286	わたくしたちの存在はただ、人のために	CS	IDENTITY_REVISION_CONTROL	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V05-L042	V05	p-009.xhtml ¶333–336	英雄とはもはや、弱者の戦術だ	NV/LI/MI	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V06-L012	V06	p-004 ¶416	「あんたたちエイティシックスが、自分をエイティシックスだって言う時。自分たち...	CS/IT	IDENTITY_REVISION_CONTROL	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V06-L019	V06	p-004 ¶749	そう、傷だろう。レーナたち共和国が刻み込んだ、これ以上ないくらいに深い傷だ。...	NV/IT	WOUND_TRAUMA_REMAINDER	A wound can remain historically real without being something another person is entitled to remove.
V06-L047	V06	p-007 ¶666	必ず帰ると。話をしようと。傷つけたのを謝ることさえ自分はできていないのに、こ...	NV	WOUND_TRAUMA_REMAINDER	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V06-L053	V06	p-007 ¶818	「だから何だ？ お前たちの矜持なんて知ったことじゃない。戦い抜くのが誇りだと...	CS/LI	PRIDE_DIGNITY_IDENTITY	Shin retains pride while rejecting outsiders claim to define what that pride must require.
V06-L061	V06	p-009 ¶96	結んだ絆が途切れたわけでもなく、別れを迎えたわけですらないのだろうけれど、そ...	NV/IT	BOND_WISH_PROMISE	Bonds can persist despite different destinations, a direct alternative to relational enclosure.
V07-L001	V07	p-001.xhtml ¶1	彼らはもはや、英雄なれば	PT/NV	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V07-L002	V07	p-004.xhtml ¶22	英雄など今の世に、あるべきではない	CS/MI	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V07-L013	V07	p-007.xhtml ¶375	共和国人で、同時におれたちエイティシックスの女王	CS/LI	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V07-L014	V07	p-007.xhtml ¶391	英雄であり続けなければならぬ部隊	CS/LI	ROLE_IDENTITY	Hero identity becomes dangerous when an institution requires a unit to remain heroic permanently.
V07-L024	V07	p-008.xhtml ¶100	わたしにはこれしかないんです	CS/LI	IDENTITY_REVISION_CONTROL	Lena reproduces the earlier “only this” enclosure through guilt and command identity.
V07-L025	V07	p-008.xhtml ¶120	間違いも無力も後悔も、──その先の決断も	CS/LI	IDENTITY_REVISION_CONTROL	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V07-L037	V07	p-009.xhtml ¶98	背中の傷跡の治療を始めていた	PF	WOUND_TRAUMA_REMAINDER	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V07-L039	V07	p-009.xhtml ¶233	化物でもなければ、英雄でもない	NV/LI	ROLE_IDENTITY	The text explicitly refuses both monster and hero essence.
V07-L047	V07	p-009.xhtml ¶564	約束をしたのだから	NV	BOND_WISH_PROMISE	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V08-L027	V08	p-006.xhtml ¶365	戦い抜く誇り以外に	NV/LI	PRIDE_DIGNITY_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V08-L033	V08	p-008.xhtml ¶95	誇りしかないとはもう言わない	CS/LI	PRIDE_DIGNITY_IDENTITY	Shin explicitly revises the “pride only” formulation without repudiating pride itself.
V08-L039	V08	p-011.xhtml ¶54	しっかりしろよ女王陛下ァ	CS/LI	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V08-L044	V08	p-011.xhtml ¶326	その役目を僕が継ぐ	CS/LI	INHERITANCE_TRANSMISSION	Theo chooses to inherit Shin’s battlefield role, showing transmission can be voluntary but still risky.
V08-L046	V08	p-011.xhtml ¶539	誇り以外の懊悩も感情も欲も願いも	NV/LI	PRIDE_DIGNITY_IDENTITY	Reverse Tower permits pride plus other feelings, wants and wishes; plurality is the corrective.
V08-L050	V08	p-011.xhtml ¶681	帰らないと	CS/LI	IDENTITY_REVISION_CONTROL	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V08-L051	V08	p-011.xhtml ¶682	どこかに見つけて。作って	NV/LI	IDENTITY_REVISION_CONTROL	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V08-L053	V08	p-011.xhtml ¶703	幸福にならねばならないという呪い	NV/LI	CURSE_BINDING_ENCLOSURE	Theo converts inherited obligation into a self-conscious curse toward happiness, showing inherited demands can be reauthored.
V09-L001	V09	p-001 ¶1	誇り。願い。絆。祈り。あるいは──呪い。	NV/LI	CURSE_BINDING_ENCLOSURE	The volume’s governing taxonomy explicitly places pride, wish, bond, prayer and curse on a continuum of binding meaning.
V09-L008	V09	p-004 ¶312	戦うしかないんだよ	CS	IDENTITY_REVISION_CONTROL	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V09-L009	V09	p-004 ¶313–314	誇りしかない	CS/LI	PRIDE_DIGNITY_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V09-L012	V09	p-004 ¶527–534	囚われるのをやめるだけ / 願いみたいなものでしょ	CS/LI	CURSE_BINDING_ENCLOSURE	A dead person’s wish may temporarily scaffold Theo until it becomes binding; support and curse are distinguished by foreclosure.
V09-L039	V09	p-010 ¶446	戦場で生きて戦場で死ぬのが──貴方たちの唯一の、運命	CS/LI	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V09-L040	V09	p-010 ¶450–452	貴方たちは英雄なんかじゃない	CS/LI	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V09-L041	V09	p-010 ¶470	それが誇りだからであって運命だからではない	CS/LI	PRIDE_DIGNITY_IDENTITY	Pride is chosen conduct, not metaphysical destiny.
V09-L043	V09	p-010 ¶490	その運命を、その傷を棄てられるわけがない	CS/LI	WOUND_TRAUMA_REMAINDER	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
V09-L051	V09	p-011 ¶275	奴隷の首輪だ	CS/LI	CURSE_BINDING_ENCLOSURE	Heroic role can become a slave collar when human worth depends on continuing the role.
V09-L052	V09	p-011 ¶282–290	たった一つの御役目 / 同じ傷	CS/LI	WOUND_TRAUMA_REMAINDER	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
