source_id	logical_identity	duration_seconds	global_rms_dbfs	sample_peak_dbfs	one_second_rms_p10_dbfs	one_second_rms_median_dbfs	one_second_rms_p90_dbfs	one_second_dynamic_span_p90_minus_p10_db	one_second_near_silence_percent_below_minus45_dbfs
AV-TSUB-001	dear_000	232.989025	-24.505644	-3.023984	-32.222796	-25.646517	-20.977669	11.245128	2.155172
AV-TSUB-002	dear_001_010	3151.000000	-26.839731	-4.028282	-35.233821	-27.690357	-23.660903	11.572918	3.587302
AV-TSUB-003	dear_011_020	3448.697324	-23.664273	-2.148951	-30.830238	-24.273791	-20.701851	10.128388	2.175174
AV-TSUB-004	dear_021_027	3006.357188	-22.533985	-2.390246	-31.796198	-23.344122	-19.297136	12.499063	2.461743
AV-TSUB-005	produce_outings_20	1343.344036	-40.243954	-19.492402	-45.416684	-41.705882	-37.070370	8.346314	11.764706
AV-TSUB-006	song_commu_rironbusou	357.494422	-27.209931	-5.509503	-34.771248	-28.261117	-23.843031	10.928217	0.840336
AV-TSUB-007	song_commu_kurai_ai	483.137596	-26.963988	-8.804631	-34.560349	-28.447294	-23.274225	11.286124	1.035197
AV-TSUB-008	song_commu_campus_mode	649.113832	-26.628743	-8.894207	-35.176756	-27.751989	-23.393804	11.782952	0.770416
AV-TSUB-009	performance_kurai_ai	156.804354	-16.766574	-1.940984	-23.514683	-16.277421	-15.461746	8.052937	5.128205
AV-TSUB-010	performance_campus_mode	161.285805	-17.880360	-1.563185	-24.663870	-17.765441	-16.351460	8.312410	6.211180
AV-TSUB-011	official_mv_rironbusou	214.645261	-12.202277	-0.255268	-17.983702	-12.071801	-10.257526	7.726175	3.271028
AV-TSUB-012	performance_rironbusou	157.895692	-18.211658	-0.382309	-26.030838	-17.809626	-16.502001	9.528836	5.732484
AV-TSUB-013	event_sena_tsubame_daily	1300.131701	-26.360970	-8.483399	-33.210345	-26.558266	-23.559328	9.651017	1.461538
AV-TSUB-014	support_yatto_mitsuketa	302.347029	-25.434567	-3.981623	-32.394554	-25.547198	-22.835450	9.559104	0.331126
