locator,spine_ordinal,printed_page,image_member,image_sha256,review_method,reviewer,disposition,content_summary,evidence_ids,reason,uncertainties
UA:s0001,1,,OPS/images/08880719880264315501_cover.jpg,0d2a3ebe307b5c0db8d7d9234dce7715ceee5b11012240ea05b5c486ac86783c,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_NO_MATERIAL_ADDITION,Official cover: Horikoshi credit; hero/student ensemble in action.,,Source identity and presentation; no new narrated behavior.,
UA:s0002,2,,OPS/images/08_880719_880264_1_dorigin_01_001.jpg,3c6894e02136b00e2d30caf82810b393edab91abe551319daa309f1603785a64,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,Fiction disclaimer and explicit notice of re-editing for digital distribution.,SUP-UA-002-01,Supports edition caution; does not date individual revisions.,
UA:s0003,3,,OPS/images/08_880719_880264_3_003_001.jpg,5c022294b779243cb947a13c91cdfabc1252c9cd8aa2e1d7dbb6f048e62fb073,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_NO_MATERIAL_ADDITION,"Japanese title page, Horikoshi credit, small Deku and large smiling All Might.",,Title/illustration framing supplies no independent new character conduct.,
UA:s0004,4,004,OPS/images/08_880719_880264_3_004_001.jpg,2fac52cf098d6d507da6275394e3b88884332c663e9442442e0d32bd8405a2ec,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_DUPLICATE,Reprinted WJ2014 issue32 cover: Deku with notebook amid pupils and working heroes.,,Explicitly credited magazine-cover reprint; no independent character event.,
UA:s0005,5,005,OPS/images/08_880719_880264_3_005_001.jpg,074beb89601a8dbb1de62cbcbf1a9094039d38eb9b7edc804ba45e5a7f265c59,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,WJ2015 issues15/35/19 artwork; paired All Might/Deku and Endeavor/Shoto arrangements.,SUP-UA-005-01,"Comparative mentorship imagery is usable as dated visual paratext, not a depicted meeting or new behavioral observation.",
UA:s0006,6,006,OPS/images/08_880719_880264_3_006_001.jpg,8f149773587b6f23d70de4761a76e82995a82f408512342b5c5734e98fc94a7d,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_DUPLICATE,"WJ2015 issue49 opener: smiling All Might/Deku, raised fists.",,Credited color-art reprint; reinforcement of aspirational pairing without new event.,
UA:s0007,7,007,OPS/images/08_880719_880264_3_007_001.jpg,3278ca80f862997546649d85ad41e2466334c85a8726a8ebc3694400bc18d1ba,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_DUPLICATE,Master and Pupil: All Might/Deku art credited WJ2014 issues47/33 and WJ2015 issue3.,,Credited reprinted art; repeats aspirational partnership without new narrated behavior.,
UA:s0008,8,008,OPS/images/08_880719_880264_3_008_001.jpg,e812fa67c23d7b667289a837e01b2eef970cb314f5aa14a8509f744be07262e8,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_DUPLICATE,"Group celebration/formal clothing, finger-puppet-like ensemble and action color art; WJ2015 issues35/46 and WJ2016 issue09.",,Magazine illustration reprints; convivial grouping is not an independently dated social event.,
UA:s0009,9,009,OPS/images/08_880719_880264_3_009_001.jpg,29288977a04cccda3cc4ef656df9d37ebdb0521e975e14ceac122e39d1e7825f,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_DUPLICATE,"REST: female pupils in a locker-room illustration, WJ2015 issue25.",,Reprinted ordinary-space image; no dialogue or behavioral sequence establishes a new conditional policy.,
UA:s0010,10,010,OPS/images/08_880719_880264_3_010_001.jpg,84d0962fabb0214624b2edffc8a486c9e3a229d5ed0c2979704426f9063f490d,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_DUPLICATE,"Pussycats and Deku in cat-themed poses, WJ2016 combined issues5–6.",,Promotional reprint; does not by itself establish a specific visit or lasting habit.,
UA:s0011,11,011,OPS/images/08_880719_880264_3_011_001.jpg,d39ce8980f60f0759fdef97b98429991f9ec8fb71d6384f9d728f2a73a034601,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_DUPLICATE,"Reliable Friends: action/adventure and military-styled ensemble illustrations, WJ2015 issues3/46.",,Genre-costume/grouping imagery; not literal main-continuity missions.,
UA:s0012,12,012,OPS/images/08_880719_880264_3_012_001.jpg,58435e8aab3cc2f09b770e3d306a59c5e607c47eb8ad3bb284a72ad0d81eff4a,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Determination: Shoto covers one side of his face, Bakugo protests on podium, Deku and rivals in action; WJ2015 issues16/49/27 and WJ2014 issue41.",SUP-UA-012-01,Editorial grouping supports a dated visual comparison; no fresh observation independent of the credited artwork.,
UA:s0013,13,013,OPS/images/08_880719_880264_3_013_001.jpg,8b6b0d2d2674f0775455182398059942991dfbfa33a9762a3e7af6e1a6b5578a,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_DUPLICATE,"Full class action portrait, WJ2014 issue46 opener.",,Credited color-art reprint; no additional dialogue or event sequence.,
UA:s0014,14,014,OPS/images/08_880719_880264_3_014_001.jpg,e259c9f1db112956e75a26063f39479ce364e142a26322e50f1a035cbbaefa9a,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_DUPLICATE,"OUTBREAK spread, student/All Might half opposite villain half at s0015.",,"WJ2016 issue9 two-page reprint; opposing ensemble composition, not independent battle outcome.",
UA:s0015,15,015,OPS/images/08_880719_880264_3_015_001.jpg,666651d3d95f8b97a31ba040a1e63d3f1eaadaf46bba5b8b544c6a1a96a703b4,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_DUPLICATE,OUTBREAK spread villain/AFO half; caption WJ2016 issue9.,,Same spread as s0014; depicted grouping does not establish every member's motives or knowledge.,
UA:s0016,16,016,OPS/images/08_880719_880264_3_016_001.jpg,ac7acb712ef2e4d245e330af45c99ed0162b28627ee7f955d7886e566c71972f,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_DUPLICATE,"Villains: Shigaraki/Nomu/Kurogiri and Stain facing Iida, WJ2014 issue52 and WJ2015 issue40.",,Credited reprint compositions reinforce existing antagonistic confrontations.,
UA:s0017,17,017,OPS/images/08_880719_880264_3_017_001.jpg,3d6a824f546f558ad98d6e209bdda34dd06d3122b54df54401539280e8f62db9,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_DUPLICATE,"Deku/Uraraka/Bakugo posed on mechanical debris, Next2014 vol4.",,"Credited magazine illustration, not a dated shared event.",
UA:s0018,18,018,OPS/images/08_880719_880264_3_018_001.jpg,0afc35d8e9a30b0f7bc3a308f0ef1f2fd2a45f1d6b9fe2de6b1f8f509677bc1c,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_DUPLICATE,"To The Future: ensemble running with horse, WJ2015 issue11; Deku/All Might with fantastical vehicle, Next2015 vol4.",,Credited alternative adventure imagery; no literal main-continuity equipment or event inferred.,
UA:s0019,19,,OPS/images/08_880719_880264_1_019_001.jpg,b060ab4fb4b8b3647c542b801d593043f5f076d3c4ba74b72790d1692fcfb367,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"HERO is… montage: admiration, limelight, pre-reflective rescue, intimidating foes, arriving in crisis, and comic popularity with girls.",SUP-UA-019-01,Editorial definitions use manga excerpts and humor; preserve competing motives without treating all labels as equally endorsed.,
UA:s0020,20,,OPS/images/08_880719_880264_1_020_001.jpg,a0d986623484ba39a1bbd46b3fe3505646b07b3c1ccaf6522598abe54b86f102,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,Contents: photographs004; students021/022/062/084/096; pros103; villains141; school163; appendix175; interview176; Horikoshi bonus185; Neda studio190; galleries192/202.,,Book topology and contributor distinctions belong to source audit.,
UA:s0021,21,,OPS/images/08_880719_880264_1_021_001.jpg,0bd2b889ce4e62db4c9067067c8c0de0f8432f58dc0609c6e6ae68fc0c55dab2,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_NO_MATERIAL_ADDITION,NEW HEROES section front: Class1-A-centered account of aspiring next-generation heroes.,,"Section scope, not completed professional status.",
UA:s0022,22,022,OPS/images/08_880719_880264_1_022_001.jpg,5300ff62baa19c974b64cb7b2b5c6a8772ecf806346f9937bd7e3db8ab4d8809,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Midoriya profile: timid/easily frightened but strong justice; likes katsudon; birthday7/15,166cm,O,Shizuoka area; ratings E/E/B/B/A; All Might acquaintance comment calls him action-oriented otaku who earned power through effort and jokingly denies favoritism.",SUP-UA-022-01; SUP-UA-022-02,"Separate factual preference, dated ratings and attributed mentor judgment.",
UA:s0023,23,023,OPS/images/08_880719_880264_1_023_001.jpg,88d563c7861dfee1a1e3b0217f83ca410505bba5586b767ea1bc9c1e2a704c98,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"OFA(?) ability/damage summary; heroic suitability as self-sacrifice and acquired analytical skill; Gran Torino comment moves from unreliable-looking first impression to sharpness/improved control, ends who-are-you gag.",SUP-UA-023-01,Manga excerpts are dependent evidence; editorial valuation and attributed learning assessment are separate.,
UA:s0024,24,024,OPS/images/08_880719_880264_1_024_001.jpg,d75312bef6ccb29583672f274aaedaa3f5b8753f81effa25ad1645e582cf9439,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Bakugo profile: gifted combatant, pride/aggression/quick anger; likes spicy foods and climbing; birthday4/20,172cm,A,Shizuoka area; hit-and-away; A/B/A/B/E; Kirishima's qualified not-bad-at-root comment and dislike of speech-created enemies.",SUP-UA-024-01; SUP-UA-024-02,Ordinary preference and relationship-specific judgment; no absolution or endpoint extension.,
UA:s0025,25,025,OPS/images/08_880719_880264_1_025_001.jpg,c25339619ebea40cdca0e6fce2c699111feacc5aa61ba47df7ec30a87dc8275c,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Explosion mechanism, storage gauntlets, tactical adaptability; suitability criticizes belittling others. Best Jeanist says rare intense youths make mentoring rewarding and recall what hero activity means to him.",SUP-UA-025-01,"Material profile, speaker-specific or editorial evidence retained with separate authority/time effects.",
UA:s0026,26,026,OPS/images/08_880719_880264_1_026_001.jpg,fa0b12d1a6460a6d85bb4e90f7cde27d4d8eebc1ade59f0e28df32f9b6f5233a,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Uraraka moved to attend U.A. and currently lives alone; sometimes speaks dialect, likes mochi; personal likes starry skies/Japanese food;12/27,156cm,B,Mie. Midoriya calls her kind/family-minded, his friend since entrance, gets embarrassed.",SUP-UA-026-01; SUP-UA-026-02,"Material profile, speaker-specific or editorial evidence retained with separate authority/time effects.",
UA:s0027,27,027,OPS/images/08_880719_880264_1_027_001.jpg,19b71bd5fa5660287a79b57bedc7c88c60331be1c9310110f6054741553acd9c,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,Zero Gravity ~3t limit with nausea; courage suppresses fear against strong opponent; family poverty/parents' comfort motivate work. Gunhead praises toughness using gendered wording and hopes she joins his agency.,SUP-UA-027-01; SUP-UA-027-02,"Material profile, speaker-specific or editorial evidence retained with separate authority/time effects.",
UA:s0028,28,028,OPS/images/08_880719_880264_1_028_001.jpg,c1e655bf15d8fcc3c75efb11047bbd8aae5956207c539d50ba25e7454a8bf9c0,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Iida class organizer; early revenge after brother's attack and recovery acknowledged;8/22,179cm,A,Tokyo; likes studying/beef stew. Midoriya revises scary first impression to seriousness and admires class management.",SUP-UA-028-01; SUP-UA-028-02,"Material profile, speaker-specific or editorial evidence retained with separate authority/time effects.",
