retrieval_id	source	locator	anchor	evidence_class	category	status	retrieval_note
T01-V01-NR2	V01	item/xhtml/p-014.xhtml para 363	準備はこれで、全て整った。あとは踏ふみ出だせばもう後退は許されない。作戦発動と同時に彼らの軍ぐん籍せきと国軍本部の友軍機登録は抹まつ消しようされ、管制用に残されたハンドラーとの...	MI/NV	BLOCKED_RETURN	RETAINED_FROM_T01	Once Special Recon begins, rear fire and erased friendly registration make retreat institutionally impossible.
V01-L014	V01	p-008.xhtml ¶489	必ず生きて、帰らないと	CS	KIN_RETURN	RETAINED_FROM_T01	Rei frames continued life as obligation to return to his younger brother.
T04-V01-NR001	V01	item/xhtml/p-005.xhtml para 88	共和国内に居住する有色種コロラータを帝てい国こくに与くみする敵性市民と認定。市民権を剝はく奪だつし、監かん視し対象者として八五区外の強制収容所に隔かく離りする法律である。	PF/LI	CITIZENSHIP_STRIPPING	NEW_RETRIEVAL	Citizenship revocation is the legal mechanism that turns residents into removable enemy population rather than merely a social insult.
T04-V01-NR002	V01	item/xhtml/p-005.xhtml para 155	従軍したエイティシックスとその家族には、共和国の市民権が再交付される。過激な差別主義者さえのさばる八五区の中、彼らの身の安全のためその居所は一切非公開だが、開戦からもう九年。かつての自宅に戻もどり、暮らしている者は決して少なくないはずだ。	NV/PF	FALSE_RESTITUTION_FICTION	NEW_RETRIEVAL	The Republic publicly narrates restored citizenship and return to former homes even while the system is actually designed to prevent surviving completion of the term.
T04-V01-NR003	V01	item/xhtml/p-014.xhtml para 16	『ああ。そのまさかだ。白ブタどもは、エイティシックスに市民権をくれてやるつもりなんざ、最初っからねぇんだよ』	CS/PF	CITIZENSHIP_STRIPPING	NEW_RETRIEVAL	The supposed path back to citizenship is exposed as fraudulent for survivors.
T04-V01-NR004	V01	item/xhtml/p-014.xhtml para 59	両親達が死んで、市民権など得られぬと悟さとった兄や姉の代は、せめて共和国市民たるを自らに証明しようと戦った。祖国によって踏ふみにじられた自己存在証明アイデンティティと矜持プライドを、市民の義務である祖国防衛に殉じゆんじることで取とり戻もどすため。防衛の義務を放ほう棄きした白ブタなどではなく自分達こそが真に共和国市民たると、ただ自分一人に証あかし立てるために。	NV/LI	CITIZENSHIP_IDENTITY	NEW_RETRIEVAL	Older Eighty-Six fight partly to reclaim the identity of true Republic citizens even after the Republic has excluded them legally.
T04-V01-NR005	V01	item/xhtml/p-017.xhtml para 15	祖国に銃じゆうを向けられて、家か畜ちくのようにトラックに詰つめ込こまれ、貨物列車に押おし込こまれて。	NV	HOMELAND_BETRAYAL	NEW_RETRIEVAL	The homeland itself becomes the agent of forced removal, separating birthplace/national origin from protective belonging.
V02-L024	V02	p-006.xhtml ¶336–343	帰ろう。あたし達のいるべきところに	CS/LI	BATTLEFIELD_RETURN	RETAINED_FROM_T01	The Five call renewed military service a return to where they feel they belong; this is a negative control against treating all return-language as healthy.
T04-V02-NR006	V02	item/xhtml/p-005.xhtml para 433	「そんなわけで、君達は今日から連れん邦ぽう市民ってことになったからね」	CS/PF	LEGAL_CITIZENSHIP	NEW_RETRIEVAL	Giad grants the Five immediate legal citizenship; T04 keeps this distinct from emotional belonging or home.
T04-V02-NR007	V02	item/xhtml/p-007.xhtml para 454	家族は亡なくし、その記き憶おくすらも曖あい昧まいで、故郷と呼べる場所もなく、それで不都合だとも思わない。	NV	NO_HOME	NEW_RETRIEVAL	Shin can lack a place he calls home without initially experiencing that absence as a conscious deprivation.
T04-V02-NR008	V02	item/xhtml/p-007.xhtml para 463	革命で家族も知ち己きも失い、生まれ育った故郷はいまや敵地。共に戦う近この衛え兵へい達も櫛くしの歯が抜ぬけるように戦死していって、──おそらく、キリヤは無くしすぎたのだろう。	NV	HOMELAND_LOSS	NEW_RETRIEVAL	Kiriya shows that birthplace can become enemy territory; origin does not guarantee a usable homeland.
T04-V02-NR009	V02	item/xhtml/p-008.xhtml para 322	帝てい国こく黎れい明めい期きの遥はるか昔から代々国境の戦闘属領ヴォルフスラントに生き、戦場こそが故郷となった旧戦闘属領兵ヴァルグス達は、その戦いぶりに感かん嘆たんした。	NV/IT	BATTLEFIELD_HOME	NEW_RETRIEVAL	Repeated coercive exposure can make battlefield space the most legible home even when that condition is pathological.
V03-L011	V03	p-006.xhtml ¶046	帰る故郷はなく、守る家族もなく	NV	NO_HOME	RETAINED_FROM_T01	Absence of homeland/family becomes part of why battle remains the easiest inhabitable space.
V03-L016	V03	p-006.xhtml ¶147	目的もなく帰る地もなく、誇りだけに縋って	CS	PURPOSE_WITHOUT_RETURN	RETAINED_FROM_T01	Frederica names the endpoint of having pride without purpose or a place to return.
V03-L050	V03	p-014.xhtml ¶072–076	帰る場所も、行きたいところも。...守るものも	CS/NV	NO_DESTINATION	RETAINED_FROM_T01	Even after rescue and military success, Shin still lacks a positive return destination.
T04-V03-NR010	V03	item/xhtml/p-005.xhtml para 520	「我々連れん邦ぽうは、貴様らを戦場から救い出したはずだ。帰る家を与え、生きる場所を与えた。それでもなお、戦場に舞まい戻もどったのなら──これも覚かく悟ごの上だろう。戦せん闘とうこそが戦いくさ人びとの──軍人の役目。戦って死ぬのも、役目の一つだ」	CS/IT	LEGAL_HOME_VS_BELONGING	NEW_RETRIEVAL	Giad can provide housing and a place to live without thereby deciding whether the recipients experience those provisions as home.
T04-V03-NR011	V03	item/xhtml/p-005.xhtml para 578	守るべき家族は全て死に絶え、帰るべき故郷はどこにもなく。拠よるべき歴史は血族のそれさえ知らず、継つぐべき文化は幼い日、夜ごと読み聞かされた絵本の一いつ篇ぺんさえ覚えていない。	NV	NO_HOME	NEW_RETRIEVAL	Loss of family, homeland, history and inherited culture explains why military identity remains easier to inhabit than civilian futurity.
T04-V03-NR012	V03	item/xhtml/p-006.xhtml para 216	あるいはその上でなお、戦場を生きる場所に選ぶというなら、それでも。	NV/IT	CHOSEN_ROLE_PLACE	NEW_RETRIEVAL	The text leaves open the possibility that battlefield life may be chosen after alternatives exist; chosen continuation is not the same as coercive enclosure.
T04-V03-NR013	V03	item/xhtml/p-010.xhtml para 33	居場所なんてない。	NV	NO_BELONGING	NEW_RETRIEVAL	Formal rescue does not immediately produce an internalized place of belonging.
V04-L027	V04	p-009.xhtml ¶469	帰ってきてください	CS	RELATIONAL_RETURN	RETAINED_FROM_T01	Lena asks Shin to return during the Phonix battle.
V04-L028	V04	p-009.xhtml ¶474	必ず、ここへ。……帰ってきてください	CS/LI	RELATIONAL_RETURN	RETAINED_FROM_T01	The return request is explicitly to this place, strengthening a person/place return address.
T04-V04-NR014	V04	item/xhtml/p-006.xhtml para 134	それでも、いつか。故郷に帰りたいと望んだ時に──当の共和国があの様ざまでは、きっと帰ってこられない。	NV	DEFERRED_HOMELAND_RETURN	NEW_RETRIEVAL	The possibility of someday wanting to return remains meaningful even when the Republic is presently unable to receive the person safely.
T04-V04-NR015	V04	item/xhtml/p-006.xhtml para 656	生まれ育った故郷も、家族の顔さえもろくに覚えていないエイティシックスには、祖国というのはいまいち実感の湧かない感覚だ。収容所も戦場も、生まれついた民族ごとに纏まとまれる環境ではなかったから、同じ民い族ろなら同胞だという意識も極めて薄い。	NV	ORIGIN_MEMORY_LOSS	NEW_RETRIEVAL	Many Eighty-Six lack usable memory of birthplace or family, limiting any simple restoration-to-origin model.
T04-V04-NR016	V04	item/xhtml/p-006.xhtml para 657	故郷というなら、そこで戦い抜くと自ら決めた戦場で。	NV/IT	BATTLEFIELD_HOME	NEW_RETRIEVAL	Some Eighty-Six name the battlefield where they chose to continue fighting as home; this is a chosen but persecution-shaped home claim.
