term_family	t12_evidence_id	source	prior_locator_id	phase5_locked_locator	japanese_anchor	quote_state	source_verification	source_excerpt	later_synthesis_constraint
RETURN_KAERU	T12-E022	V03	V03-L021	`p-009.xhtml ¶089`	`必ず帰れ`	EXACT_VERIFIED	PASS_SOURCE_EXACT	「まったく、何が帰れぬじゃ。斯様な心構えでようも吐かせたものじゃの。そなたらときたら一体いつまで、必ず死ぬと定められた、かの八六区の戦場に囚われたつもりでおるのか。必ず帰れと、エルンストめも言うたであろ。......それこそが今のそなたらに課せられたさだめであるぞ」	Do not flatten into generic return; usually homeward/destination/recipient-oriented.
RETURN_KAERU	T12-E086	V08	V08-L050	`p-011.xhtml ¶681`	`帰らないと`	EXACT_VERIFIED	PASS_SOURCE_EXACT	「......帰らないと、」	Do not flatten into generic return; usually homeward/destination/recipient-oriented.
RETURN_MODORU	T12-E122	V11	V11-L048	p-026.xhtml para 432	『賭けは、私の負けだったな。今回も。戦に研がれた血刀が、そう己を見せかけていただけの子供が、ついに我らが連邦の元、ただの子供に戻ったか』	EXACT_VERIFIED_BY_PHASE5	PASS_SOURCE_EXACT	『賭けは、私の負けだったな。今回も。戦に研がれた血刀が、そう己を見せかけていただけの子供が、ついに我らが連邦の元、ただの子供に戻ったか』	Do not flatten into generic return; re-entry/restoration/recovery can also describe political regression.
RETURN_MODORU	T12-E033	V04	V04-L015	`p-006.xhtml ¶639`	`先に進めぬ、ではない。戻れぬ、であろ。`	EXACT_VERIFIED	PASS_SOURCE_EXACT	「先に進めぬ、ではない。戻れぬ、であろ。そなたは幸福であった幼き日に、その時の関係に戻りたいだけじゃ。そなたの罪を、無かったことにしたいのじゃ。......シンエイを傷つけたと言いながら、その傷痕には目もくれずにそなた一人が楽になりたいだけじゃ」	Do not flatten into generic return; re-entry/restoration/recovery can also describe political regression.
HOME_FURUSATO	T12-E169	V13	V13-L124	V13 / `p-007.xhtml` para 985	`平和の故郷に帰ることも。`	EXACT_VERIFIED_BY_PHASE5	PASS_SOURCE_EXACT	平和の故郷に 帰ることも。	Preserve lived/local home or origin-place semantics; do not automatically translate as political homeland.
HOME_FURUSATO	T12-E018	V03	V03-L011	`p-006.xhtml ¶046`	`帰る故郷はなく、守る家族もなく`	EXACT_VERIFIED	PASS_SOURCE_EXACT	帰る故郷はなく、守る家族もなく、行きついた先でも受け入れられないなら、いられる場所は戦場しかない。	Preserve lived/local home or origin-place semantics; do not automatically translate as political homeland.
HOMELAND_SOKOKU	T12-E123	V11	V11-L055	grief `p-028 ¶5–6`	`滅びてしまった祖国のために`	EXACT_VERIFIED	PASS_SOURCE_EXACT	滅びてしまった祖国のために、死んでしまった大勢を思い。 / わあわあ声をあげてレーナは泣いた。	Preserve political-historical homeland semantics; do not automatically translate as lived home.
HOMELAND_SOKOKU	T12-E041	V05	V05-L011	`p-004.xhtml ¶748`	`祖国を、家族を奪い去ったのは俺だ`	EXACT_VERIFIED	PASS_SOURCE_EXACT	「宣戦布告がされた時には、ゼレーネはもう亡くなっていたそうだがね。......間接的にとはいえ、卿から祖国を、家族を奪い去ったのは俺だ。憎むか?」	Preserve political-historical homeland semantics; do not automatically translate as lived home.
TOGETHER_ISSHO	T12-E096	V09	V09-L019	`p-004 ¶617–622`	`一緒に生きたい`	EXACT_VERIFIED	PASS_SOURCE_EXACT	「一緒に生きたい。一緒にまた、海を見たい。貴方が見せたいと言ってくれた海を」 / 静かに青く光孕むという、北の無情な海を。 / 眩しく光降るのだという、南の夏の海を。 / 革命祭の花火を。レーナはまだ知らない連邦の秋と冬を。見にこいと言われた、連合王国の極光を。見てほしいと勧められた盟約同盟の絶景を。〈レギオン〉支配域の向こうの、未だ見知らぬ異国の街を。八六区に再び、咲くのだろう花々を。 / 戦場の向こう、あなたが見せたいと、共に見たいと望んでくれたものを。 / 「見たことのないものを共に見たい。それを見て笑う、貴方を見たい。気持ちを分かちあいたい。嬉しいことも、辛いことも。できるなら──いつまでも」	Preserve ordinary/shared-proximity register and material symmetry constraints.
TOGETHER_ISSHO	T12-E104	V10	V10-L015	`p-012 ¶98`	`それでも、一緒に帰るか`	EXACT_VERIFIED	PASS_SOURCE_EXACT	「戦隊もお前の仲間も、もう誰もいないけど。それでも、一緒に帰るか......?」	Preserve ordinary/shared-proximity register and material symmetry constraints.
