locator,spine_ordinal,printed_page,image_member,image_sha256,review_method,reviewer,disposition,content_summary,evidence_ids,reason,uncertainties,named_or_identified_subjects,census_note
UAG:s0001,1,,OPS/images/08X10000000062024400_cover.jpg,f79d763657f16e28cabe3735c86fed1ccbe95b67b56defd16f7ffb48f7cbb519,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_NO_MATERIAL_ADDITION,Final Fanbook Ultra Age cover: armored Midoriya central; monochrome Class A portraits; Kohei Horikoshi credit.,,Title/credit and posed composition inspected; no new narrative event or body-mechanism claim inferred.,,Midoriya Izuku; Bakugo Katsuki; Uraraka Ochako; Iida Tenya; Todoroki Shoto; Yaoyorozu Momo; Shoji Mezo; Asui Tsuyu; Kirishima Eijiro; Tokoyami Fumikage,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0002,2,,OPS/images/08_X10000_000062_1_dorigin_01_001.jpg,9be6febcf5f779a78cfa9071835e5263d1b5943843a399a69574e5cec1953dd7,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,Fiction notice; digital-distribution re-editing notice; statements identified as information at release.,SUP-UAG-002-01,Publication apparatus is not a uniform endpoint date.,,,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0003,3,,OPS/images/08_X10000_000062_3_005_001.jpg,7540afe99ddb7cd9064e97e8998a6acd6e9f578bfffe326b4be412d7c8449061,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,Bakugo newly drawn pin-up titled “I am the final boss!!”; dynamic figure/close-up with sparks.,SUP-UAG-003-01,"Promotional bravado and composition, not a new canonical villain role or encounter.",,Bakugo Katsuki,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0004,4,,OPS/images/08_X10000_000062_3_006_001.jpg,6c35472d2a001fa2af13d6b8b18e9e993cf5637b2e4bc3613e1ad76947dd77c2,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Hero Academia History right half: explicitly Midoriya-perspective selection; Quirk dawn through first school year, later winter and second-year final battle; timeline continues on5.",SUP-UAG-004-01,Every visible timeline entry and panel read; selected editorial retrospective is not direct access to all participants.,,Midoriya Izuku; All For One; Yoichi; Luminous baby; Garaki Kyudai; All Might; Shimura Nana; Sludge Villain; Gran Torino; Shigaraki Tomura; Lady Nagant; Uraraka Ochako; Star and Stripe; Aoyama Yuga; Kurogiri; Toga Himiko; Twice; Todoroki Shoto; Dabi; Bakugo Katsuki,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0005,5,,OPS/images/08_X10000_000062_3_007_001.jpg,5df21bc1a486d30096305edbb10a04149b3de7af1edd0d30fc41cb79801f9b02,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"History left half: camp/Kamino through war and aftermath, graduation and heading “eight years after U.A. graduation”; adult work, counseling, Shoji award and co-funded suit.",SUP-UAG-004-01; SUP-UAG-005-01,Retrospective source labels are recorded exactly. The endpoint time heading needs comparison against original V42 wording before assigning numerical ages.,,Midoriya Izuku; All Might; All For One; Bakugo Katsuki; Sir Nighteye; Eri; Gentle Criminal; La Brava; Endeavor; Hawks; Hood / High-End Nomu; Shigaraki Tomura; Dabi; Gigantomachia; Togata Mirio; Amajiki Tamaki; Hado Nejire; Aoyama Yuga; Shinso Hitoshi; Spinner; Uraraka Ochako; Shoji Mezo; Dai (visually identified boy; name not printed in this timeline),Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0006,6,,OPS/images/08_X10000_000062_1_008_001.jpg,8197ca240d6e521dd5829be6f82d2c482996ae2d8e0f00cf27bf3ac18142770e,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_NO_MATERIAL_ADDITION,"White publisher-logo page: Jc Digital, Shueisha Jump Comics.",,Publication logo actually viewed; no character claim or omitted narrative content.,,,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0007,7,,OPS/images/08_X10000_000062_1_009_001.jpg,cdbdd2318681cd10a9fdb4a8c03b7755526c4c091636e27fd9bbcda241402e68,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_DUPLICATE,Monochrome cover-crop title page; Ultra Age and Horikoshi credit.,,Title apparatus and enlarged Midoriya composition duplicate s0001; no new event.,,Midoriya Izuku,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0008,8,010,OPS/images/08_X10000_000062_1_010_002.jpg,1b3a91b2cced23d2c464e6b2f09af282853b8964a8b3645be84a7858c77d1b61,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Contents right page: world guide, new-hero profiles, Class A and other-student after-episodes, pro-hero profiles; printed010.",SUP-UAG-008-01,Contents provides retrieval and named-subject census only; indexed future pages have not thereby been reviewed.,,緑谷出久; 爆豪勝己; 轟焦凍; 麗日お茶子; 飯田天哉; 蛙吹梅雨; 切島鋭児郎; 芦戸三奈; 八百万百; 常闇踏陰; 上鳴電気; 耳郎響香; 青山優雅; 葉隠透; 障子目蔵; 口田甲司; 峰田実; 瀬呂範太; 尾白猿夫; 砂藤力道; 心操人使; 物間寧人; 拳藤一佳; 鉄哲徹鐵; 塩崎茨; 小森希乃子; 骨抜柔造; 角取ポニー; 取蔭切奈; 宍田獣郎太; 黒色支配; 庄田二連撃; 円場硬成; 柳レイ子; 小大唯; 回原旋; 吹出漫我; 泡瀬洋雪; 鎌切尖; 凡戸固次郎; 通形ミリオ; 天喰環; 波動ねじれ; 夜嵐イナサ; 現見ケミィ; 肉倉精児; 毛原長昌; 真堂揺; 中瓶畳; 真壁漆喰; 投擲射手次郎; 発目明; オールマイト; エンデヴァー; ホークス; イレイザー・ヘッド; スターアンドストライプ; グラントリノ; ベストジーニスト; エッジショット; プレゼント・マイク; ミルコ; リューキュウ; ファットガム; サー・ナイトアイ; Mt.レディ; シンリンカムイ; ミッドナイト; セメントス; エクトプラズム; 13号; パワーローダー; ハウンドドッグ; ブラドキング,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0009,9,011,OPS/images/08_X10000_000062_1_011_002.jpg,ea6d81d0663fbec40a2de34111a5cc5484bfa30c009882c73dd91b5c30b558b0,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Contents left page: pro/villain/other-person subjects, three archive sections, polls, guest messages, reader questions, editor relay talk, newly drawn one-shot and afterword; printed011.",SUP-UAG-008-01,"Named index mentions are not substantive profile evidence. Group entries include Nomu, Cider House and Kani Kumo family; do not enumerate unshown members. Real contributors are excluded from character census.",Exact kanji/alias identity for the two small villain index names marked in the subject list awaits their individual profiles; this does not license invented Romanization. Aoyama parents is a grouped reference pending individual mapping.,根津; ウォッシュ; マジェスティック; マンダレイ; ピクシーボブ; 虎; ラグドール; マニュアル; ロックロック; クラスト; デステゴロ; ガンヘッド; Ms.ジョーク; ヨロイムシャ; エクスレス; シシド; セルキー; シリウス; バーニン; オニマー; キドウ; サラーム; ビッグレッドドット; エレクプラント; アストロ・ザ・スカイクローラー; 死柄木弔; オール・フォー・ワン; 荼毘; トガヒミコ; トゥワイス; 黒霧; Mr.コンプレス; スピナー; ギガントマキア; 殻木球大; オーバーホール; レディ・ナガン; ステイン; ジェントル・クリミナル; ラブラバ; リ・デストロ; スケプティック; 外典; キュリオス; トランペット; ヘドロ敵; 星のしもべ; エンディング; スライディン・ゴー; ゴーラン; ディクテイター; KUNIEDA; ギャシュリー（漢字表記は個別項目で照合）; 増電副隊長（漢字表記は個別項目で照合）; 食神BOY; カシ・カシコ; サンサン明太; タジマ; ミイラ; キメラ; スライス; ナイン; 不和真綿; 甲矢有弓; 普良巣舞奈; 蹴上露今努; 枡駒子; 永白風統; 出水洸汰; 壊理; 一般女性; 緑谷引子; 爆豪勝; 爆豪光己; 青山の両親; みっくん; ともちゃん; ダイ君; 障子が救けた女の子; ロディ・ソウル; 島乃真幌; 島乃活真; 塚内直正; イーサン・ドライブ; メリッサ・シールド; ティモシー・アグバー; 珠葦萌胡; メリル・ホープ; 車田運転丸; 八木俊江; 吉田竜; 手裏剣頭のおじさん; オールマイトTシャツの青年; 照元光輝,"Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts. Business-student names reconciled against profile s0098 and reviewer detail crops; these were transcription corrections, not differing source identities."
UAG:s0010,10,012,OPS/images/08_X10000_000062_1_012_001.jpg,a0f89b90e04dc545ca81d5545fbf8342b9261c38c4bf5a968090ccf32cc5ec79,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,World Guide I: public-news account of luminous baby; roughly80% Quirk prevalence; manifestation/registration; Quirkless discrimination; vigilante roots; mother/child origin of the term Quirk.,SUP-UAG-010-01; SUP-UAG-010-02,,,Luminous baby; Midoriya Izuku; Garaki Kyudai; Mother of Quirks (unnamed woman); Mother of Quirks child (unnamed); Yotsubashi Rikiya (Re-Destro),Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0011,11,013,OPS/images/08_X10000_000062_1_013_001.jpg,97dc9b18fda1cf6b30f9911adef30bfee01480e8567f934ba0013b98fbf62058,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Three Quirk categories and compound cases; inherited factors, Quirk marriage and singularity theory; explicit heteromorph prejudice.",SUP-UAG-011-01; SUP-UAG-011-02,,,All Might; Midoriya Izuku; Bakugo Katsuki; Uraraka Ochako; Aizawa Shota; Mt. Lady; Kirishima Eijiro; Tetsutetsu Tetsutetsu; Fat Gum; Iida Tenya; Ojiro Mashirao; Shoji Mezo; Tokoyami Fumikage; Dark Shadow; Todoroki Shoto; Geten; Garaki Kyudai,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
UAG:s0012,12,014,OPS/images/08_X10000_000062_1_014_002.jpg,ecbd86af71f0bced013709d25c6990cd1b64b50f180c666b14e8c13ebb92aa26,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,"Pro heroes as licensed public profession; suppression, rescue and investigation; fame and peace rhetoric over reprinted hero ensembles.",SUP-UAG-012-01,,,Endeavor; Mirko; Eraser Head; Thirteen; Present Mic; Ryukyu; Crust; Wash; Fat Gum; Rock Lock; Manual; Snipe; Mt. Lady; Kamui Woods; Best Jeanist; All Might; Edgeshot; Gran Torino; Sir Nighteye; Tsukauchi Naomasa; Nezu,Explicitly named or visually identifiable diegetic subjects noted during original-image review; collective labels do not enumerate unshown members. Real contributors and organizations are excluded from individual counts.
