term_family	t12_evidence_id	source	prior_locator_id	phase5_locked_locator	japanese_anchor	quote_state	evidence_class	later_synthesis_constraint	phase5_status
RETURN_KAERU	T12-E022	V03	V03-L021	`p-009.xhtml ¶089`	`必ず帰れ`	EXACT_VERIFIED	CS	Do not flatten into generic return; usually homeward/destination/recipient-oriented.	LOCKED
RETURN_KAERU	T12-E086	V08	V08-L050	`p-011.xhtml ¶681`	`帰らないと`	EXACT_VERIFIED	CS/LI	Do not flatten into generic return; usually homeward/destination/recipient-oriented.	LOCKED
RETURN_MODORU	T12-E122	V11	V11-L048	p-026.xhtml para 432	『賭けは、私の負けだったな。今回も。戦に研がれた血刀が、そう己を見せかけていただけの子供が、ついに我らが連邦の元、ただの子供に戻ったか』	EXACT_VERIFIED_BY_PHASE5	CS/LI	Do not flatten into generic return; re-entry/restoration/recovery can also describe political regression.	LOCKED
RETURN_MODORU	T12-E033	V04	V04-L015	`p-006.xhtml ¶639`	`先に進めぬ、ではない。戻れぬ、であろ。`	EXACT_VERIFIED	CS/LI	Do not flatten into generic return; re-entry/restoration/recovery can also describe political regression.	LOCKED
HOME_FURUSATO	T12-E169	V13	V13-L124	V13 / `p-007.xhtml` para 985	`平和の故郷に帰ることも。`	EXACT_VERIFIED_BY_PHASE5	NV	Preserve lived/local home or origin-place semantics; do not automatically translate as political homeland.	LOCKED
HOME_FURUSATO	T12-E018	V03	V03-L011	`p-006.xhtml ¶046`	`帰る故郷はなく、守る家族もなく`	EXACT_VERIFIED	NV	Preserve lived/local home or origin-place semantics; do not automatically translate as political homeland.	LOCKED
HOMELAND_SOKOKU	T12-E123	V11	V11-L055	grief `p-028 ¶5–6`	`滅びてしまった祖国のために`	EXACT_VERIFIED	NV	Preserve political-historical homeland semantics; do not automatically translate as lived home.	LOCKED
HOMELAND_SOKOKU	T12-E041	V05	V05-L011	`p-004.xhtml ¶748`	`祖国を、家族を奪い去ったのは俺だ`	EXACT_VERIFIED	CS	Preserve political-historical homeland semantics; do not automatically translate as lived home.	LOCKED
TOGETHER_ISSHO	T12-E096	V09	V09-L019	`p-004 ¶617–622`	`一緒に生きたい`	EXACT_VERIFIED	CS/LI	Preserve ordinary/shared-proximity register and material symmetry constraints.	LOCKED
TOGETHER_ISSHO	T12-E104	V10	V10-L015	`p-012 ¶98`	`それでも、一緒に帰るか`	EXACT_VERIFIED	CS/LI	Preserve ordinary/shared-proximity register and material symmetry constraints.	LOCKED
TOGETHER_TOMO	T12-E072	V07	V07-L053	`p-009.xhtml ¶656`	`貴女と共に、海を見たい`	EXACT_VERIFIED	CS/LI	Preserve elevated/normative/burden-sharing register where context supports it; do not force a binary.	LOCKED
TOGETHER_TOMO	T12-E073	V07	V07-L054	`p-009.xhtml ¶659`	`傍にいたい。共に生きたい`	EXACT_VERIFIED	CS/LI	Preserve elevated/normative/burden-sharing register where context supports it; do not force a binary.	LOCKED
PRIDE	T12-E091	V09	V09-L009	`p-004 ¶313–314`	`誇りしかない`	EXACT_VERIFIED	CS/LI	Check restrictive constructions such as pride-only before calling pride pathological.	LOCKED
PRIDE	T12-E076	V08	V08-L027	`p-006.xhtml ¶365`	`戦い抜く誇り以外に`	EXACT_VERIFIED	NV/LI	Check restrictive constructions such as pride-only before calling pride pathological.	LOCKED
CURSE	T12-E157	V13	V13-L096	V13 / `p-007.xhtml` para 270	`あなたの呪いになるね。`	EXACT_VERIFIED_BY_PHASE5	CS	Treat as context-sensitive binding-force metaphor, not a fixed synonym for evil attachment.	LOCKED
CURSE	T12-E087	V08	V08-L053	`p-011.xhtml ¶703`	`幸福にならねばならないという呪い`	EXACT_VERIFIED	NV/LI	Treat as context-sensitive binding-force metaphor, not a fixed synonym for evil attachment.	LOCKED
SUPPORT	T12-E137	V12	V12-L067	`p-008 ¶415–417`	`従うのではなく支えてくれた`	EXACT_VERIFIED	CS/LI	Distinguish support from obedience, guardianship, and surveillance.	LOCKED
SUPPORT	T12-E025	V03	V03-L033	`p-010.xhtml ¶149`	`共に行く者どもを支えとすればよい`	EXACT_VERIFIED	CS	Distinguish support from obedience, guardianship, and surveillance.	LOCKED
TRUST	T12-E082	V08	V08-L040	`p-011.xhtml ¶60`	`あんたが信じてやらなくてどうする`	EXACT_VERIFIED	CS/LI	Treat trust as answer-space under uncertainty, not guaranteed compliance.	LOCKED
TRUST	T12-E092	V09	V09-L010	`p-004 ¶410–414`	`戦場の外の、未来` / `信じられない`	EXACT_VERIFIED	NV/LI	Treat trust as answer-space under uncertainty, not guaranteed compliance.	LOCKED
OBEY	T12-E137	V12	V12-L067	`p-008 ¶415–417`	`従うのではなく支えてくれた`	EXACT_VERIFIED	CS/LI	Do not equate obedience with support or mature trust.	LOCKED
OBEY	T12-E126	V12	V12-L013	`p-004 ¶373`	`今なお従うことしか考えられない`	EXACT_VERIFIED	NV/LI	Do not equate obedience with support or mature trust.	LOCKED
FREEDOM	T12-E097	V09	V09-L022	`p-006 ¶30–47`	`選択の自由はない`	EXACT_VERIFIED	PF/MI/LI	Attribute speaker and context; distinguish formal liberty, usable capability, and practiced self-government.	LOCKED
FREEDOM	T12-E002	V01	V01-L006	`p-007.xhtml ¶035`	`死んだ仲間を悼む自由も`	EXACT_VERIFIED	NV	Attribute speaker and context; distinguish formal liberty, usable capability, and practiced self-government.	LOCKED
JUSTICE	T12-E120	V11	V11-L035	p-026.xhtml para 94	『祖国から迫害を受けた少年兵らを救いだし。その少年らと共に他国の苦境を助け。迫害者たる共和国にさえも援助と改心の機会を与えて、苦心して築きあげてきた正義の美名だ。連邦の永えい劫ごうの財となるべき名声に、こんなことで傷はつけられん。ましてや悪であるべき共和国に、見捨てられた被害者などという肩書、連邦に見捨てられたなどという札をくれてやっては連邦の未来に差さし障	EXACT_VERIFIED_BY_PHASE5	CS/LI/MI	Attribute speaker/grammar; preserve aspiration toward justice versus identity-as-justice.	LOCKED
