source	military_level	phase5_scope_statement	representative_mi_locators	rule	phase5_status
V01	TACTICAL	Spearhead combat and Para-RAID employment	V01-L003, V01-L019, V01-L021, V01-L022	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V01	OPERATIONAL	special-reconnaissance/disposal mission design	V01-L003, V01-L019, V01-L021, V01-L022	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V01	STRATEGIC	Legion cognition and Republic force assumptions	V01-L003, V01-L019, V01-L021, V01-L022	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V01	POLITICAL_CONSTITUTIONAL	racialized military citizenship and exterminatory state policy	V01-L003, V01-L019, V01-L021, V01-L022	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V02	TACTICAL	Reginleif adaptation and combat execution	V02-L002, V02-L014, V02-L032, V02-L033, V02-L042, V02-L043, V02-L046, V02-L049	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V02	OPERATIONAL	Federacy training/force integration and Morpho preparation	V02-L002, V02-L014, V02-L032, V02-L033, V02-L042, V02-L043, V02-L046, V02-L049	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V02	STRATEGIC	Morpho threat and theater-wide force logic	V02-L002, V02-L014, V02-L032, V02-L033, V02-L042, V02-L043, V02-L046, V02-L049	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V02	POLITICAL_CONSTITUTIONAL	voluntary service, child-soldier policy, civic ideology	V02-L002, V02-L014, V02-L032, V02-L033, V02-L042, V02-L043, V02-L046, V02-L049	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V03	TACTICAL	Morpho assault execution and small-unit survival	V03-L005, V03-L018, V03-L048	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
V03	OPERATIONAL	deep-strike design, support, extraction and return expectations	V03-L005, V03-L018, V03-L048	SPECIALIST_CLAIMS_MUST_NAME_THIS_OR_ANOTHER_EXPLICIT_LEVEL	LOCKED_LEVEL_MAP
