locator,spine_ordinal,printed_page,image_member,image_sha256,review_method,reviewer,disposition,content_summary,evidence_ids,reason,uncertainties
UAN:s0001,1,,OPS/images/08882128880264315501_cover.jpg,0e23b5ed40dd824f88151735edc268e6f3abe1b308f90986c0d92b374f50138f,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_NO_MATERIAL_ADDITION,"Ultra Analysis official character-book2 cover: Midoriya foreground and a collage of card-like character profiles/rarity labels, Horikoshi credit.",,"Cover title/authorship/presentation inspected; collage does not establish new events, a power hierarchy or objective character worth.",
UAN:s0002,2,,OPS/images/08_882128_880264_1_dorigin_01_001.jpg,831a447091d3cf86d46bbc6435572ea14f15a826e72a066012c8acfcd550b22a,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,Fiction notice and explicit digital-distribution re-editing notice.,SUP-UAN-002-01,Edition/time qualification; common wording does not establish identical digital revision histories.,
UAN:s0003,3,,OPS/images/08_882128_880264_1_003_001.jpg,97f0ac0684015f8b72f0d7e0d4aac4ad97903d0f26c1ebe9bb605519f3ddc594,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_NO_MATERIAL_ADDITION,Red title page with official book2 title and student profile-card collage.,,Title/presentation and visible excerpts inspected; no separate behavior or rating inference from decorative collage.,
UAN:s0004,4,,OPS/images/08_882128_880264_1_004_001.jpg,2219bb310ce9a4f2fd8c474779239de1cc7cbd291cc191dd68272acbaf97afde,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_DUPLICATE,"Right half of 5th-anniversary orange-costume city/parkour illustration, pairing classmates and All Might in a celebratory urban composition.",,"Paired with s0005 and its explicit WJ2019 issue33 opening-art credit. Promotional composition is not a recorded trip, renewed All Might power or a new relationship event.",
UAN:s0005,5,,OPS/images/08_882128_880264_1_005_001.jpg,f47293e7972afb849a66d2a23866bf587a0d6cd69ec5446c507d55c925573b7a,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_DUPLICATE,"Left half of 5th-anniversary city/cafe illustration with Shoto, Momo, Mina, Kaminari, Tokoyami, Asui and others; WJ19年33号扉 credit.",,"Explicit WJ2019 issue33 reprint paired with s0004. Clothing, leisure poses and cafe setting inspected but not admitted as enacted school-life decisions or pairings.",
UAN:s0006,6,006,OPS/images/08_882128_880264_1_006_001.jpg,c3214bd290ece2fbbc24739b3580bf9da3dab5930746a9153982053c61b9f0d8,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_DUPLICATE,Science-fiction-costume group with spaceship backdrop (WJ16年17号扉) and gloved-fist Midoriya portrait (GIGA16年Vol.3); BORN OF JUSTICE design text.,,"Both original magazine credits are visible. Genre illustration and portrait are reprinted art, not an additional canonical adventure or technique feat.",
UAN:s0007,7,007,OPS/images/08_882128_880264_1_007_001.jpg,f094bb7cb4938866a4d345fdb98cada1487f64dbad02b39fb23e4b2614d94cf1,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_MATERIAL,Midoriya and thin All Might sit side by side on a shaded park bench with parallel hand/leg placement; WJ16年30号扉.,SUP-UAN-007-01,Visual ordinary co-presence retained as promotional representation; not an independently dated interaction with narrated choices.,
UAN:s0008,8,008,OPS/images/08_882128_880264_1_008_001.jpg,eb5559b6ecc056bd84ab5f4704caa17bf42971fe993f4917693a88a14624160c,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_DUPLICATE,"Classmates balancing/leaping in a street (WJ16年25号扉), and fantasy-costume ensemble (WJ17年4・5合併号扉).",,"Explicitly credited magazine reprints. Street and alternate-fantasy arrangements do not establish canonical outings, romances, skills or biographies.",
UAN:s0009,9,009,OPS/images/08_882128_880264_1_009_001.jpg,727e4550cd3a4c82bf3210c593c86828a9b063142f434cb8f9501c1ae0025694,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_DUPLICATE,Five credited works: gifts Midoriya WJ19#4–5; chapter100 flag trio WJ16#34; Shoto/Midoriya action composition WJ16#38; film/popcorn Midoriya WJ18#35cover; brush/HERO Midoriya WJ19#6–7.,,Each reprint credit and illustration inspected. Celebratory props and posed action are not separately enacted conduct or fixed tastes.,
UAN:s0010,10,010,OPS/images/08_882128_880264_1_010_001.jpg,0744ce0721a785e7914d69504a1071530493f3fc07e6afe0baaea88ea2550272,VISUAL_ORIGINAL_IMAGE,root,REVIEWED_DUPLICATE,"Right half of RESTART composition: worn hero-costume Bakugo, Asui and Shoto walking toward viewer.",,"Paired s0011 gives WJ2017 issue17 opening-art credit; injuries/walking are visual representation, not another mission chronology.",
