case_id	character_writing_value	relationship_writing_value	anthropological_value	taxonomic_value	symbolic_literary_value	baseline_representativeness	confidence	summary	strengths	limitations	next_action
DJFW_CASE_0001	medium; medium-high for Takina; Chisato strengthened by bonus role-conversion evidence	medium-high; afterword/bonus raises relationship-writing value	high	high	moderate-plus	strong Lycoris benchmark	medium_high	Canon-aware R18 institutional-training parody whose afterward explicitly frames Chisato/Takina gap/exchange as method.	Takina-shaped procedural intimacy; Chisato role-conversion; DA utilitarianism parody; afterword canon awareness; bonus confirms boundary-setting chemistry.	Genre flattening; unsafe/taboo bonus range must remain categorical only; no full OCR.	Optional OCR/line-pass only if elevating Japanese register claims.
DJFW_CASE_0002	medium	medium	high	high	moderate	narrow Minami subset; useful collapse-risk test	high	Costume/body-driven Minami intensification whose afterword explicitly theorizes character-collapse risk.	creator self-awareness; official-trait bridge; recognizable Minami playfulness	broader Minami architecture largely absent	Use as quartet lower-bound/visual-premise comparator.
DJFW_CASE_0003	medium-high	medium-high	high	very high	moderate	strong role-performance comparator	high	Role-play fanwork with explicit authorial awareness that character transformation requires time and a bridge.	Minami role competence; affectionate substrate; unusually explicit transformation theory	narrow private-role frame	Use as role-performance benchmark.
DJFW_CASE_0004	medium-high	high	high	high	moderate	strong relationship-duration comparator	high	Accretive long compilation whose repeated ordinary-life resets preserve an ongoing Minami/P pair.	temporal continuity; ordinary-life re-entry; author Minami-specific boundaries	length is not tightly preplanned plot; subjecthood varies	Use as duration/continuity benchmark.
DJFW_CASE_0005	high	high	high	very high	moderate-high	strong Minami adulthood/desire comparator	high	Strongest telomereNA case for private adulthood and self-authorization; author also self-audits earlier character-collapse risk.	character-specific adult symbolism; active Minami desire; retrospective creator criticism	simplifies canon's unresolved adulthood/family/professional tensions	Use as quartet high-end character-specific benchmark.
DJFW_CASE_0006	low	low	medium-high	high_negative_control	low	poor Hiro representation; strong collapse-risk control	high	Recognizes weak body but converts Hiro into externally triggered bodily consequence.	clear diagnostic failure mode	chosen difficulty, relational accountability, and ordinary longing largely absent	Retain as negative control.
DJFW_CASE_0007	high	high	high	very high	high	strongest current long-form Hiro-preserving transformative AU	high	Changes ontology while preserving difficult form, competence, impossible-experience appetite, and accountable Producer attachment.	structural translation; story-specific P; folklore system; afterword explanation	mythic aura can overtake ordinary Hiro if over-read	Use as long-form Hiro benchmark.
DJFW_CASE_0008	medium-low	low	high	high	low	thin Hiro micro-fidelity; strong roster-anthology comparator	high	Two adjacent independently authored Hiro micro-segments preserve isolated evaluative calm but little more.	clean micro-fidelity examples; contributor mapping corrected	too short/motif-first for full characterization	Use as microsegment comparator.
DJFW_CASE_0009	high within Hiro segment	high within Hiro/P segment	high	very high	moderate-high	strongest current short-form Hiro relational/voice compression	high	Safe setup/closing dialogue strongly reconstruct frailty, shared dream, teasing, reciprocal constraint, and pleasure in accountable difficulty.	high character dependency; compact mature Hiro/P mechanism	only one short anthology segment; explicit middle unnecessary to governing claim	Use as short-form Hiro benchmark.
DJFW_CASE_0010	extremely low	extremely low	high	very high_negative_control	low as character literature	negative-control only	high	Visual character identity persists while voice, decisions, relational grammar, and subjecthood are functionally unnecessary.	excellent lower-bound control for authorship/interchangeability taxonomy	not a line-level character reading object; categorical-only by policy	Retain under categorical safeguards.
