story_id,story_title,source_arc,source_path,utterance_count,character_count,bundle_id,bundle_title,corpus_layer,bundle_priority,bundle_priority_status,bundle_md_path,source_snapshot_id
st-main-cmn-02-01-01,再び 相まみえて,big4,idoly-corpus/stories/big4/st-main-cmn-02-01-01,74,2493,big4_001_dark_of_the_moon,Dark Of the Moon,main_story,CORE,PROVISIONAL_PASS_A,idoly-ingest/01_main_story/03_big4/big4_001_dark_of_the_moon.md,IP-V2-SNAPSHOT-2026-08-13-A
st-main-cmn-02-01-02,償い,big4,idoly-corpus/stories/big4/st-main-cmn-02-01-02,60,1983,big4_001_dark_of_the_moon,Dark Of the Moon,main_story,CORE,PROVISIONAL_PASS_A,idoly-ingest/01_main_story/03_big4/big4_001_dark_of_the_moon.md,IP-V2-SNAPSHOT-2026-08-13-A
st-main-cmn-02-01-03,雪解けは いまだ遠く,big4,idoly-corpus/stories/big4/st-main-cmn-02-01-03,98,3461,big4_001_dark_of_the_moon,Dark Of the Moon,main_story,CORE,PROVISIONAL_PASS_A,idoly-ingest/01_main_story/03_big4/big4_001_dark_of_the_moon.md,IP-V2-SNAPSHOT-2026-08-13-A
st-main-cmn-02-01-04,今の 私達への評価,big4,idoly-corpus/stories/big4/st-main-cmn-02-01-04,97,3279,big4_001_dark_of_the_moon,Dark Of the Moon,main_story,CORE,PROVISIONAL_PASS_A,idoly-ingest/01_main_story/03_big4/big4_001_dark_of_the_moon.md,IP-V2-SNAPSHOT-2026-08-13-A
st-main-cmn-02-01-05,誓いを新たに,big4,idoly-corpus/stories/big4/st-main-cmn-02-01-05,91,2632,big4_001_dark_of_the_moon,Dark Of the Moon,main_story,CORE,PROVISIONAL_PASS_A,idoly-ingest/01_main_story/03_big4/big4_001_dark_of_the_moon.md,IP-V2-SNAPSHOT-2026-08-13-A
st-main-cmn-02-01-06,復活の兆し,big4,idoly-corpus/stories/big4/st-main-cmn-02-01-06,105,3328,big4_002_cloudy_road_ahead,Cloudy Road Ahead,main_story,CORE,PROVISIONAL_PASS_A,idoly-ingest/01_main_story/03_big4/big4_002_cloudy_road_ahead.md,IP-V2-SNAPSHOT-2026-08-13-A
st-main-cmn-02-01-07,ⅢXなりの 激励,big4,idoly-corpus/stories/big4/st-main-cmn-02-01-07,72,2343,big4_002_cloudy_road_ahead,Cloudy Road Ahead,main_story,CORE,PROVISIONAL_PASS_A,idoly-ingest/01_main_story/03_big4/big4_002_cloudy_road_ahead.md,IP-V2-SNAPSHOT-2026-08-13-A
st-main-cmn-02-01-08,底無し スランプ,big4,idoly-corpus/stories/big4/st-main-cmn-02-01-08,65,1959,big4_002_cloudy_road_ahead,Cloudy Road Ahead,main_story,CORE,PROVISIONAL_PASS_A,idoly-ingest/01_main_story/03_big4/big4_002_cloudy_road_ahead.md,IP-V2-SNAPSHOT-2026-08-13-A
st-main-cmn-02-01-09,埋もれた センター,big4,idoly-corpus/stories/big4/st-main-cmn-02-01-09,70,2081,big4_002_cloudy_road_ahead,Cloudy Road Ahead,main_story,CORE,PROVISIONAL_PASS_A,idoly-ingest/01_main_story/03_big4/big4_002_cloudy_road_ahead.md,IP-V2-SNAPSHOT-2026-08-13-A
st-main-cmn-02-01-10,きっかけ探し,big4,idoly-corpus/stories/big4/st-main-cmn-02-01-10,58,2064,big4_002_cloudy_road_ahead,Cloudy Road Ahead,main_story,CORE,PROVISIONAL_PASS_A,idoly-ingest/01_main_story/03_big4/big4_002_cloudy_road_ahead.md,IP-V2-SNAPSHOT-2026-08-13-A
st-main-cmn-02-01-11,異例の企画,big4,idoly-corpus/stories/big4/st-main-cmn-02-01-11,81,2792,big4_003_adventure_of_life,Adventure Of Life,main_story,CORE,PROVISIONAL_PASS_A,idoly-ingest/01_main_story/03_big4/big4_003_adventure_of_life.md,IP-V2-SNAPSHOT-2026-08-13-A
