code	character	profile	diagnostic_rows	phase5_locked_rows	locator_gap_rows	alter1_rows	matrix_outgoing_states	matrix_incoming_states	crosswalk_sections	sample_retrieval_routes	gate_A_source_grounding	gate_B_state_vs_trait	gate_C_relationship_specificity	gate_D_v1_regrounding	gate_E_synthetic_firewall	gate_F_thematic_distinctiveness	gate_G_reconstruction	gate_H_retrieval	gate_I_contradiction	high_claim_tested	strongest_counterexample	contradiction_disposition	ordinary_probe	pressure_probe	vulnerability_probe	relationship_contrast_probe	quotation_review	final_verdict
FRE	Frederica Rosenfort	86_FREDERICA_ROSENFORT_CHARACTER_REFERENCE_PROFILE.md	48	13	35	6	16	25	25	86-CMR-FRE-001 @ V02 p-004.xhtml ¶168–171; 86-CMR-FRE-017 @ V04 p-006.xhtml ¶631–643; 86-CMR-FRE-033 @ V12 p-008.xhtml ¶257–301; 86-CMR-FRE-048 @ Alter.1 part0051.xhtml ¶2–5	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	high relational/political perceptiveness	Kiriya projection and age-limited knowledge show that accurate pattern recognition is not omniscience	NARROW	theatrical childlike complaint and direct appetite within archaizing diction	political/moral challenge retains archaizing force and rejects imposed authorship	fear or grief shortens rhetoric without removing `わらわ` identity	Shin permits sibling teasing; Ernst/Vika receive political argument and autonomy resistance	metalinguistic form inventories or exact source wording; no correction required	PROMOTE_CANONICAL
SHI	Shinei Nouzen	86_SHINEI_NOUZEN_CHARACTER_REFERENCE_PROFILE.md	55	32	23	12	22	52	23	86-CMR-SHI-001 @ V01 p-008.xhtml ¶20; 86-CMR-SHI-019 @ V04 p-009.xhtml ¶74–88; 86-CMR-SHI-037 @ V11 p-018.xhtml ¶128; 86-CMR-SHI-055 @ Alter.1 part0058.xhtml ¶37–45	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	low-excess, practical-care baseline	acute grief, anger and Lena-directed vulnerability produce unusually explicit semantic admission	SURVIVES	deadpan, sparse, practical participation with understated humor	clipped command and action-first triage	simple semantic admission rather than ornate confession	Raiden receives answerable peer terseness; Lena receives more explicit private admission	normalized an elided paraphrase to exact source wording	PROMOTE_CANONICAL
LEN	Vladilena Milizé	86_VLADILENA_MILIZE_CHARACTER_REFERENCE_PROFILE.md	76	50	26	18	19	31	23	86-CMR-LEN-001 @ V01 p-005.xhtml ¶211; 86-CMR-LEN-026 @ V07 p-008.xhtml ¶100; 86-CMR-LEN-051 @ V13 p-007.xhtml ¶62; 86-CMR-LEN-076 @ Alter.1 part0057.xhtml ¶52–62	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	corrigible moral intensity	paternalistic overreach, self-spending and interpretive overconfidence remain live failure modes	NARROW	cultivated, proposition-rich officer/social speech	direct command with reasons and institutional framing	polish fragments under grief, shame or intimate fear	Shin intimacy differs from Shiden/subordinate command and public political address	metalinguistic form inventories or exact source wording; no correction required	PROMOTE_CANONICAL
RAI	Raiden Shuga	86_RAIDEN_SHUGA_CHARACTER_REFERENCE_PROFILE.md	70	20	50	5	22	13	23	86-CMR-RAI-001 @ V01 p-007.xhtml ¶174–185; 86-CMR-RAI-024 @ V03 p-009.xhtml ¶271–326; 86-CMR-RAI-047 @ V12 p-004.xhtml ¶149–156; 86-CMR-RAI-070 @ V08 p-004.xhtml ¶397–409	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	practical stabilizer and caregiver	V14 anger and collapse show that the stabilizer also requires stabilization	NARROW	rough banter, food/logistics care and low-ceremony correction	fast coordination and bodily intervention	anger or helplessness exposes need for reciprocal stabilization	Shin receives peer accountability; Frederica receives older-brother practical care	metalinguistic form inventories or exact source wording; no correction required	PROMOTE_CANONICAL
THE	Theoto Rikka	86_THEOTO_RIKKA_CHARACTER_REFERENCE_PROFILE.md	85	33	49	3	19	18	22	86-CMR-THE-001 @ V01 p-008.xhtml ¶18–24; 86-CMR-THE-029 @ V06 p-009.xhtml ¶85–102; 86-CMR-THE-057 @ V10 p-027.xhtml ¶64–72; 86-CMR-THE-085 @ Alter.1 part0060.xhtml ¶1–37	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	sarcasm-forward visual/social insight	he can be cruel, misread motives and turn observation into overreach	NARROW	sardonic visual observation and playful disproportion	sharp accusation or boundary-setting grounded in what he notices	language simplifies when bodily loss or intimacy becomes unavoidable	Lena receives critical address; Shin receives trusted peer care with explicit limits	metalinguistic form inventories or exact source wording; no correction required	PROMOTE_CANONICAL
KUR	Kurena Kukumila	86_KURENA_KUKUMILA_CHARACTER_REFERENCE_PROFILE.md	121	33	86	8	17	9	22	86-CMR-KUR-001 @ V01 p-008.xhtml ¶18; 86-CMR-KUR-041 @ V07 p-009.xhtml ¶242; 86-CMR-KUR-081 @ V11 p-018.xhtml ¶266; 86-CMR-KUR-121 @ V12 p-004.xhtml ¶168	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	emotionally transparent, attachment-sensitive peer	professional marksmanship, command competence and future plurality exceed romantic jealousy	SURVIVES	open affect, teasing and ordinary excitement	professional compression and precise marksmanship	jealousy, fear of uselessness and grief become visibly dysfluent	Shin relation is nonreciprocal romance; peers receive fuller competence and playful equality	metalinguistic form inventories or exact source wording; no correction required	PROMOTE_CANONICAL
ANJ	Anju Emma	86_ANJU_EMMA_CHARACTER_REFERENCE_PROFILE.md	139	8	131	12	20	8	22	86-CMR-ANJ-001 @ V01 p-007.xhtml ¶109; 86-CMR-ANJ-047 @ V05 p-005.xhtml ¶829; 86-CMR-ANJ-093 @ V12 p-008.xhtml ¶453; 86-CMR-ANJ-139 @ V01 p-008.xhtml ¶295	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	gentle composure and domestic care	grief and threat can produce severe anger, coercive intensity and disrupted fluency	SURVIVES	gentle domestic/social regulation and aesthetic attention	calm command or deceptively soft correction	grief and anger can rupture composure without becoming baseline	Daiya/Dustin memory-intimacy differs from peer caretaking and subordinate command	metalinguistic form inventories or exact source wording; no correction required	PROMOTE_CANONICAL
SHD	Shiden Iida	86_SHIDEN_IIDA_CHARACTER_REFERENCE_PROFILE.md	173	13	160	9	22	3	19	86-CMR-SHD-001 @ V02 p-002.xhtml ¶23; 86-CMR-SHD-058 @ V07 p-008.xhtml ¶67; 86-CMR-SHD-116 @ V10 p-009.xhtml ¶42; 86-CMR-SHD-173 @ Alter.1 OEBPS/part0062.xhtml ¶261	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	rough, embodied and confrontational baseline	formal gratitude, institutional politeness and grief-stripped speech directly counter caricature	NARROW	rough, sexualized banter and physical confidence	front-leading command, challenge and fast threat response	grief strips swagger and can impair judgment	Lena receives loyal contradiction; formal experts can receive real politeness and gratitude	metalinguistic form inventories or exact source wording; no correction required	PROMOTE_CANONICAL
ERN	Ernst Zimmerman	86_ERNST_ZIMMERMANN_CHARACTER_REFERENCE_PROFILE.md	232	23	209	26	15	4	19	86-CMR-ERN-001 @ V02 p-005.xhtml ¶283; 86-CMR-ERN-078 @ V02 p-006.xhtml ¶435; 86-CMR-ERN-155 @ V13 p-006.xhtml ¶38; 86-CMR-ERN-232 @ Alter.1 OEBPS/part0062.xhtml ¶91	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	universalist guardian and future-builder	paternalism, polity-threatening partiality and extreme violence prevent benevolent simplification	NARROW	theatrical guardian warmth, jokes and structural problem-solving	cold categorical institutional/moral authority	private despair removes political performance and reveals self-erasure risk	Frederica receives family argument; polity and military actors receive presidential responsibility	metalinguistic form inventories or exact source wording; no correction required	PROMOTE_CANONICAL
GRE	Grethe Wenzel	86_GRETHE_WENZEL_CHARACTER_REFERENCE_PROFILE.md	165	4	161	8	15	4	19	86-CMR-GRE-001 @ V02 p-007.xhtml ¶12; 86-CMR-GRE-056 @ V06 p-004.xhtml ¶194; 86-CMR-GRE-111 @ V12 p-004.xhtml ¶257; 86-CMR-GRE-165 @ Alter.1 OEBPS/part0062.xhtml ¶232	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	technical/professional care expressed operationally	Reginleif instrumentalization and limited political judgment block an all-purpose humane-competence reading	NARROW	technical enthusiasm, adult humor and organized care	engineering/command compression with responsibility retained at her level	protective anger and visible worry emerge without abandoning professionalism	Shin/exceptional soldiers receive protective scrutiny; subordinates receive command and technical instruction	expanded an ellipsis to the exact V14 source clause	PROMOTE_CANONICAL
