evidence_id	source	source_locator	prior_locator_id	short_japanese_anchor	quote_state	evidence_class	families	analytic_function	note
T12-E001	V01	memoir epigraph / p-001.xhtml ¶001	V01-L001	豚に人権を与えぬことを	EXACT_VERIFIED	NV/PT/LI	EQUALITY_RIGHTS	freedom_rights_illusion_normative_lexicon	01, 05, 12
T12-E002	V01	Ch.2 / p-007.xhtml ¶035	V01-L006	死んだ仲間を悼む自由も	EXACT_VERIFIED	NV	FREEDOM	freedom_rights_illusion_normative_lexicon	05, 09
T12-E003	V01	Ch.3 / p-008.xhtml ¶339	V01-L012	ヴラディレーナ・ミリーゼ	EXACT_VERIFIED	CS/LI	ADDRESS_FORMS	address_register_command_request	03, 10, 12
T12-E004	V01	Ch.3 / p-008.xhtml ¶489	V01-L014	必ず生きて、帰らないと	EXACT_VERIFIED	CS	RETURN_KAERU	return_kaeru_homeward_recipient	02, 10, 13
T12-E005	V01	Ch.7 / p-018.xhtml ¶343	V01-L026	生きているからどんどん変わって	EXACT_VERIFIED	NV	ALIVE_GRAMMAR	alive_grammar_and_revision	01, 02, 11
T12-E006	V01	Ch.7 / p-018.xhtml ¶431	V01-L028	先にいきます。少佐	EXACT_VERIFIED	CS/LI	ADDRESS_FORMS	address_register_command_request	02, 10, 12, 13
T12-E007	V02	Ch.2 / p-005.xhtml ¶231	V02-L010	ごめんな。痛かったよな	EXACT_VERIFIED	CS	PAIN_PLAIN	plain_emotional_admission_pain	02, 07, 11
T12-E008	V02	Ch.2 / p-005.xhtml ¶241–244	V02-L011	お前にはこれから、長い時間がある	EXACT_VERIFIED	CS	FUTURE_TIME	temporal_grammar_mou_mada_mata_itsuka	02, 09
T12-E009	V02	Ch.3 / p-006.xhtml ¶077–080	V02-L020	civilian activities / `もうエイティシックスなどではない	PARAPHRASE + EXACT_ANCHOR	NV	FUTURE_TIME;REVISION_MOU	temporal_grammar_mou_mada_mata_itsuka	06, 09
T12-E010	V02	Ch.3 / p-006.xhtml ¶336–343	V02-L024	帰ろう。あたし達のいるべきところに	EXACT_VERIFIED	CS/LI	RETURN_KAERU	return_kaeru_homeward_recipient	04, 09, 12
T12-E011	V02	Ch.3 / p-006.xhtml ¶352–358	V02-L025	ただの子供に戻って` / empty rooms	EXACT_ANCHOR	NV/SI	RETURN_MODORU	return_modoru_state_reentry_recovery	06, 09
