extraction_id	case_id	source_id	extraction_date	page_count	zip_entries	extraction_manifest_file_id	page_order_manifest_file_id	contact_sheet_file_id	contact_sheet_policy	ocr_status	qa_status	notes	next_action
DJFW_EXTRACT_0001	DJFW_CASE_0001	DJFW_SOURCE_0001	2026-08-28	81	83	1ROvEdVx9h5RZMdA-Z7Z3hLUWc8VobxKU	1EiYPBETDgHXvSSWr0zTpMnxOBk6cegfZ	1IFmAbyB_rrwJB7Au5RLiE_q_ZmTkcfTr	safe blurred contact sheet only; no explicit full-resolution contact sheet uploaded	not_performed	page_order_manifested	Local extraction produced 81 page images; Drive stores manifests, safe blurred overview, and bonus/afterword locator notes (165jZQSS0tV4tPemRjEYBx4SL7dmkLrQf).	OCR optional; second pass complete for p061-p080 afterward/bonus chemistry.
DJFW_EXTRACT_0002	DJFW_CASE_0002	DJFW_SOURCE_0002	2026-08-28	71	71				local internal contact sheets only; no explicit contact sheet uploaded	locator_OCR_partial_afterword_only	full_sequence_reviewed_local	71 image pages extracted locally; SHA lock and sequential review recorded in run manifest.	No further extraction required unless line-level Japanese audit is requested.
DJFW_EXTRACT_0003	DJFW_CASE_0003	DJFW_SOURCE_0003	2026-08-28	70	70				local internal contact sheets only; no explicit contact sheet uploaded	locator_OCR_partial_afterword_only	full_sequence_reviewed_local	70 image pages extracted locally; SHA lock and sequential review recorded in run manifest.	No further extraction required unless line-level Japanese audit is requested.
DJFW_EXTRACT_0004	DJFW_CASE_0004	DJFW_SOURCE_0004	2026-08-28	108	108				local internal contact sheets only; no explicit contact sheet uploaded	locator_OCR_partial_afterword_only	full_sequence_reviewed_local	108 image pages extracted locally; SHA lock and sequential review recorded in run manifest.	No further extraction required unless line-level Japanese audit is requested.
DJFW_EXTRACT_0005	DJFW_CASE_0005	DJFW_SOURCE_0005	2026-08-28	42	42				local internal contact sheets only; no explicit contact sheet uploaded	locator_OCR_partial_afterword_only	full_sequence_reviewed_local	42 image pages extracted locally; SHA lock and sequential review recorded in run manifest.	No further extraction required unless line-level Japanese audit is requested.
DJFW_EXTRACT_0006	DJFW_CASE_0006	DJFW_SOURCE_0006	2026-08-28	10	10				local internal page sheet only	not_required_for_governing_claims	full_sequence_reviewed_local	10 pages extracted/reviewed; no line-level OCR promoted.	Closed.
DJFW_EXTRACT_0007	DJFW_CASE_0007	DJFW_SOURCE_0007	2026-08-28	52	52				local internal page sheets; no explicit contact sheet uploaded	selected_safe_pages_OCR	full_sequence_reviewed_local	Safe warning/setup/afterword OCR used as locator/QA and manually verified structurally.	Closed unless exact Japanese quotation audit is needed.
DJFW_EXTRACT_0008	DJFW_CASE_0008	DJFW_SOURCE_0008	2026-08-28	79	79				local internal page sheets; no explicit contact sheet uploaded	safe_contributor_mapping_only	full_sequence_reviewed_local_exact_duplicate	Exact duplicate CBZ; contributor pages resolve two adjacent Hiro micro-segments.	Closed.
DJFW_EXTRACT_0009	DJFW_CASE_0009	DJFW_SOURCE_0009	2026-08-28	60	60				local internal page sheets; no explicit contact sheet uploaded	safe_TOC_setup_afterword_manual_segment_map	full_sequence_reviewed_local	TOC and safe pages resolve mameojitan Hiro segment and remove prior OPEN fidelity state.	Closed unless broader anthology character mapping is desired.
DJFW_EXTRACT_0010	DJFW_CASE_0010	DJFW_SOURCE_0010	2026-08-28	20	20				no explicit contact sheet uploaded	not_performed_by_policy	categorical_sequence_reviewed_no_explicit_OCR	Explicit minor-coded source; categorical structural review only.	No explicit OCR/transcription.
