id	duration	bpm	top_key	lufs	lra	rms_span	centroid	onset_rate
MUS001_Fighting_My_Way	200.319	66.26	F major	-12.8	4.2	8.13	614.7	4.792
MUS002_Boom_Boom_Pow	201.327	78.3	A# minor	-13.8	4.8	12.55	711.0	4.177
MUS003_EGO	241.882	64.6	D minor	-12.7	3.7	10.67	727.3	4.68
MUS004_Campus_mode	160.194	184.57	A major	-17.1	3.3	10.32	1008.2	4.251
MUS005_Wildest_Flower	181.766	83.35	A# minor	-13.0	4.3	13.32	492.1	4.038
MUS006_Gamushara	220.52	66.26	G major	-12.3	3.1	7.54	614.3	3.877
MUS007_Garakuta_Road	163.561	143.55	D minor	-18.0	3.6	7.4	1096.6	4.09
MUS008_GO_MY_WAY	133.027	184.57	C# minor	-18.3	3.0	6.85	809.6	4.255
MUS009_Hajime	157.78	172.27	D major	-21.5	7.1	8.79	877.8	3.771
MUS010_ENDLESS_DANCE	109.691	76.0	A minor	-15.4	2.4	67.4	741.2	4.212
MUS011_Ameagari_no_Iris	199.459	123.05	A# minor	-17.9	8.6	20.9	722.5	3.53
