source_code	locator	spine_ordinal	spine_idref	image_member	image_sha256	image_bytes	width	height	verified_derivative_wrapper
UA	UA:s0001	1	image001	OPS/images/08880719880264315501_cover.jpg	0d2a3ebe307b5c0db8d7d9234dce7715ceee5b11012240ea05b5c486ac86783c	713057	1019	1600	OPS/pages/page0001.xhtml
UA	UA:s0002	2	image002	OPS/images/08_880719_880264_1_dorigin_01_001.jpg	3c6894e02136b00e2d30caf82810b393edab91abe551319daa309f1603785a64	53016	1019	1600	OPS/pages/page0002.xhtml
UA	UA:s0003	3	image003	OPS/images/08_880719_880264_3_003_001.jpg	5c022294b779243cb947a13c91cdfabc1252c9cd8aa2e1d7dbb6f048e62fb073	716760	1019	1600	OPS/pages/page0003.xhtml
UA	UA:s0004	4	image004	OPS/images/08_880719_880264_3_004_001.jpg	2fac52cf098d6d507da6275394e3b88884332c663e9442442e0d32bd8405a2ec	583280	1019	1600	OPS/pages/page0004.xhtml
UA	UA:s0005	5	image005	OPS/images/08_880719_880264_3_005_001.jpg	074beb89601a8dbb1de62cbcbf1a9094039d38eb9b7edc804ba45e5a7f265c59	640433	1019	1600	OPS/pages/page0005.xhtml
UA	UA:s0006	6	image006	OPS/images/08_880719_880264_3_006_001.jpg	8f149773587b6f23d70de4761a76e82995a82f408512342b5c5734e98fc94a7d	488691	1019	1600	OPS/pages/page0006.xhtml
UA	UA:s0007	7	image007	OPS/images/08_880719_880264_3_007_001.jpg	3278ca80f862997546649d85ad41e2466334c85a8726a8ebc3694400bc18d1ba	535455	1019	1600	OPS/pages/page0007.xhtml
UA	UA:s0008	8	image008	OPS/images/08_880719_880264_3_008_001.jpg	e812fa67c23d7b667289a837e01b2eef970cb314f5aa14a8509f744be07262e8	704808	1019	1600	OPS/pages/page0008.xhtml
UA	UA:s0009	9	image009	OPS/images/08_880719_880264_3_009_001.jpg	29288977a04cccda3cc4ef656df9d37ebdb0521e975e14ceac122e39d1e7825f	616958	1019	1600	OPS/pages/page0009.xhtml
UA	UA:s0010	10	image010	OPS/images/08_880719_880264_3_010_001.jpg	84d0962fabb0214624b2edffc8a486c9e3a229d5ed0c2979704426f9063f490d	611423	1019	1600	OPS/pages/page0010.xhtml
UA	UA:s0011	11	image011	OPS/images/08_880719_880264_3_011_001.jpg	d39ce8980f60f0759fdef97b98429991f9ec8fb71d6384f9d728f2a73a034601	764725	1019	1600	OPS/pages/page0011.xhtml
UA	UA:s0012	12	image012	OPS/images/08_880719_880264_3_012_001.jpg	58435e8aab3cc2f09b770e3d306a59c5e607c47eb8ad3bb284a72ad0d81eff4a	441807	1019	1600	OPS/pages/page0012.xhtml
UA	UA:s0013	13	image013	OPS/images/08_880719_880264_3_013_001.jpg	8b6b0d2d2674f0775455182398059942991dfbfa33a9762a3e7af6e1a6b5578a	535572	1019	1600	OPS/pages/page0013.xhtml
UA	UA:s0014	14	image014	OPS/images/08_880719_880264_3_014_001.jpg	e259c9f1db112956e75a26063f39479ce364e142a26322e50f1a035cbbaefa9a	709275	1019	1600	OPS/pages/page0014.xhtml
UA	UA:s0015	15	image015	OPS/images/08_880719_880264_3_015_001.jpg	666651d3d95f8b97a31ba040a1e63d3f1eaadaf46bba5b8b544c6a1a96a703b4	760049	1019	1600	OPS/pages/page0015.xhtml
UA	UA:s0016	16	image016	OPS/images/08_880719_880264_3_016_001.jpg	ac7acb712ef2e4d245e330af45c99ed0162b28627ee7f955d7886e566c71972f	616424	1019	1600	OPS/pages/page0016.xhtml
UA	UA:s0017	17	image017	OPS/images/08_880719_880264_3_017_001.jpg	3d6a824f546f558ad98d6e209bdda34dd06d3122b54df54401539280e8f62db9	451888	1019	1600	OPS/pages/page0017.xhtml
UA	UA:s0018	18	image018	OPS/images/08_880719_880264_3_018_001.jpg	0afc35d8e9a30b0f7bc3a308f0ef1f2fd2a45f1d6b9fe2de6b1f8f509677bc1c	652176	1019	1600	OPS/pages/page0018.xhtml
UA	UA:s0019	19	image019	OPS/images/08_880719_880264_1_019_001.jpg	b060ab4fb4b8b3647c542b801d593043f5f076d3c4ba74b72790d1692fcfb367	656593	1019	1600	OPS/pages/page0019.xhtml
UA	UA:s0020	20	image020	OPS/images/08_880719_880264_1_020_001.jpg	a0d986623484ba39a1bbd46b3fe3505646b07b3c1ccaf6522598abe54b86f102	506816	1019	1600	OPS/pages/page0020.xhtml
UA	UA:s0021	21	image021	OPS/images/08_880719_880264_1_021_001.jpg	0bd2b889ce4e62db4c9067067c8c0de0f8432f58dc0609c6e6ae68fc0c55dab2	365519	1019	1600	OPS/pages/page0021.xhtml
UA	UA:s0022	22	image022	OPS/images/08_880719_880264_1_022_001.jpg	5300ff62baa19c974b64cb7b2b5c6a8772ecf806346f9937bd7e3db8ab4d8809	577123	1019	1600	OPS/pages/page0022.xhtml
UA	UA:s0023	23	image023	OPS/images/08_880719_880264_1_023_001.jpg	88d563c7861dfee1a1e3b0217f83ca410505bba5586b767ea1bc9c1e2a704c98	619055	1019	1600	OPS/pages/page0023.xhtml
UA	UA:s0024	24	image024	OPS/images/08_880719_880264_1_024_001.jpg	d75312bef6ccb29583672f274aaedaa3f5b8753f81effa25ad1645e582cf9439	581017	1019	1600	OPS/pages/page0024.xhtml
UA	UA:s0025	25	image025	OPS/images/08_880719_880264_1_025_001.jpg	c25339619ebea40cdca0e6fce2c699111feacc5aa61ba47df7ec30a87dc8275c	613508	1019	1600	OPS/pages/page0025.xhtml
UA	UA:s0026	26	image026	OPS/images/08_880719_880264_1_026_001.jpg	fa0b12d1a6460a6d85bb4e90f7cde27d4d8eebc1ade59f0e28df32f9b6f5233a	549361	1019	1600	OPS/pages/page0026.xhtml
UA	UA:s0027	27	image027	OPS/images/08_880719_880264_1_027_001.jpg	19b71bd5fa5660287a79b57bedc7c88c60331be1c9310110f6054741553acd9c	600822	1019	1600	OPS/pages/page0027.xhtml
UA	UA:s0028	28	image028	OPS/images/08_880719_880264_1_028_001.jpg	c1e655bf15d8fcc3c75efb11047bbd8aae5956207c539d50ba25e7454a8bf9c0	524372	1019	1600	OPS/pages/page0028.xhtml
UA	UA:s0029	29	image029	OPS/images/08_880719_880264_1_029_001.jpg	3cbeffb12941a0bc8b6a07c30c83a49133c3a67862202e1fb88dd7e331dfec13	581607	1019	1600	OPS/pages/page0029.xhtml
UA	UA:s0030	30	image030	OPS/images/08_880719_880264_1_030_001.jpg	817736606b29f11a6c8db1a368bd0bb908204a29993ba8e386e7d137bb379817	513839	1019	1600	OPS/pages/page0030.xhtml
UA	UA:s0031	31	image031	OPS/images/08_880719_880264_1_031_001.jpg	38eb22bb31a8ac29acd1016a2a0906df266ab749917a1069232f104a58d4d76e	636439	1019	1600	OPS/pages/page0031.xhtml
