claim_id	claim_under_audit	phase5_disposition	mandatory_boundary	phase5_rule
T14-C01	The full-series thesis can make revisability the supreme good.	NARROWED	The text values the right to revise without requiring endless revision; durable commitments can be legitimate goods.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C02	Open futurity is a minimum threshold for moral standing.	REJECTED	T02 already separates flourishing from standing; Sirin/Fido/Legion cases prevent this threshold.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C03	Strong durable identity is presumptively enclosure.	REJECTED	Eighty-Six pride, chosen vocation, promises, names, love, and retained objects can remain strong without exhausting the person.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C04	Recoverability can function as one unqualified full-series master metaphor.	OVERTURNED	T12 splits return among homeward, state-restorative, deathward, and operational lexical systems; some losses are irreversible.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C05	Returning to a prior state is inherently positive.	REJECTED	V14 imperial restoration is the direct negative control; restoration can be reactionary.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C06	Purpose-capture explains every intense commitment.	REJECTED	Chosen love, profession, promise, pride, and military duty can be strong and persistent while answer-space remains.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C07	Eighty-Six pride is latent pathology gradually outgrown.	REJECTED	V01 anti-dehumanization function and V14 retained pride are decisive counterevidence.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C08	Healthy identity is always maximally plural.	NARROWED	Plurality protects against enclosure, but coherence and long endurance are also valued; no quota of identities is textually established.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C09	Initial consent is sufficient to make a binding healthy.	NARROWED	Consent matters, but continuing capacity to reinterpret, refuse, or renegotiate remains necessary.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C10	Support is healthy whenever it helps or protects.	REJECTED	Care can become pity, guardianship, surveillance, hostage logic, or saviorism; judgment must normally be returned.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C11	Interruption is inherently agency-preserving.	NARROWED	Interruption is positive when bounded by incapacity/emergency and followed by returned judgment; otherwise it can become domination.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C12	Shin/Lena is a purely non-possessive relationship.	REJECTED AS PURITY CLAIM	The relationship is usually future- and agency-bearing but includes possessive rhetoric, fear, dependency, asymmetry, and hostage vulnerability.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C13	Romance is the causal owner of Shin recovery.	REJECTED	Ordinary capacities, Spearhead, Fido, Rei, professional practice, curiosity, medicine, and civic structures predate or coexist with romance.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C14	Distributed command makes individual excellence unimportant.	REJECTED	V14 proves operations can survive Shin absence while preserving the exceptional value of his specific capability.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C15	The series is anti-heroic.	REJECTED	Heroic action is admired; permanent institutional dependence on heroic singularity is the target.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C16	Post-rescue reenlistment proves military vocation is wholly free of conditioning.	OPEN / NARROWED	Civilian capability is real, but developmental history and war-made identity continue to shape preference.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C17	Remaining a soldier proves failure to recover.	REJECTED	Civilianization is not the normative endpoint; exclusive destiny is the problem.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C18	Disability is either pure tragedy or automatic liberation.	REJECTED	Theo loses real capabilities and gains new options; neither restoration nor injury itself supplies the moral meaning.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C19	Medical protection is inherently freedom-enhancing.	REJECTED	Treatment can preserve agency, but protective retention of a useful body can reproduce functional captivity.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C20	Future orientation naturally cures self-instrumentalization.	REJECTED	V14 Shin wants a future while concealing serious sensory loss to protect frontline function.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C21	Combat competence establishes adult status.	REJECTED	War produces asymmetrical development; adult duties of protection remain.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C22	Nonrevenge culminates in forgiveness.	REJECTED	V11 and V14 explicitly permit nonrevenge with continuing nonforgiveness and legal accountability.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C23	Legal punishment is sufficient repair.	REJECTED / OPEN	Punishment is one bounded response; record, vindication, compensation, reconstruction, and reform remain distinct.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C24	Democratic/liberal institutions prevent moral collapse.	REJECTED	Giad can regress; their value lies more in corrigibility and retained routes of accountability than immunity.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C25	Capability scaffolding is sufficient for self-government.	REJECTED	Education/resources enable judgment but do not guarantee wise exercise or willingness to judge.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C26	Human fallibility justifies permanent guardianship.	REJECTED	V14 is the decisive falsifier: intermittent foolishness cannot be converted into hereditary denial of words, will, or freedom.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C27	A later Sector analogy implies historical equivalence to San Magnolia.	REJECTED	Structural relation and historical genealogy must remain distinct.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C28	Recognizing someone as human prevents disposability.	REJECTED	The Fawns show recognized human bodies can still be assigned a duty to absorb danger or disappear.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C29	Dangerous embodiment creates a duty to die.	REJECTED	Risk can justify proportionate safeguards, not automatic moral cancellation of continued existence.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C30	Artificial origin is evidence of inferior standing.	REJECTED	Origin, substrate, memory, will, refusal, personality, and purpose constraints must be assessed separately.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C31	Home is purely chosen rather than inherited.	OVERTURNED AS BINARY	Origin, homeland, citizenship, blood relation, memory, household, and chosen destination can coexist in plural relation.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C32	Citizenship is superficial compared with authentic belonging.	REJECTED	V01 denaturalization proves legal membership is materially indispensable even though it is insufficient for felt home.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C33	Preserving memory is inherently healthy.	NARROWED	Counter-archive can preserve persons, but memory can also monopolize action, demand imitation, or become grievance purpose.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C34	The visual/motif system can be read through stable symbolic equivalences.	REJECTED	T13 shows object biographies and context-sensitive reuse are stronger than fixed dictionaries.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C35	Visual evidence is intrinsically more truthful than narrated interpretation.	REJECTED	V13 demonstrates true footage can be made to tell a false causal story.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C36	V14 closes the series current major arguments.	REJECTED	V14 explicitly opens the final arc and leaves constitutional, relational, bodily, and posthuman outcomes unresolved.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C37	No Face equals Vaclav with mechanism fully established.	OPEN	Identity direction is near-conclusive, but incorporation/continuity mechanism remains unresolved at V14 boundary.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C38	Lyudmila fear of death can be generalized to Sirins as a class.	OPEN	It is strong evidence of emergent end-pressure in one subject, not a universal Sirin rule.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C39	Frederica throne and Shin War Emperor titles establish their free political choice.	OPEN	Consent, coercion, symbolism, emergency role, and actual constitutional power remain unknown.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C40	Political recoverability is guaranteed because Shin believes people can come back.	REJECTED AS GUARANTEE / OPEN AS POSSIBILITY	The grammar is modal possibility, and institutions may fail to realize it.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
T14-C41	Peace will resolve the becoming problem by stabilizing identity.	OPEN / METHOD CAUTION	The series has not yet shown postwar life; peace itself could become another fixed order if agency and exit disappear.	MUST_PRESERVE_IN_SPECIALIST_SYNTHESIS
