source_id	title	class	sample_frames	mean_luma_0_255	luma_sd	mean_saturation_0_255	saturation_sd	mean_edge_fraction	mean_inter_sample_absdiff_0_255	analysis_note
RINAMI-C01	clumsy trick song commu	song_commu	16	148.39619106716577	7.879368622405967	57.771877712673614	12.532682920902335	0.16627671983506945	14.629114221643515	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-C02	L.U.V song commu	song_commu	16	155.06450907389325	3.913125507048629	73.08512030707465	2.6840013761038017	0.17866007486979166	19.52508318865741	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-C03	36℃ U･B･U song commu	song_commu	16	138.33258056640625	57.754932610634576	55.968692355685775	28.412087097537427	0.16005113389756945	28.470871310763886	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-C04	Campus mode!! song commu	song_commu	16	172.12496439615887	23.47648681721346	48.14407857259114	6.121428313798688	0.09933302137586805	29.718905526620365	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-C05	ガラクタロード song commu	song_commu	16	145.37867736816406	7.836609516493084	85.87532721625433	8.67935542802803	0.18534511990017363	22.877830222800927	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-C06	Howling over the World song commu	song_commu	16	115.78040568033853	7.468453400566231	79.68607923719618	8.2495227585245	0.17640177408854169	15.182613570601852	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-C07	SUGAR FLAVOR / RippleSign song commu	song_commu	16	135.90197584364148	4.7090749055697785	85.08516608344183	7.319177150476447	0.1785888671875	19.527166521990743	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-D01	Dear 001-010	dear	32	55.18785688612196	21.543420065551636	14.662388271755644	13.654716424579782	0.04332987467447917	14.784994364639338	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-D02	Dear 011-020	dear	32	151.3007117377387	23.801117249020276	88.39131757948134	10.836049175071492	0.09517330593532985	26.398789272513444	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-D03	Dear 021-027 / STEP3	dear	16	179.02165391710068	12.60429579292568	59.12977091471354	6.175363384474449	0.1925845675998264	25.642069950810185	sparse inspection-frame descriptor from preferred R2 high-resolution materialization; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-D04	Dear 028-037 / STEP4 H.I.F.	dear	16	116.17885335286458	30.2019808067186	102.09131198459201	18.799102053881207	0.18418375651041669	33.23957971643518	sparse inspection-frame descriptor from preferred R2 high-resolution materialization; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-P01	clumsy trick 3DMV	performance	16	46.31288316514757	21.001229309037587	129.57076687282986	38.131492292824916	0.062896728515625	43.46000434027778	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-P02	clumsy trick official MV	performance	16	187.79859754774304	45.904089330941495	50.581503974066834	29.256191473803526	0.07436625162760417	69.24299768518517	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-P03	L.U.V 3DMV	performance	16	79.66210089789497	14.67192366613168	126.46535746256511	8.892884599128669	0.08447096082899305	55.437060546875	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
RINAMI-P04	L.U.V full-song presentation	performance	16	79.9312506781684	0.003588451381592263	87.3004387749566	0.03528195067978235	0.0785793728298611	0.33923249421296303	sparse inspection-frame descriptor; includes UI, editing, background, effects, and other characters; not a character-isolated visual measurement
