case_id	intake_date	title_original	title_romanized	title_working_english	franchise	creator_or_circle	format	r18_status	pairing_or_focus	work_type_initial	source_status	baseline_status	analysis_status	priority	confidence	next_action	notes
DJFW_CASE_0001	2026-08-28	純潔の才能	Junketsu no Sainou	Gift of Purity / Junketsu no Sainou	Lycoris Recoil	Bad Mushrooms (Chicke III, 4why)	digital CBZ	r18	Chisato Nishikigi / Takina Inoue	institutional-training comedy; DA-service-skill parody; R18 yuri intensification	extracted_manifested	A_minus_B_plus	second_pass_bonus_afterword_complete	high	medium_high	Optional OCR/line-pass only if Japanese register-level fidelity is needed; otherwise case can serve as initial Lycoris fanwork benchmark.	Second pass added p061-p080 bonus/afterword analysis. Afterword confirms relationship gap/exchange as creative method; bonus confirms Chisato-forward / Takina-brake chemistry. Boundary-testing material remains categorical only.
DJFW_BACKLOG_0001	2026-08-28	Aikatsu Ichigo becomes real horror doujin		Ichigo becomes real	Aikatsu		doujinshi	r18	Ichigo / narrator focus	parasocial horror	metadata_only_needs_reupload	C	metadata_only	high	provisional	Recover source or prior artifact before assigning live case ID.	Baseline contrast with Aikatsu horror case.
DJFW_BACKLOG_0002	2026-08-28	ウチのお姉ちゃんが穏やかじゃない!?	Uchi no Oneechan ga Odayaka janai!?	My older sister is not calm!?	Aikatsu		doujinshi	all_ages_or_mostly_non_explicit	Raichi / Aoi / Noelle	romantic misrecognition	metadata_only_needs_reupload	C	metadata_only	medium	provisional	Recover source before formal live case registration.	Handoff places as care/aftercare and responsibility-centered.
DJFW_BACKLOG_0003	2026-08-28	The Shooting Star and the Waning Moon		The Shooting Star and the Waning Moon	Magia Record		doujinshi	r18	Yachiyo / Iroha	magical accident responsibility	metadata_only_needs_reupload	C	metadata_only	medium	provisional	Recover source before formal live case registration.	Handoff identifies strong anthropological value despite low literary value.
DJFW_BACKLOG_0004	2026-08-28	Umamusume pre-prohibition R18 doujin		Umamusume pre-prohibition R18 doujin	Umamusume		doujinshi	r18	franchise premise focus	forbidden premise literalization	metadata_only_needs_reupload	D	metadata_only	medium	provisional	Use mainly for anthropological/IP-boundary analysis after recovery.	Handoff notes long-form corruption and imperial mythology.
DJFW_BACKLOG_0005	2026-08-28	ERONA		ERONA	Original commercial hentai fantasy		commercial manga	r18	Claudia / Erona	corruption identity overwrite	metadata_only_needs_reupload	D	metadata_only	medium	provisional	Formalize as original-work comparison case if source available.	Baseline likely strong due Lycoris V2 and audio backfill.
DJFW_BACKLOG_0006	2026-08-28	Gift of Purity		Gift of Purity	Lycoris Recoil		doujinshi	r18	Chisato / Takina	institutional training comedy	metadata_only_needs_reupload	A	metadata_only	high	provisional	Strong pilot once source is reuploaded; not the first live case.	Handoff treats as emotionally thin but taxonomically useful.
DJFW_BACKLOG_0007	2026-08-28	Testament Form mesugaki doujin		Testament Form	Fate/Grand Order		doujinshi	r18	Master/Servant hierarchy	mesugaki reversal trope	metadata_only_needs_reupload	D	metadata_only	low	provisional	Use for trope-engine taxonomy if source recovered.	Useful baseline for mainstream idol/Producer fantasy.
DJFW_BACKLOG_0008	2026-08-28	Idolmaster Minami swimsuit doujin		Minami swimsuit doujin	The Idolmaster / Cinderella Girls		doujinshi	r18	Minami / Producer	producer access costume hook	resolved_to_live_case_DJFW_CASE_0002	A / Minami mobile-game monograph + canonical audit	superseded_backlog_alias	closed	high	None; use DJFW_CASE_0002.	Resolved by source-locked live case DJFW_CASE_0002 / Mizugi no Shita no Yuuwaku; backlog alias retained only for provenance.
DJFW_BACKLOG_0009	2026-08-28	Gentle Connect! Re:Dive 4		Gentle Connect! Re:Dive 4	Princess Connect		doujinshi	r18	caretaker-coded heroine	contractual leverage fantasy	metadata_only_needs_reupload	D	metadata_only	low	provisional	Use for coercion/leverage category only if source recovered.	Handoff says it captures Iroha's teasing/manipulative energy.
