scene	phase	start	end	line_count	rms_db_median	pitch_median_hz	pitch_span_st_median	energy_range_db_median
DIA001_Dear023	controlled older-sister mask	0	67	14	-25.04034015914708	143.26482391357422	13.191107348770545	28.409423828125
DIA001_Dear023	rupture and cry	67	82	4	-23.74007355607639	266.66668701171875	14.57937372712841	21.81765651702881
DIA001_Dear023	recommitment under damage	82	170	13	-25.679671603311995	179.77528381347656	16.639954349964512	25.23099136352539
DIA001_Dear023	co-authored dependence	220	360	21	-26.53930842236198	195.1219482421875	17.302052280207604	25.210771560668945
DIA002_Dear027	return and teasing	60	116	10	-25.23779201176515	236.11111450195312	15.17560643569239	21.968324661254883
DIA002_Dear027	crying on the Producer	116	176	8	-25.98178818950761	144.14414978027344	14.06569318563054	23.26110076904297
DIA002_Dear027	self-doubt and explanation	176	334	20	-27.083551011631343	143.73186492919922	18.19005777160287	24.28025722503662
DIA002_Dear027	indomitable declaration	334	370	6	-25.909793859021043	324.6753387451172	13.260841408853594	25.69493293762207
DIA003_Garakuta	bedtime regulation	0	70	11	-24.625703621243744	207.79220581054688	15.266103400979304	23.553945541381836
DIA003_Garakuta	reciprocal vulnerability	70	166	11	-25.485650666727704	177.7777862548828	14.039099488977051	23.014747619628906
DIA003_Garakuta	teasing closure	166	180	3	-27.349821692165335	130.081298828125	11.89411378710076	23.692724227905273
DIA004_Dear035	retrospective teasing	0	138	20	-27.236569154738753	174.242431640625	14.704516371557315	21.5374813079834
DIA004_Dear035	singular bond and burden	138	168	7	-25.308524058063043	219.17808532714844	11.850108471677618	32.55462837219238
DIA004_Dear035	accumulation and ignition	168	200	8	-25.119593112972698	246.38711547851562	12.358012457289107	22.88971996307373
DIA005_Dear036	private sister victory	90	220	11	-27.023471149124063	216.21621704101562	13.84566375227274	26.111215591430664
DIA005_Dear036	formal public gratitude	240	321	8	-26.28167204529675	252.1091766357422	18.098175033620173	19.173311233520508
DIA005_Dear036	public challenge command	321	402	11	-25.661653430543435	280.7017517089844	13.487864871470794	16.559953689575195
DIA006_FMW	exposure anxiety	228.8	309	14	-23.778439010397555	283.29681396484375	17.976214965319762	21.563663482666016
DIA006_FMW	praise and melting	309	331	4	-22.7165226151323	265.3508758544922	12.191212785349547	28.03699779510498
DIA006_FMW	boast and stage ignition	331	352	3	-24.846515431069214	333.3333435058594	8.405277113003148	21.24947166442871
