speaker	target	matrix_status	audit_disposition	matrix_row_count	matrix_row_ids	matrix_pair_form	reverse_row_count	reverse_row_ids	profile_heading_declared	diagnostic_mentions_broad	diagnostic_mentions_direct_target_field	sample_diagnostic_ids	symmetry_state	notes
Frederica Rosenfort	Shinei Nouzen	PRESENT	PRESENT_PRE_CMR7	3	86-CMR-RM-FRE-SHI-01;86-CMR-RM-FRE-SHI-02;86-CMR-RM-FRE-SHI-03	EXACT_DYADIC	3	86-CMR-RM-SHI-FRE-01;86-CMR-RM-SHI-FRE-02;86-CMR-RM-SHI-FRE-03	true	24	23	86-CMR-FRE-001;86-CMR-FRE-004;86-CMR-FRE-005;86-CMR-FRE-007;86-CMR-FRE-008;86-CMR-FRE-009;86-CMR-FRE-010;86-CMR-FRE-012;86-CMR-FRE-013;86-CMR-FRE-014;86-CMR-FRE-015;86-CMR-FRE-016	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Frederica Rosenfort	Vladilena Milizé	PRESENT	PRESENT_PRE_CMR7	1	86-CMR-RM-FRE-LEN-01	EXACT_DYADIC	2	86-CMR-RM-LEN-FRE-01;86-CMR-RM-LEN-FRE-02	true	3	3	86-CMR-FRE-016;86-CMR-FRE-018;86-CMR-FRE-021	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Frederica Rosenfort	Raiden Shuga	PRESENT	PRESENT_PRE_CMR7	3	86-CMR-RM-FRE-RAI-01;86-CMR-RM-FRE-RAI-02;86-CMR-RM-FRE-RAI-03	EXACT_DYADIC	3	86-CMR-RM-RAI-FRE-01;86-CMR-RM-RAI-FRE-02;86-CMR-RM-RAI-FRE-03	true	6	6	86-CMR-FRE-003;86-CMR-FRE-032;86-CMR-FRE-039;86-CMR-FRE-040;86-CMR-FRE-041;86-CMR-FRE-046	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Frederica Rosenfort	Theoto Rikka	PRESENT	PRESENT_PRE_CMR7	1	86-CMR-RM-FRE-THE-01	EXACT_DYADIC	1	86-CMR-RM-THE-FRE-01	false	1	1	86-CMR-FRE-037	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Frederica Rosenfort	Kurena Kukumila	PRESENT	PRESENT_PRE_CMR7	1	86-CMR-RM-FRE-KUR-01	EXACT_DYADIC	2	86-CMR-RM-KUR-FRE-01;86-CMR-RM-KUR-FRE-02	false	2	2	86-CMR-FRE-029;86-CMR-FRE-031	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Frederica Rosenfort	Anju Emma	ABSENT_ADJUDICATED	RETAIN_COLLECTIVE_OR_INCIDENTAL	0			2	86-CMR-RM-ANJ-FRE-01;86-CMR-RM-ANJ-FRE-02	false	2	2	86-CMR-FRE-020;86-CMR-FRE-031	ONE_DIRECTION_ONLY	Candidate evidence was reviewed but remains collective, incidental, role-level, focalized through another subject or too narrow for an independent row. Reverse direction exists independently and does not authorize this direction.
Frederica Rosenfort	Shiden Iida	ABSENT_ADJUDICATED	RETAIN_COLLECTIVE_OR_INCIDENTAL	0			1	86-CMR-RM-SHD-FRE-01	false	0	0		ONE_DIRECTION_ONLY	Candidate evidence was reviewed but remains collective, incidental, role-level, focalized through another subject or too narrow for an independent row. Reverse direction exists independently and does not authorize this direction.
Frederica Rosenfort	Ernst Zimmermann	PRESENT	PRESENT_PRE_CMR7	2	86-CMR-RM-FRE-ERN-01;86-CMR-RM-FRE-ERN-02	EXACT_DYADIC	3	86-CMR-RM-ERN-FRE-01;86-CMR-RM-ERN-FRE-02;86-CMR-RM-ERN-FRE-03	true	6	6	86-CMR-FRE-002;86-CMR-FRE-004;86-CMR-FRE-015;86-CMR-FRE-023;86-CMR-FRE-037;86-CMR-FRE-043	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
Frederica Rosenfort	Grethe Wenzel	ABSENT_ADJUDICATED	RETAIN_COLLECTIVE_OR_INCIDENTAL	0			1	86-CMR-RM-GRE-FRE-01	false	0	0		ONE_DIRECTION_ONLY	Candidate evidence was reviewed but remains collective, incidental, role-level, focalized through another subject or too narrow for an independent row. Reverse direction exists independently and does not authorize this direction.
Frederica Rosenfort	Annette Penrose	PRESENT	PRESENT_PRE_CMR7	1	86-CMR-RM-FRE-ANN-01	EXACT_DYADIC	1	86-CMR-RM-ANN-FRE-01	false	1	1	86-CMR-FRE-017	BIDIRECTIONAL	Independent or analytically decisive speaker-side matrix state is present.
