case_id	character_or_unit	surface_voice	behavioral_grammar	relational_grammar	subjecthood	summary_voice_outcome	confidence	evidence_pointer	notes	confidence	evidence_pointer	notes
DJFW_CASE_0001	Chisato Nishikigi	elastic role/service performance plausible; no full OCR	embarrassment and performance slippage under intimacy/service pressure	playful expansion remains most legible with Takina	partially preserved; genre flattening pressure	voice-intensifying with intermittent flattening	medium	case reading section 15 + bonus locator notes	Second pass strengthens Chisato as role-conversion engine: she turns even bonus premise into training/performance; p062 and p071-p075 show playful overextension checked by Takina.			
DJFW_CASE_0001	Takina Inoue	direct/procedural contrast plausible; no full OCR	intimacy translated into instruction, competence, and Chisato-specific focus	jealousy/direct preference remains Takina-shaped	comparatively preserved in main dyad	voice-preserving to voice-intensifying	medium_high	case reading section 15 + baseline comparison section 11	Second pass strengthens Takina as moral/procedural brake: she rejects unacceptable externalization while preserving private Chisato/Takina training attachment.			
DJFW_CASE_0001	Chisato/Takina dyad	expansion/compression contrast visible at structure level	training premise becomes relationship pressure	relationship grammar mostly survives in main core	partially subject-preserving within R18 frame	relationship-grammar-preserving R18 intensification	medium_high	case reading section 15; bonus locator notes; afterword p076	Afterword explicitly states gap/exchange method; bonus confirms Chisato-forward / Takina-brake dyad. Upgrade dyad confidence within non-OCR limits.			
DJFW_CASE_0002	Nitta Minami / Producer	medium; playful/composed Minami subset survives	medium; body confidence and situation-testing survive, broader curiosity/responsibility architecture narrowed	medium; reciprocal familiarity present but relationship is premise-driven	partially preserved	voice-preserving in a narrow register with costume/body flattening pressure	high	canonical continuous reading 13BuHxC1io1nu_PH_OLkYs47eYr4j7iTb	Afterword demonstrates explicit character-collapse awareness.			
DJFW_CASE_0003	Nitta Minami / Producer	medium-high; role-play voice remains Minami-shaped	high within narrowed frame; role competence and conscious performance are canon-grounded	medium-high; affectionate dyad precedes and contains role transformation	substantially preserved in narrowed frame	role-performance intensification with explicit transformation bridge	high	canonical continuous reading 1pnpnXVvKoJCI2JAH0NYbP9G_uke05djr	Author explicitly states stronger transformation would require diegetic time.			
DJFW_CASE_0004	Nitta Minami / Producer	medium-high in ordinary-life resets; thinner in long scenario passages	medium-high; recurring routines and re-entry points preserve ongoing personhood	high for relationship duration; not equivalent to tightly plotted development	variable / partially to substantially preserved	relationship-continuity preserving but structurally accretive	high	canonical continuous reading 1wNIxtxqfQ6kOo1DzqINQev-CsjSZ2c0q	Length creates temporal pair-continuity; authorial afterword qualifies plot-coherence claims.			
DJFW_CASE_0005	Nitta Minami / Producer	high within private adult/romantic register	high; active self-authorization and familiar responsibility/desire tension survive	high; private adulthood symbolism remains pair-specific	substantially preserved	strong romantic intensification; desire amplified rather than invented	high	canonical continuous reading 1jou_7pnJHL2-VC-DszBVIPLB4I-bvh2W	Baseline audit prevents false late-desire narrative.			
DJFW_CASE_0006	Shinosawa Hiro / Producer	low-medium; some calm/oddity survives	low; chosen difficulty replaced by externally imposed bodily mechanism	low; Producer becomes scenario trigger rather than accountable co-traveler	reduced	frailty resemblance without Hiro's deeper authorship	high	canonical V2 reading 1xzAo58DzPoMS0DHWPc3DdM1Xj_t3A3xL	Useful negative control for body-as-switch collapse.			
DJFW_CASE_0007	Shinosawa Hiro / Producer	medium-high; calm abnormality and understated competence survive AU shift	high; mismatch becomes occult operational logic rather than passive frailty	high; exhausted protective operational companionship preserves accountable entanglement	strongly preserved within AU	strong transformative fidelity	high	canonical V2 reading 1JDkoHmW68v91EoefFS1kaTWH0DoFoOEf	Main risk is mythic over-elevation replacing ordinary Hiro with aura.			
DJFW_CASE_0008	Shinosawa Hiro micro-segments	medium in isolated evaluative register	medium-low; matter-of-fact aesthetics/pain evaluation survives but no developmental space	low; Producer relation thin	reduced, not erased	two motif-first instances of micro-fidelity	high	canonical V2 reading 1H2w_TEQOr0mIukg7JYduZdYlE2BgCpz0	V2 corrects one-segment assumption to two adjacent contributor segments.			
DJFW_CASE_0009	Shinosawa Hiro / Producer, mameojitan segment	high in safe setup/closing dialogue	high; frailty, fall-management competence, teasing, shared difficulty and constraint are Hiro-shaped	high; shared dream and reciprocal constraint strongly preserve mature Hiro/P grammar	substantially preserved in short form	strong short-form relational/voice fidelity	high	canonical V2 reading 1mqpgYimEyitiIOgx_lW8P2D_EfbOvVxh	First-pass OPEN state is retired.			
DJFW_CASE_0010	roster characters / Hiro closing-page cameo	none usable for character fidelity	extremely low character specificity	none material; repeated creator-machine grammar dominates	erased / functionally annihilated as subject	visual identity without character authorship	high for categorical classification	canonical V2 categorical reading 1H8sBFuZT85996KCEMyHRh5wbT0SXcDO3	No explicit OCR/transcription; not a line-level fidelity object.			
