open_question_id	topic	question	status	phase5_rule
T14-OQ-01	Federacy constitutional survival	Does the Federacy remain a constitutional order after the reactionary break, rather than merely a surviving territory or military coalition?	OPEN_FINAL_ARC	DO_NOT_RESOLVE_WITHOUT_NEW_PRIMARY_SOURCE
T14-OQ-02	New Imperial Court consent	What political reality, consent, coercion, symbolism, or hostage pressure lies behind Frederica throne and Shin War Emperor positions?	OPEN_FINAL_ARC	DO_NOT_RESOLVE_WITHOUT_NEW_PRIMARY_SOURCE
T14-OQ-03	Emergency powers	Which V12-V14 restrictions expire, which are reviewed, and which harden into ordinary rule?	OPEN_FINAL_ARC	DO_NOT_RESOLVE_WITHOUT_NEW_PRIMARY_SOURCE
T14-OQ-04	Political recoverability	Can a polity institutionally return from fear and scapegoating without simply restoring an older regime or relying on one exceptional ruler?	OPEN_FINAL_ARC	DO_NOT_RESOLVE_WITHOUT_NEW_PRIMARY_SOURCE
T14-OQ-05	Justice grammar	Is the aspirational justice formula retained after its reactionary conversion into self-identification?	OPEN_FINAL_ARC	DO_NOT_RESOLVE_WITHOUT_NEW_PRIMARY_SOURCE
T14-OQ-06	Return capability	Can retreat and physical return become protected institutional expectations rather than privileges that disappear under crisis?	OPEN_FINAL_ARC	DO_NOT_RESOLVE_WITHOUT_NEW_PRIMARY_SOURCE
T14-OQ-07	Postwar reparative order	What compensation, archive, education, reconstruction, and legal responsibility follow Republic/Federacy wrongdoing?	OPEN_FINAL_ARC	DO_NOT_RESOLVE_WITHOUT_NEW_PRIMARY_SOURCE
T14-OQ-08	Race/caste after V14	How will final-arc politics distinguish race, ethnicity, caste, aristocratic blood legitimacy, and military status?	OPEN_FINAL_ARC	DO_NOT_RESOLVE_WITHOUT_NEW_PRIMARY_SOURCE
T14-OQ-09	Fawn future	Can Fawns be medically stabilized and civically integrated without either denial of danger or detention-as-disposal?	OPEN_FINAL_ARC	DO_NOT_RESOLVE_WITHOUT_NEW_PRIMARY_SOURCE
T14-OQ-10	Artificial civic standing	What legal status can Sirins, Fido-like subjects, Zelene, and other artificial subjects possess?	OPEN_FINAL_ARC	DO_NOT_RESOLVE_WITHOUT_NEW_PRIMARY_SOURCE
T14-OQ-11	Lyudmila scope	Is Lyudmila emergent fear an individual relationship effect, a repeatable Sirin capacity, or evidence of broader designed-subject revisability?	OPEN_FINAL_ARC	DO_NOT_RESOLVE_WITHOUT_NEW_PRIMARY_SOURCE
T14-OQ-12	No Face end-revision	Can No Face revise the terminal purpose organizing his agency, or is all sophistication inside a captured end?	OPEN_FINAL_ARC	DO_NOT_RESOLVE_WITHOUT_NEW_PRIMARY_SOURCE
T14-OQ-13	No Face continuity	What exact continuity connects Vaclav Milize to No Face?	OPEN_FINAL_ARC	DO_NOT_RESOLVE_WITHOUT_NEW_PRIMARY_SOURCE
T14-OQ-14	Zelene continuity	How much selfhood and responsibility persist through Zelene Legion existence?	OPEN_FINAL_ARC	DO_NOT_RESOLVE_WITHOUT_NEW_PRIMARY_SOURCE
T14-OQ-15	Phonix individuality	What evidence would count as autonomous end formation rather than sophisticated adaptive behavior?	OPEN_FINAL_ARC	DO_NOT_RESOLVE_WITHOUT_NEW_PRIMARY_SOURCE
T14-OQ-16	Shin medical honesty	Will Shin disclose, accept treatment for, and accommodate sensory loss when doing so threatens frontline usefulness?	OPEN_FINAL_ARC	DO_NOT_RESOLVE_WITHOUT_NEW_PRIMARY_SOURCE
T14-OQ-17	Shin postwar vocation	Which nonmilitary preferences become durable when war no longer supplies the next task?	OPEN_FINAL_ARC	DO_NOT_RESOLVE_WITHOUT_NEW_PRIMARY_SOURCE
T14-OQ-18	Undertaker after war	Can Undertaker remain historical identity without continuing necessity reproducing the office?	OPEN_FINAL_ARC	DO_NOT_RESOLVE_WITHOUT_NEW_PRIMARY_SOURCE
T14-OQ-19	Lena overresponsibility	Can bounded responsibility survive direct personal catastrophe without renewed self-spending?	OPEN_FINAL_ARC	DO_NOT_RESOLVE_WITHOUT_NEW_PRIMARY_SOURCE
T14-OQ-20	Lena interpretive authority	Can Lena remain compassionate without converting accurate insight into authority over Shin meaning?	OPEN_FINAL_ARC	DO_NOT_RESOLVE_WITHOUT_NEW_PRIMARY_SOURCE
T14-OQ-21	Raiden own future	What does Raiden want beyond stabilizing, commanding, and returning others?	OPEN_FINAL_ARC	DO_NOT_RESOLVE_WITHOUT_NEW_PRIMARY_SOURCE
T14-OQ-22	Theo post-disability choice	Can Theo continue military/technical service without adaptation becoming a new duty to prove usefulness?	OPEN_FINAL_ARC	DO_NOT_RESOLVE_WITHOUT_NEW_PRIMARY_SOURCE
T14-OQ-23	Kurena independent worth	Can Kurena build durable self-worth not organized around protecting or being useful to loved people?	OPEN_FINAL_ARC	DO_NOT_RESOLVE_WITHOUT_NEW_PRIMARY_SOURCE
T14-OQ-24	Anju and Dustin	Can future commitment coexist with Daiya memory without narrating him as a hurdle that must be overcome?	OPEN_FINAL_ARC	DO_NOT_RESOLVE_WITHOUT_NEW_PRIMARY_SOURCE
