text_record_id,source_text,skin_id,category,interaction_register,relationship_state,voice_key,resource_key,voice_asset_id,source_bundle,source_bundle_sha256,source_stream_1based,awb_index_0based,source_hca_sha256,wav_filename,wav_sha256,sample_rate,channels,frames,duration_s,subtype,signal_processing,f0_median_hz,f0_p10_hz,f0_p90_hz,f0_span_st,activity_threshold_dbfs,active_seconds,internal_pause_ratio,substantial_pause_count,substantial_pause_s,active_dbfs,content_char_count,char_per_active_s,f0_frame_count
102130:battle:0,幸運の風が聞こえた？,102130,combat,COMBAT,,battle,warcry,AssetBundles/cue/cv-10213-battle.b#stream=8:warcry,AssetBundles/cue/cv-10213-battle.b,56ce8f1d28baf1af7341a318d100f2acf7a5ecc7283f6aae43354f8765273e41,8,7,09a6bb34c10954c234194ae7825cfe9045f192d5e45164678016728a9202794d,ST_LOUIS_102130_battle_0_warcry_56ce8f1d_S008.wav,74e7b221bdde108264ac53daf56cbf6af78ba93ecc711e185f8e9379c0edf68d,44100,1,117760,2.670294784580499,PCM_16,NONE,309.7346444849114,283.8607520862515,331.9389662294551,2.708815294328808,-43.2573432992929,1.8449886621315192,0.0,0,0.0,-17.120261110692933,9,4.878078757189912,120
102130:couple_encourage:0,ヘレナ、今度は勝敗ばかり見ちゃダメよ,102130,relationship_specific,PROFESSIONAL,,couple_encourage1,link1,AssetBundles/cue/cv-10213-battle.b#stream=2:link1,AssetBundles/cue/cv-10213-battle.b,56ce8f1d28baf1af7341a318d100f2acf7a5ecc7283f6aae43354f8765273e41,2,1,ba425c5bee2e5d26d573eee1ef43ff292bb5c4fc7f3c81f2d4058ea128f9809e,ST_LOUIS_102130_couple_encourage_0_link1_56ce8f1d_S002.wav,6951b103a4f44dfd50847d5626c5eb315c9c69a7e4630249e1b81c6d8dea1be4,44100,1,212992,4.829750566893424,PCM_16,NONE,336.51741721746725,201.99389875902162,425.1579139229771,12.88424490800355,-42.74734791016985,3.5699773242630384,0.11940298507462688,1,0.48,-16.745008410971963,17,4.761935008511395,262
102130:couple_encourage:1,ラッキーユニットってことかしら♪,102130,relationship_specific,PROFESSIONAL,,couple_encourage2,link2,AssetBundles/cue/cv-10213-battle.b#stream=3:link2,AssetBundles/cue/cv-10213-battle.b,56ce8f1d28baf1af7341a318d100f2acf7a5ecc7283f6aae43354f8765273e41,3,2,29cae33df9ff32f5d38e35aebff093902cb5a5b890caef5e17b96ec087cbc8e7,ST_LOUIS_102130_couple_encourage_1_link2_56ce8f1d_S003.wav,b5e35b60d2f9e91a033c3a177c19b5a7db77d9319beafb2fd6c54614a7c349f9,44100,1,147456,3.3436734693877552,PCM_16,NONE,392.5809677578018,270.7333809294444,437.3326313334608,8.302298617897453,-42.43889191861878,1.909954648526077,0.28294573643410853,1,0.36,-15.66431227913,15,7.853589618777381,136
102130:detail:0,重桜のあの子たちのような、味方に悪運をもたらす船じゃないわよ？……多分……ねぇ…,102130,base_secretary,COMMANDER_BASELINE,,detail,detail,AssetBundles/cue/cv-10213.b#stream=1:detail,AssetBundles/cue/cv-10213.b,080d1ca7d7668278371f2eadb1ebe01fc687732acd6c8920194297c38099ea87,1,0,10ac67ec1d0a738e9db54e126c11bcc7a8189f1a81a7a2af3a730ffcf1f4a17a,ST_LOUIS_102130_detail_0_detail_080d1ca7_S001.wav,314d04d6be2dd5b537954bf716a1669f74aea258b1ec6ad77be59767df33be7b,44100,1,440320,9.984580498866213,PCM_16,NONE,325.5729078887936,236.7609858903609,414.0211598119699,9.67527760241181,-42.08420282510463,7.279954648526077,0.20920043811610076,3,1.9100000000000001,-15.849319134231942,33,4.532995271705612,542
102130:expedition:0,うん……OK、出迎えはこの格好でいいわ,102130,base_secretary,COMMANDER_BASELINE,,expedition,expedition,AssetBundles/cue/cv-10213.b#stream=3:expedition,AssetBundles/cue/cv-10213.b,080d1ca7d7668278371f2eadb1ebe01fc687732acd6c8920194297c38099ea87,3,2,f6d0cb9eaf53e8ce02fe17ac2cbe81122d70a0e7b37f14a38b5b5dd616ae066c,ST_LOUIS_102130_expedition_0_expedition_080d1ca7_S003.wav,2cd5a9c2f0b61445ec78473ec4c56f7a374dada4934614650d1a993ee66d3bac,44100,1,260096,5.897868480725624,PCM_16,NONE,342.4766022690403,252.39249287222884,475.04699801452284,10.948815019137932,-42.9137223858222,3.4699546485260773,0.3220675944333996,2,1.49,-15.929031863666443,16,4.611011272667865,268
102130:feeling1:0,指揮官くん、せめてヘレナには……,102130,affinity,COMMANDER_AFFECTION,,feeling1,feeling1,AssetBundles/cue/cv-10213.b#stream=6:feeling1,AssetBundles/cue/cv-10213.b,080d1ca7d7668278371f2eadb1ebe01fc687732acd6c8920194297c38099ea87,6,5,9176f44c0f2190ddb47b9f92e2ee514d8ca9776034cb6bf01edb538eb23e144a,ST_LOUIS_102130_feeling1_0_feeling1_080d1ca7_S006.wav,a70fc3a08342d92e7636b44f14d229342b718d5bfcdf5939fc37de3c5f83651e,44100,1,180224,4.08671201814059,PCM_16,NONE,290.24198023273834,202.52114257369425,351.4308465554535,9.542019594892261,-42.87867475277393,2.8049659863945577,0.14814814814814814,1,0.3,-17.95597436858515,13,4.634637305071181,166
102130:feeling2:0,ヘレナがいたら、コロンバンガラでの戦いは違う結末になったかもしれないわね……,102130,affinity,COMMANDER_AFFECTION,,feeling2,feeling2,AssetBundles/cue/cv-10213.b#stream=7:feeling2,AssetBundles/cue/cv-10213.b,080d1ca7d7668278371f2eadb1ebe01fc687732acd6c8920194297c38099ea87,7,6,8b63697051c72751a5240e6ec10c29caa0d4870b6a94ad16c139b04d81e00ec3,ST_LOUIS_102130_feeling2_0_feeling2_080d1ca7_S007.wav,52c9221dc636bdb406be946ddcc94040fda6e473e3efbc2e3dfd7c3d4c98f4b8,44100,1,333824,7.569705215419501,PCM_16,NONE,267.7363417650814,208.69627285263576,362.99188942017355,9.582389737054681,-42.59218201981407,5.744965986394558,0.1467065868263473,2,0.98,-17.092581036449488,35,6.092290203786812,421
102130:feeling3:0,指揮官くん、部屋の掃除を手伝ってあげよっか？…ダメ！？,102130,affinity,COMMANDER_AFFECTION,,feeling3,feeling3,AssetBundles/cue/cv-10213.b#stream=8:feeling3,AssetBundles/cue/cv-10213.b,080d1ca7d7668278371f2eadb1ebe01fc687732acd6c8920194297c38099ea87,8,7,09448a920a19748312fb29a1553e5f210e67d7b3f58a06869a5457c1275eab4b,ST_LOUIS_102130_feeling3_0_feeling3_080d1ca7_S008.wav,7c278408c8bd9cbf96c923a556c96195eaf9d2146669918bcfeba72e16668fea,44100,1,300032,6.8034467120181406,PCM_16,NONE,341.59681535389177,253.7326836134663,417.20419432524426,8.609331543290505,-42.55853748504832,4.1899546485260775,0.30354131534569984,2,1.65,-16.992716076597233,22,5.250653490423591,260
102130:feeling4:0,うふふ、指揮官くんが部屋に隠しているヒミツ、ぜーんぶわ・か・る・わ～,102130,affinity,COMMANDER_AFFECTION,,feeling4,feeling4,AssetBundles/cue/cv-10213.b#stream=9:feeling4,AssetBundles/cue/cv-10213.b,080d1ca7d7668278371f2eadb1ebe01fc687732acd6c8920194297c38099ea87,9,8,dcf483e6b61cd5a34ae7da2e88e8241065465d1e494cccc55f47e90d621a20e9,ST_LOUIS_102130_feeling4_0_feeling4_080d1ca7_S009.wav,d3480d8a6615d9ee17608ff0637430cf027083925f36f807ceba8cf16590c798,44100,1,537600,12.19047619047619,PCM_16,NONE,295.8691124784148,202.52384475633625,408.9268439986877,12.165011923448677,-43.269118699679005,6.979886621315193,0.39770723104056444,6,3.98,-18.081484071642528,31,4.4413328871750055,406
102130:feeling5:0,ふぅ……後片付けはいっつも面倒ね…指揮官くん、どこかでデートしない？,102130,affinity,COMMANDER_AFFECTION,,feeling5,feeling5,AssetBundles/cue/cv-10213.b#stream=10:feeling5,AssetBundles/cue/cv-10213.b,080d1ca7d7668278371f2eadb1ebe01fc687732acd6c8920194297c38099ea87,10,9,f9ec5037629404810c74c53c2da6231ea860bf1461b56d266fe658de534493c1,ST_LOUIS_102130_feeling5_0_feeling5_080d1ca7_S010.wav,32beed01b3292652ee2aa2586e68acc760b220b50e61e6a937a024aa0356896d,44100,1,477184,10.820498866213152,PCM_16,NONE,318.6127817159795,225.4659479765468,421.1436910894253,10.816835925007668,-43.12228138418733,7.2949433106575965,0.2772772772772773,4,2.77,-17.15804161563404,29,3.9753564578949168,472
102130:home:0,全てのことは「サイオウホース」…うん……教えてくれたのは誰だっけ…,102130,base_secretary,COMMANDER_BASELINE,,home,home,AssetBundles/cue/cv-10213.b#stream=19:home,AssetBundles/cue/cv-10213.b,080d1ca7d7668278371f2eadb1ebe01fc687732acd6c8920194297c38099ea87,19,18,121146425a332ddbdcedbff96ce896abe6cdb55e15cf23c4053c4c5b8f9f3fc4,ST_LOUIS_102130_home_0_home_080d1ca7_S019.wav,0fd3053a35ab5896b61d02613b9911a47bc9e5f5fa57323e5eb1e5a6fd96d0a6,44100,1,415744,9.427301587301587,PCM_16,NONE,297.24579540868115,217.98285502717775,397.7600963619241,10.412206603497635,-43.32451642212353,5.479931972789116,0.36811254396248544,4,2.9400000000000004,-18.129945120378956,27,4.927068462541121,322
102130:hp_warning:0,うふふ、運ならどの娘にも負けないわ！,102130,combat,COMBAT,,hp_warning,hp,AssetBundles/cue/cv-10213-battle.b#stream=1:hp,AssetBundles/cue/cv-10213-battle.b,56ce8f1d28baf1af7341a318d100f2acf7a5ecc7283f6aae43354f8765273e41,1,0,cf3670c83daa0e5d81df13ff754a3e6cba75c3434b03011288cbb065590f62cb,ST_LOUIS_102130_hp_warning_0_hp_56ce8f1d_S001.wav,c212c5fe910a0b2dca37c6acee5821d7be90d03e4afaf1338eb5e1d4f7777e06,44100,1,206848,4.690430839002268,PCM_16,NONE,351.5633353449597,242.31384673820838,445.4217881739784,10.539543386667056,-41.96358839339466,3.5549659863945577,0.0883116883116883,0,0.0,-16.30114048377695,16,4.500746297217651,229
102130:login:0,指揮官くん、運ってのは流れるものなのよ？流れが来ているうち、思いっきりやっちゃって,102130,base_secretary,COMMANDER_BASELINE,,login,login,AssetBundles/cue/cv-10213.b#stream=23:login,AssetBundles/cue/cv-10213.b,080d1ca7d7668278371f2eadb1ebe01fc687732acd6c8920194297c38099ea87,23,22,7698096a4c5e63904852bd27f3d135530382cb80a44975887e7ce962655c836b,ST_LOUIS_102130_login_0_login_080d1ca7_S023.wav,f464e002d9684943e332c9be625ee1baebaca4d481f534f8843b6ff6ffbc03e4,44100,1,452608,10.263219954648527,PCM_16,NONE,310.9669302211666,212.79317185827034,462.99819461178544,13.458656517425815,-42.44650743763164,6.314897959183673,0.34672304439746293,3,2.61,-16.17631649426855,38,6.017516077949779,482
102130:lose:0,今日は戦闘に適さないようね……,102130,combat,COMBAT,,lose,lose,AssetBundles/cue/cv-10213-battle.b#stream=4:lose,AssetBundles/cue/cv-10213-battle.b,56ce8f1d28baf1af7341a318d100f2acf7a5ecc7283f6aae43354f8765273e41,4,3,0f6b5830392e4126fad81ba35737575beb774fbe90f4be174573a8264e4ad81f,ST_LOUIS_102130_lose_0_lose_56ce8f1d_S004.wav,051c17657b56bb2f2e4f7bebc1ddb4a4146c840cdf5ad0dacb06a3b8f4da1ff0,44100,1,155648,3.5294331065759637,PCM_16,NONE,339.9658909282748,266.66158525699876,446.6658281301219,8.930230540747502,-42.369621668016336,2.6749886621315193,0.0,0,0.0,-16.585046829155612,13,4.859833682300982,186
102130:mail:0,新しいメール？勝利のお知らせに決まっているわ,102130,base_secretary,COMMANDER_BASELINE,,mail,mail,AssetBundles/cue/cv-10213.b#stream=27:mail,AssetBundles/cue/cv-10213.b,080d1ca7d7668278371f2eadb1ebe01fc687732acd6c8920194297c38099ea87,27,26,05b716ee8568f29ea3ca9e5a6c26d89730aca446e32b7526a0a115c70cf0e131,ST_LOUIS_102130_mail_0_mail_080d1ca7_S027.wav,ae261fd37b44547120f1096a36f33857d15163f4f1a66ff5fb2eb931ea229c34,44100,1,257024,5.828208616780046,PCM_16,NONE,341.38037291017645,240.98253362287,498.72089556559405,12.591648801995039,-42.91133842587825,3.9199773242630385,0.22200000000000003,1,1.11,-16.196222697534857,21,5.357173846394132,280
102130:main:0,うふふ、指揮官くん、何を見てるの？,102130,base_secretary,COMMANDER_BASELINE,,main1,main_1,AssetBundles/cue/cv-10213.b#stream=30:main_1,AssetBundles/cue/cv-10213.b,080d1ca7d7668278371f2eadb1ebe01fc687732acd6c8920194297c38099ea87,30,29,c2257d495c9c640e4bac4a9b7fa83d9817fdab9c44d8125852da423fda3c8c84,ST_LOUIS_102130_main_0_main_1_080d1ca7_S030.wav,1c474471ccd81b8adfe4b446e1380a1a64907362950a471d4b89abba75ab48c2,44100,1,250880,5.688888888888889,PCM_16,NONE,328.4020606959632,214.1784656319869,433.77478727489046,12.217593206991545,-42.967626300615635,3.769954648526077,0.2270833333333333,1,0.72,-17.55235122509027,14,3.7135725241346127,208
102130:main:1,ヘレナ、SGは水面下のことじゃわからないわ,102130,base_secretary,COMMANDER_BASELINE,,main2,main_2,AssetBundles/cue/cv-10213.b#stream=35:main_2,AssetBundles/cue/cv-10213.b,080d1ca7d7668278371f2eadb1ebe01fc687732acd6c8920194297c38099ea87,35,34,4c6ecf28bcf58aa1370ddee6400aa4f6cc43bd11f3879b43b08cf27a3dc2782e,ST_LOUIS_102130_main_1_main_2_080d1ca7_S035.wav,e55e3b48e007e761682e315330f32ab22eb753b4db190193cbae7dad3e2bd7c2,44100,1,235520,5.340589569160998,PCM_16,NONE,291.4767089246916,207.31888011339672,385.95919362344415,10.75916181257449,-43.10636170596791,3.6899773242630385,0.17937219730941706,1,0.8,-16.706114921221978,20,5.420087507988791,270
102130:main:2,アリゾナ、あの時のことを忘れられなくても、あまり引きずらないほうがいいわ,102130,base_secretary,COMMANDER_BASELINE,,main3,main_3,AssetBundles/cue/cv-10213.b#stream=40:main_3,AssetBundles/cue/cv-10213.b,080d1ca7d7668278371f2eadb1ebe01fc687732acd6c8920194297c38099ea87,40,39,9cd90f94d8097df98c954a117a094d5c955c82fd552b75a8200c98e04cf1eb51,ST_LOUIS_102130_main_2_main_3_080d1ca7_S040.wav,14e1aafc92deeadbd701d5e648ca19434238cd7db5e2a6e0bf774c23b7717877,44100,1,334848,7.592925170068027,PCM_16,NONE,274.60586383860885,217.80877390730862,351.27547609836313,8.274489470286051,-42.59101820130703,5.309954648526077,0.22337278106508876,2,1.3900000000000001,-16.47731741350999,34,6.4030678697863515,397
102130:mission:0,うふふ、指揮官くん、サプライズに逢う準備をしてちょうだい,102130,base_secretary,COMMANDER_BASELINE,,mission,task,AssetBundles/cue/cv-10213.b#stream=54:task,AssetBundles/cue/cv-10213.b,080d1ca7d7668278371f2eadb1ebe01fc687732acd6c8920194297c38099ea87,54,53,d192451899b503826aadad8caece0b8bb4f0059c77084429496793e79fc7cf5c,ST_LOUIS_102130_mission_0_task_080d1ca7_S054.wav,8222a053e95a10cbe377eec6a6e571f4bc3f6effdf86f16565fead46d3914674,44100,1,287744,6.524807256235827,PCM_16,NONE,314.1425459243121,233.2797091297865,388.63313273983215,8.836176918612098,-43.47257334389657,4.509954648526077,0.21516754850088182,3,1.22,-17.590907269528092,26,5.7650247122766975,236
102130:mission_complete:0,うふふ、指揮官くんは甘えん坊ね……任務報酬を受け取る前に、少しだけここで横になってもいいわよ,102130,base_secretary,COMMANDER_BASELINE,,mission_complete,mission_complete,AssetBundles/cue/cv-10213.b#stream=47:mission_complete,AssetBundles/cue/cv-10213.b,080d1ca7d7668278371f2eadb1ebe01fc687732acd6c8920194297c38099ea87,47,46,8d34c73e2318d83a0d19ef00a5ea6a717ad8777fb14e3b64189b9f72aa2248ee,ST_LOUIS_102130_mission_complete_0_mission_complete_080d1ca7_S047.wav,10d03c2e5b999a845766fd380b6eb789a4c8b6c55f882f9b818d5029cd3bd40c,44100,1,549888,12.469115646258503,PCM_16,NONE,297.7841987617802,184.30493137482625,380.88245971629846,12.567014133178985,-42.65370523784312,8.994920634920636,0.2342807924203273,4,2.31,-17.211429988175464,42,4.669301898778852,557
102130:profile:0,うふふ、私はセントルイス、ヘレナの姉よ。かの真珠湾での戦いを無傷で乗り越えたお陰でLucky Louのニックネームを貰ったけど、その後の作戦行動はあまり上手く行かなかったわ。運ってやっぱり流れるものなのよ……,102130,profile,UNCLASSIFIED,,profile,profile,AssetBundles/cue/cv-10213.b#stream=52:profile,AssetBundles/cue/cv-10213.b,080d1ca7d7668278371f2eadb1ebe01fc687732acd6c8920194297c38099ea87,52,51,772a85a36cce1e3605362a778f63378c970fcdbb8de5a4d29ac4624e2be09d9d,ST_LOUIS_102130_profile_0_profile_080d1ca7_S052.wav,e96018b6bcadf9cc168551442355586c96fc8b9aca420cb953a9bc11bc8b3761,44100,1,1155072,26.192108843537415,PCM_16,NONE,289.2924101919013,208.41475786371737,400.67099254059906,11.315527534700063,-42.38849905366359,18.47482993197279,0.2783708975879794,9,6.31,-16.59898289879705,96,5.196258929228956,1293
