segment_id	source_id	start_seconds	duration_seconds	state	locator_confidence	source_title	f0_proxy_median_hz	f0_proxy_iqr_hz	voiced_frame_fraction_proxy	intensity_proxy_mean_db	intensity_proxy_p90_db	rms_dbfs	envelope_p90_p10_db	low_energy_fraction_below_minus45_dbfs	analysis_note
RINAMI-S01	RINAMI-D01	55	24	Dear 001 reencounter / near-retirement hesitation	high	Dear 001-010	318.1070250029969	132.6172157909433	0.39916666666666667	58.18826261700791	70.77548542260608	-28.3256437074045	21.782177643039496	0.09583333333333334	mixed-scene proxy; may include BGM, UI sounds, pauses, and other speakers; not a speaker-isolated voice measurement
RINAMI-S02	RINAMI-D01	310	24	Dear 003 produced-naturalness rehearsal	medium-high	Dear 001-010	286.0295115141378	156.1779482176627	0.63125	57.9682821499808	72.71649550278221	-26.355622124102275	30.68678838000722	0.2758333333333333	mixed-scene proxy; may include BGM, UI sounds, pauses, and other speakers; not a speaker-isolated voice measurement
RINAMI-S03	RINAMI-D01	1340	24	Dear 009-010 private romantic self-recognition	medium-high	Dear 001-010	330.0760944522259	119.81153467708265	0.48375	46.654000341327986	68.44545556758464	-28.969867668100346	20.809022468068818	0.135	mixed-scene proxy; may include BGM, UI sounds, pauses, and other speakers; not a speaker-isolated voice measurement
RINAMI-S04	RINAMI-D01	1650	24	Dear 010 public performance threshold	medium	Dear 001-010	370.3678325062404	126.02108402309915	0.4091666666666667	-31.209075733658338	70.07198382813912	-29.11756698684676	96.00180028827175	0.4216666666666667	mixed-scene proxy; may include BGM, UI sounds, pauses, and other speakers; not a speaker-isolated voice measurement
RINAMI-S05	RINAMI-D02	210	24	Dear 013-016 old persona / Shion pressure	medium	Dear 011-020	307.8999727514426	201.65467709198631	0.65875	62.85432976577127	76.29379983101958	-22.859494873046543	24.753058309965887	0.028333333333333332	mixed-scene proxy; may include BGM, UI sounds, pauses, and other speakers; not a speaker-isolated voice measurement
RINAMI-S06	RINAMI-D02	1160	24	N.I.A. performance pressure / competitive escalation	medium	Dear 011-020	359.2532090134256	168.71878282135123	0.5358333333333334	63.5991840271368	76.29424257366637	-23.119940940109664	23.562725497680688	0.009166666666666667	mixed-scene proxy; may include BGM, UI sounds, pauses, and other speakers; not a speaker-isolated voice measurement
RINAMI-S07	RINAMI-D02	2600	24	Dear 019-020 calibrated victory / reciprocal closeness	medium-high	Dear 011-020	354.6290579939682	192.86181181736794	0.48875	50.40912063624834	75.43848816977673	-23.04043086234647	24.545170717291033	0.06166666666666667	mixed-scene proxy; may include BGM, UI sounds, pauses, and other speakers; not a speaker-isolated voice measurement
RINAMI-S08	RINAMI-D03	805	24	Dear 023 summer H.I.F. disruption and loss	high	Dear 021-027 / STEP3	381.4741161606465	160.99692809966166	0.5379166666666667	61.92365471401771	72.77058025133552	-26.557644527440758	19.594725786722986	0.019166666666666665	mixed-scene proxy; may include BGM, UI sounds, pauses, and other speakers; not a speaker-isolated voice measurement
RINAMI-S09	RINAMI-D03	1540	24	Dear 025-026 home / dream-ownership crisis	medium-high	Dear 021-027 / STEP3	174.6098631696063	142.52442445537287	0.8679166666666667	61.605150599747596	69.8925538956408	-27.979054607898274	16.52392423907186	0.011666666666666667	mixed-scene proxy; may include BGM, UI sounds, pauses, and other speakers; not a speaker-isolated voice measurement
RINAMI-S10	RINAMI-D03	2320	24	Dear 027 優勝したかった / self-authored desire	high	Dear 021-027 / STEP3	229.24987113479665	211.42822522466508	0.8108333333333333	62.280864655334405	73.62028408511422	-25.63166568887377	19.633544764278266	0.004166666666666667	mixed-scene proxy; may include BGM, UI sounds, pauses, and other speakers; not a speaker-isolated voice measurement
RINAMI-S11	RINAMI-D04	1070	24	Dear 031 technique as love / full-body fanservice	medium-high	Dear 028-037 / STEP4 H.I.F.	257.0087780996333	155.4359552539574	0.5754166666666667	67.30207447964811	77.09369694527044	-21.871752485704718	18.69509008989237	0.0008333333333333334	mixed-scene proxy; may include BGM, UI sounds, pauses, and other speakers; not a speaker-isolated voice measurement
RINAMI-S12	RINAMI-D04	2025	24	Dear 033 H.O.F. result / audience love to self-love	high	Dear 028-037 / STEP4 H.I.F.	371.89196485127	249.82157044224894	0.4141666666666667	63.976137635197524	76.33321515052998	-23.20441854162993	21.082655819638042	0.024166666666666666	mixed-scene proxy; may include BGM, UI sounds, pauses, and other speakers; not a speaker-isolated voice measurement
RINAMI-S13	RINAMI-D04	2940	24	Dear 036 Prima Stella public acceptance	high	Dear 028-037 / STEP4 H.I.F.	300.39024624516026	289.85341225861214	0.50125	66.8875932491293	76.57827561399064	-22.371083493940596	18.175074084262153	0.0008333333333333334	mixed-scene proxy; may include BGM, UI sounds, pauses, and other speakers; not a speaker-isolated voice measurement
RINAMI-S14	RINAMI-D04	3270	24	Dear 037 explicit confession / lifelong production vow	high	Dear 028-037 / STEP4 H.I.F.	294.9253746725441	183.52182039916565	0.7304166666666667	62.94578349512482	71.9416565323492	-25.623683706503787	19.79480858195351	0.030833333333333334	mixed-scene proxy; may include BGM, UI sounds, pauses, and other speakers; not a speaker-isolated voice measurement
