case_id	canon_relation	compatibility	source_awareness	confidence	notes	evidence_pointer	next_action	desecration_or_profanation	confidence	notes
DJFW_CASE_0001	R18 intensification; affectionate parody; institutional premise literalization	IF-adjacent, not canon-compatible	author afterword suggests consequence-aware canon relation	medium_high	Not a consequence-free scenario; Yoshimatsu/Mika continuity is explicitly considered in afterword.	case reading section 9	OCR afterword if exact quotation needed.			
DJFW_CASE_0002	romantic/R18 Minami intensification anchored by official visual trait	IF-adjacent; not canon-compatible	high creator awareness of source-character collapse risk	high	Afterword invokes official tanning characterization as bridge rather than claiming canon scenario.	canonical reading 13BuHxC1io1nu_PH_OLkYs47eYr4j7iTb	Compare within telomereNA quartet.			
DJFW_CASE_0003	role-play romantic intensification built from Minami's performed competence	IF-adjacent; not canon-compatible	high; afterword explicitly reasons about transformation distance	high	Author rejects instantaneous extreme transformation as implausible for ordinary Minami.	canonical reading 1pnpnXVvKoJCI2JAH0NYbP9G_uke05djr	Use as canon-awareness/role-performance comparator.			
DJFW_CASE_0004	ongoing romantic continuation / private relationship extension	IF-adjacent; cumulative fanon relationship	medium-high; author retains Minami-specific boundaries and responds to official material	high	Compilation builds a continuing Minami/P relationship rather than a single source-adjacent episode.	canonical reading 1wNIxtxqfQ6kOo1DzqINQev-CsjSZ2c0q	Do not equate length with canon fidelity.			
DJFW_CASE_0005	private adulthood and romantic self-authorization intensification	symbolic post-canon/IF adulthood	high; afterword explicitly reflects on Minami's franchise-age/adulthood boundary and prior fanwork choices	high	Fanwork simplifies canon's unresolved adult/child ambiguity into a private symbolic adulthood frame.	canonical reading 1jou_7pnJHL2-VC-DszBVIPLB4I-bvh2W	Use audited Minami baseline to prevent late-desire misreading.			
DJFW_CASE_0006	R18 frailty literalization	low compatibility with canonical Hiro agency	medium; recognizes physical limit but not difficult-form mechanism	high	Uses canon vulnerability as scenario trigger rather than relational/ethical structure.	canonical V2 reading 1xzAo58DzPoMS0DHWPc3DdM1Xj_t3A3xL	Negative-control use.			
DJFW_CASE_0007	transformative occult AU	non-canon ontology; high character-grammar compatibility	high; setup/afterword deliberately explain AU premises and source-derived Hiro traits	high	Canon fidelity occurs at structural-character level, not event compatibility.	canonical V2 reading 1JDkoHmW68v91EoefFS1kaTWH0DoFoOEf	Benchmark transformative fidelity.			
DJFW_CASE_0008	multi-author roster anthology	not canon-compatible; thin trait compatibility in Hiro microsegments	medium; contributor microsegments use recognizable Hiro evaluative manner	high	No whole-work Hiro claim.	canonical V2 reading 1H2w_TEQOr0mIukg7JYduZdYlE2BgCpz0	Use microsegment scope only.			
DJFW_CASE_0009	multi-author romantic anthology; Hiro segment as relational intensification	not canon-compatible event; high character/relationship grammar compatibility	high within mapped Hiro segment	high	Safe setup/closing reconstruct body-limit and accountable shared-difficulty architecture.	canonical V2 reading 1mqpgYimEyitiIOgx_lW8P2D_EfbOvVxh	Use segment-level, not anthology-wide, fidelity claim.			
DJFW_CASE_0010	creator-specific fetish-machine negative control	character compatibility not meaningfully applicable	low character dependency; visual designs are inputs to repeated authorial mechanism	high	Hiro closing cameo is metadata, not evidence of Hiro narrative grammar.	canonical V2 categorical reading 1H8sBFuZT85996KCEMyHRh5wbT0SXcDO3	Categorical-only.			
