retrieval_id	source	source_locator	evidence_class	category	status	japanese_anchor_or_source_note	retrieval_note
V01-L014	V01	p-008.xhtml ¶489	CS	KIN_RETURN	RETAINED	必ず生きて、帰らないと	Rei frames continued life as obligation to return to his younger brother.
T01-V01-NR1	V01	item/xhtml/p-014.xhtml para 215	MI/LI	BLOCKED_RETREAT	NEW_RETRIEVAL	任務期間は無制限。この間、後退した場合は脱だつ走そう行こう為いとみなし、即そく時じ処しよ刑けいする。	Special Recon defines rearward movement as desertion punishable by immediate execution.
T01-V01-NR2	V01	item/xhtml/p-014.xhtml para 363	MI/NV	BLOCKED_RETURN	NEW_RETRIEVAL	準備はこれで、全て整った。あとは踏ふみ出だせばもう後退は許されない。作戦発動と同時に彼らの軍ぐん籍せきと国軍本部の友軍機登録は抹まつ消しようされ、管制用に残されたハンドラーとの...	Once Special Recon begins, rear fire and erased friendly registration make retreat institutionally impossible.
T01-V01-M1	V01	item/xhtml/p-007.xhtml para 53	CS/MI	EXPECTED_RETURN	NEW_RETRIEVAL	「馬ば鹿か野や郎ろう。お前らガキどもを生きて帰らせんのが整備班の仕事だ。そのために必要だってんなら機体なんざどうなろうが構やしねぇし、どんな手間だってかけてやるよ」	Maintenance personnel define their job as bringing the children back alive, an important counter-current inside the same system.
V02-L024	V02	p-006.xhtml ¶336–343	CS/LI	BATTLEFIELD_RETURN	RETAINED	帰ろう。あたし達のいるべきところに	The Five call renewed military service a return to where they feel they belong; this is a negative control against treating all return-language as healthy.
V02-L025	V02	p-006.xhtml ¶352–358	NV/SI	IMPOSSIBLE_RESTORATION	RETAINED	ただの子供に戻って` / empty rooms	Ernst imagines recovery as becoming ordinary children again; the text exposes the impossibility of literally returning to a childhood that was not allowed to occur.
V02-L042	V02	p-008.xhtml ¶254–267	CS/MI	TACTICAL_SURVIVAL	RETAINED	死にたくなければついて来い	Retreat/follow-me language appears as legitimate battlefield survival judgment.
V02-L043	V02	p-008.xhtml ¶282	NV/MI	LEARNED_NO_RETREAT	RETAINED	退却という思考はそもそもなかった	The Five lack retreat as a habitual category even after entering a military where retreat exists.
V02-L048	V02	p-009.xhtml ¶012–018	CS	ROLE_EXIT	RETAINED	俺達の戦争は終わった` / `ようやく──退役だ	Republic soldiers elsewhere can finally describe war as over and retirement as return from military function.
V03-L008	V03	p-005.xhtml ¶350–372	NV	ABANDONMENT	RETAINED	置いていかれてばかりだ` / `おいていかないで	Shin directly experiences his history as repeated being-left-behind.
V03-L011	V03	p-006.xhtml ¶046	NV	NO_HOME	RETAINED	帰る故郷はなく、守る家族もなく	Absence of homeland/family becomes part of why battle remains the easiest inhabitable space.
V03-L016	V03	p-006.xhtml ¶147	CS	PURPOSE_WITHOUT_RETURN	RETAINED	目的もなく帰る地もなく、誇りだけに縋って	Frederica names the endpoint of having pride without purpose or a place to return.
V03-L019	V03	mission departure	CS	REPEATED_RETURN	RETAINED	この先何度でも	Return is reframed as something that can happen repeatedly rather than a one-time escape.
V03-L021	V03	p-009.xhtml ¶089	CS	EXPECTED_RETURN	RETAINED	必ず帰れ	Giad authority imposes a new fate: come back alive.
V03-L022	V03	p-009.xhtml ¶326	CS	SELF_SPENDING	RETAINED	生きて帰ってくるつもりもなかった	Raiden distinguishes not wanting immediate death from actually intending to return alive.
V03-L039	V03	p-011.xhtml ¶396	NV	DEATH_WAITING	RETAINED	刺し違えて終わる時を...待ち焦がれていた	Shin retrospectively identifies waiting for mutual death with Rei as a specific historical death wish.
V03-L040	V03	p-011.xhtml ¶400–412	NV	ABANDONMENT	RETAINED	どうして今度も、連れていってくれなかった` / `おいていかないで	The left-behind plea becomes explicit rather than inferred.
V03-L050	V03	p-014.xhtml ¶072–076	CS/NV	NO_DESTINATION	RETAINED	帰る場所も、行きたいところも。...守るものも	Even after rescue and military success, Shin still lacks a positive return destination.
V03-L055	V03	p-015.xhtml ¶028–037	CS	CATCH_UP	RETAINED	追いつきましたよ` / `一緒に戦います	Lena reaches Shin rather than pulling him backward; pursuit/catch-up becomes a relational path image.
V04-L009	V04	p-005.xhtml ¶588	NV/LI	ABANDONMENT	RETAINED	おいていかないで	Lena internalizes the same left-behind language while confronting her own guilt and role armor.
V04-L015	V04	p-006.xhtml ¶639	CS/LI	NO_RETURN_STATE	RETAINED	先に進めぬ、ではない。戻れぬ、であろ。	Frederica distinguishes inability to move forward from inability to go back; restoration of the prior self is not the cure.
V04-L027	V04	p-009.xhtml ¶469	CS	RELATIONAL_RETURN	RETAINED	帰ってきてください	Lena asks Shin to return during the Phonix battle.
V04-L028	V04	p-009.xhtml ¶474	CS/LI	RELATIONAL_RETURN	RETAINED	必ず、ここへ。……帰ってきてください	The return request is explicitly to this place, strengthening a person/place return address.
V05-L028	V05	p-006.xhtml ¶759	CS/MI/LI	LEGITIMATE_RETREAT	RETAINED	撤退は、れっきとした戦術行動です	Lena explicitly states that retreat is a proper tactical action.
V05-L030	V05	p-007.xhtml ¶59–60	CS/NV/LI	ABANDONMENT	RETAINED	傍にいてくれるか` / `おいて逝かないでくれ	Vika asks Lerche to remain rather than leave him behind, exposing abandonment inside artificial-life creation.
V06-L016	V06	p-004 ¶528	CS/IT	REFUSE_FINALITY	RETAINED	「だから……そう。見限らないんじゃない。見限りたくないんです。大攻勢の、あの...	Lena refuses to treat human cruelty as an immutable final truth.
V06-L023	V06	p-005 ¶47	NV	ESCAPE_FROM_DESIRE	RETAINED	逃げているなと、内心思う。	Shin recognizes his own avoidance of future-desire as a form of fleeing.
V06-L025	V06	p-005 ¶150	BA/SI	REFUSAL_SPACE	RETAINED	その〈シリン〉を戦場に送りこみ、消耗品として使い捨てるのを、彼女の主は本心で...	Vika preserves Lerche answer/refusal space rather than issuing a command, making refusal a relational capacity.
V06-L034	V06	p-005 ¶850	CS/MI	OPTION_NOT_TO_DEPLOY	RETAINED	「……本部で、待機しているか」	Shin offers Rito the legitimate option of remaining at headquarters.
V06-L036	V06	p-006 ¶800	CS/LI	RETURN_ADDRESS	RETAINED	『帰ってこいと、貴女が命じたのでしょう。それなら待っていてください。帰る場所...	Shin states that a command to return requires someone to wait and somewhere to return to.
V06-L037	V06	p-006 ¶804	CS/LI	ABANDONMENT	RETAINED	『おいていかないでください』	Shin directly asks not to be left behind.
V06-L042	V06	p-006 ¶871	CS/LI	BILATERAL_RETURN	RETAINED	「だから、帰ってきなさい。絶対に。わたしはおいていきませんから、──あなたも...	Lena promises not to leave him and commands reciprocal return.
V06-L047	V06	p-007 ¶666	NV	UNFINISHED_FUTURE	RETAINED	必ず帰ると。話をしようと。傷つけたのを謝ることさえ自分はできていないのに、こ...	Return is tied to unfinished apology, conversation, and promises rather than mere survival.
V06-L053	V06	p-007 ¶818	CS/LI	REFUSE_ROLE_BINARY	RETAINED	「だから何だ？ お前たちの矜持なんて知ったことじゃない。戦い抜くのが誇りだと...	Shin refuses the binary between retaining warrior pride and choosing life with others.
V06-L056	V06	p-007 ¶847	BA	OPERATIONAL_RETURN	RETAINED	そのべたつく重い雪を踏んで、攻略部隊が帰ってくる。重装輸送車が次々と止まり、...	The surviving force physically returns; the relational thesis is realized through logistics and rescue.
V06-L060	V06	p-009 ¶93	CS/IT	SHARED_RETURN_PLACE	RETAINED	今は、同じ場所に帰ってくる。	The Five presently return to the same place, while the text anticipates later divergence.
V06-L066	V06	p-009 ¶139	CS/LI	WAITING	RETAINED	「今日は、帰ります。……待っている人がいますから」	Shin leaves recovered blood family because someone elsewhere is waiting; home becomes layered rather than replacement-based.
V07-L022	V07	p-008.xhtml ¶96	CS/LI	BOUNDARY_REFUSAL	RETAINED	すぐ線引いて後ずさりしやがって	Shiden attacks Lena habitual backward step and unnecessary boundary-drawing.
