logical_id	role	scope	canonical	drive_id	filename	size_bytes	duration_seconds	width	height	avg_frame_rate	video_codec	audio_codec	sample_rate	channels	sha256
LILJA-D01	dear_route	Dear 001-010	True	1z0wIs75biuC9r-u__q4H84P72WzzpqTv	【学マス】葛城リーリヤ　親愛度１～１０話【アイドルコミュ】-(720p30).mp4	173832322	3787.987302	1280	720	30/1	h264	aac	44100	2	f141e8f56bfc77ed2589ae35e6eee71fa1ff5bcbec1632aed6fcabbd109515d5
LILJA-D02	dear_route	Dear 011-020	True	1dEU6QvBW2sjykcJP8j_UHNMQeKBa1VrX	【学マス】葛城リーリヤ　親愛度１１～２０話【アイドルコミュ】-(720p30).mp4	198097599	2295.060317	1280	720	30/1	h264	aac	44100	2	114c10b22e72d9de84771b391b4fe18ed220e8042f67f23b9f6dd33a8f36caaf
LILJA-D03	dear_route	Dear 021-027	True	1VfxQDF6H4tM9YQAjCV4E4IfPXNNPKEWA	【学マス】葛城リーリヤ  親愛度コミュ21～27話まとめ【STEP3】-(720p60).mp4	253852983	2499.442358	1280	720	60/1	h264	aac	44100	2	73d87abde1250930db364bdd970cdcb3be0c056a4caa0e7564037d2cce7a71ac
LILJA-D04	dear_route	Dear 028-037	True	1cpj03f9n2uV6Oaba_FfoV26QA2H5S8qt	【学マス】葛城リーリヤ　親愛度２８～３７話【アイドルコミュ STEP4 HIF】-(360p30).mp4	191260561	4060.21805	640	360	30/1	h264	aac	44100	2	6f7b99c70e6296d003de79a410ecfe4d0841522aaa8b2e9dafb0683b333ac865
LILJA-C01	song_commu	白線	True	1T-YMfjdKWbhTk0bzdNzqyiw1BGgFQpyM	【楽曲コミュ】白線【葛城リーリヤ】【学マス】-(1080p30).mp4	61180751	517.944308	1920	1080	30/1	h264	aac	44100	2	d14064f2dcbcfd7465a976199de3751abdea56a6b476107f73245006fe07d9d8
LILJA-C02	song_commu	Campus mode!!	True	1N4vfg-F9l8XvQoVU8QjUPUAXN764qQBK	【楽曲コミュ】Campus mode!!【葛城リーリヤ】【学マス】-(1080p30).mp4	91445838	533.919637	1920	1080	30/1	h264	aac	44100	2	1d4be9f0f83c9e30b34389a170eb36e3e09291478a19e6ea2a6ef31c3aa8ad99
LILJA-C03	song_commu	極光	True	18kW88T8Mq3DG6bjcqk2J9SSxjAsCjXT_	【極光】葛城リーリヤ 楽曲コミュまとめ【学マス】-(1080p60).mp4	208052199	507.564989	1920	1080	60/1	h264	aac	44100	2	f10a0b9902e9c0e663d839170a334b4443a820fc6dc617c0d8d1563270abd515
LILJA-C04	song_commu	桜フォトグラフ	True	14tHzhrkwwYr4ZqOEqEUD10h5jhEIe3lj	【楽曲コミュ】桜フォトグラフ【葛城リーリヤ】【学マス】-(1080p30).mp4	131301270	834.223311	1920	1080	30/1	h264	aac	44100	2	f42476280d7205fbff0d21732db960cc2ff1902f594a8409f4f4e68832137470
LILJA-C05	song_commu	Atmosphere	True	1ytYutLqDEvnRwuUK4INW2LF8bulSSRdZ	【Atmosphere】葛城リーリヤ  楽曲コミュまとめ【学マス】-(1080p60).mp4	58792739	445.799909	1920	1080	60/1	h264	aac	44100	2	7aab1a59af876a08260a9348c49ad12f76f67f1c738c69cf6d890ad6e9464f21
LILJA-C06	song_commu	ときめきエモーション / REVERSI	True	1wRbvX-RugnC64X957r_olE5K7ONTBpEI	【ときめきエモーション】葛城リーリヤ  楽曲コミュまとめ【学マス】-(1080p60).mp4	91356864	566.799093	1920	1080	60/1	h264	aac	44100	2	736e632a2b742438c15b8f8abb21347e28598b6db07073338abb998f22e258a6
