evidence_id	source	source_locator	prior_locator_id	anchor	quote_state	evidence_class	contradiction_cluster	pressure_direction	source_dossier	analytic_function	note
T14-E001	V10	p-012 ¶98	V10-L015	それでも、一緒に帰るか	EXACT_VERIFIED	CS/LI	C00_COVERAGE_CONTROL	COVERAGE	T01	COMPANION_RETURN	Young Shin asks Fido whether it will go home with him; relation precedes later personhood theory.
T14-E002	Alter.1	OEBPS/part0013.xhtml ¶21	T05-E104	誰にも頼らず戦えないような子は生き残れないわ	EXACT_VERIFIED_DIRECT_SOURCE	CS/MI	C00_COVERAGE_CONTROL	COVERAGE	T05	failure_role_loss_and_recovery	Forced self-reliance under abandonment is a negative control for healthy distributed competence.
T14-E003	Alter.1	冬の日に、隻影二つ / OEBPS/part0010.xhtml ¶028	A1-L008	帰りを待つ者などいない	EXACT_VERIFIED	NV/SI	C00_COVERAGE_CONTROL	COVERAGE	T09	relational_return_belonging	Supplemental retained evidence; Alter.1 story-level chronology only.
T14-E004	V01	p-014.xhtml ¶084–090	V01-L020	存在証明 / 登り方は選べる	EXACT_VERIFIED	CS	C01_REVISION_VS_ENDURANCE	COUNTEREVIDENCE_OR_BOUNDARY	T03	IDENTITY_REVISION_CONTROL	Sector pride begins as self-authorship under a regime denying personhood; this is the positive baseline later critiques must preserve.
T14-E005	V03	p-001.xhtml ¶001–002	V03-L001	それが誇りだと / それ以外の何も	EXACT_VERIFIED	NV/PT	C01_REVISION_VS_ENDURANCE	COUNTEREVIDENCE_OR_BOUNDARY	T03	PRIDE_DIGNITY_IDENTITY	The epigraph already qualifies pride by noting how little else the Eighty-Six know.
T14-E006	V05	p-006.xhtml ¶682	V05-L023	未来などない。課された役目しかない	EXACT_VERIFIED	CS/LI	C01_REVISION_VS_ENDURANCE	COUNTEREVIDENCE_OR_BOUNDARY	T03	ROLE_IDENTITY	Assigned role as the only future is the Sirin-side negative control.
T14-E007	V07	p-001.xhtml ¶1	V07-L001	彼らはもはや、英雄なれば	EXACT_VERIFIED	PT/NV	C01_REVISION_VS_ENDURANCE	COUNTEREVIDENCE_OR_BOUNDARY	T03	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
T14-E008	V09	p-004 ¶312	V09-L008	戦うしかないんだよ	EXACT_VERIFIED	CS	C01_REVISION_VS_ENDURANCE	COUNTEREVIDENCE_OR_BOUNDARY	T03	IDENTITY_REVISION_CONTROL	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
T14-E009	V11	march p-026 ¶315–318	V11-L043	聖女マグノリアの、革命を導き率いた聖女の再来です / 鮮血の女王	EXACT_VERIFIED	EXACT_VERIFIED	C01_REVISION_VS_ENDURANCE	COUNTEREVIDENCE_OR_BOUNDARY	T03	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
T14-E010	V13	V13 / p-007.xhtml para 26	V13-L081	──一人じゃ戦えない、弱い死神だから。	EXACT_VERIFIED	LI	C01_REVISION_VS_ENDURANCE	COUNTEREVIDENCE_OR_BOUNDARY	T03	ROLE_IDENTITY	Retained because it directly bears on pride, wound, inherited identity, memory, role-binding, or the possibility of reinterpretation.
