locator_id	source	original_locator	original_anchor	original_validation	locked_locator	locked_anchor	locked_quote_state	correction_reason
V01-L009	V01	`p-008.xhtml ¶127`	`より数が少なくて、弱い者に冷たい`	PASS_EXACT_PAGE_LOCK	p-008.xhtml para 126	世界はいつも、より数が少なくて、弱い者に冷たい。	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V01-L028	V01	`p-018.xhtml ¶431`	`先にいきます。少佐`	PASS_EXACT_PAGE_LOCK	p-018.xhtml para 434	『先にいきます。少佐』	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V01-L030	V01	`p-022.xhtml`	`お久しぶりです、ハンドラー・ワン`	PASS_EXACT_PAGE_LOCK	p-022.xhtml para 21	「お久しぶりです、ハンドラー・ワン」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V02-L007	V02	`p-004.xhtml ¶373`	`戦い狂いのエイティシックス`	FAIL_ANCHOR_NOT_FOUND	p-004.xhtml para 373	「どうせ屑くず鉄てつどもをぶっ殺すのを優先したんだろ！　──戦いくさ狂ぐるいのエイティシックスが！」	EXACT_VERIFIED_BY_PHASE5	SOURCE_DEFECT_CORRECTED_OR_BACKFILLED
V02-L019	V02	`p-005.xhtml ¶497`	`人は常に、その人唯一つの存在`	FAIL_ANCHOR_NOT_FOUND	p-005.xhtml para 497	「代わりにはなり得ません。誰だれも彼も。人は常に、その人唯ゆい一いつの存在でございますれば」	EXACT_VERIFIED_BY_PHASE5	SOURCE_DEFECT_CORRECTED_OR_BACKFILLED
V02-L050	V02	`p-009.xhtml ¶081–089`	`鮮血の女王` calls all Processors	FAIL_ANCHOR_NOT_FOUND	p-009.xhtml para 89	「──〝鮮血の女王ブラッディレジーナ〟より、全戦線のプロセッサー各位！」	EXACT_VERIFIED_BY_PHASE5	SOURCE_DEFECT_CORRECTED_OR_BACKFILLED
V03-L003	V03	`p-004.xhtml`	`最初から何もかも諦めて`	PASS_EXACT_PAGE_LOCK	p-004.xhtml para 43	「それでも。……最初から何もかも諦あきらめて、殺されるのをただぼんやり待っているのは嫌いやです。たとえ力及ばず死ぬとしても……それまでは戦たたかい抜ぬきたい」	EXACT_VERIFIED_BY_PHASE5	PARAGRAPH_SCOPE_RELOCKED
V03-L013	V03	`p-006.xhtml ¶066`	`一年越しの“消毒”`	FAIL_ANCHOR_NOT_FOUND	p-006.xhtml para 66	「……中将。これは、一年越しの〝消毒〟ではないのだよね？」	EXACT_VERIFIED_BY_PHASE5	SOURCE_DEFECT_CORRECTED_OR_BACKFILLED
V03-L018	V03	mission departure	`戦争が終わるまで生き残ること`	NEEDS_LOCATOR_BACKFILL	p-007.xhtml para 81	『戦たたかい抜ぬく、のだろう？　この連れん邦ぽうではね、戦たたかい抜ぬくというならそれは死ぬことじゃなくて戦争が終わるまで生き残ることだよ。だから帰っておいで。必ず、……この先何度でもね』	EXACT_VERIFIED_BY_PHASE5	SOURCE_DEFECT_CORRECTED_OR_BACKFILLED
V03-L019	V03	mission departure	`この先何度でも`	NEEDS_LOCATOR_BACKFILL	p-007.xhtml para 81	『戦たたかい抜ぬく、のだろう？　この連れん邦ぽうではね、戦たたかい抜ぬくというならそれは死ぬことじゃなくて戦争が終わるまで生き残ることだよ。だから帰っておいで。必ず、……この先何度でもね』	EXACT_VERIFIED_BY_PHASE5	SOURCE_DEFECT_CORRECTED_OR_BACKFILLED
