episode,filename,size_bytes,sha256,zip_crc,zip_files,schema_version,title,duration_seconds,cue_count,shot_change_count,shot_segment_count,retained_frames,contact_sheets,audio_file,ja_subtitle,en_dialogue,en_spoken,op_ed_dedup_metadata,missing_or_irregular,source_video,selected_subtitle
S01E01,LLS_s01e01_screenshots.zip,179969324,fc0efe0e3986a8b6472d426299de29285e4eef7654487957f07a64f869887d41,PASS,891,1,Love Live! Superstar!!,1423.126,400,357,344,832,42,audio/s01e01.complete-audio.mp3,subtitles/S01E01.ja.corrected.ass,subtitles/S01E01.en.dialogue.ass,subtitles/S01E01.en.spoken-dialogue.ass,False,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 1\Love Live! Superstar!! - S01E01.mkv,subtitles\S01E01.ja.corrected.ass
S01E02,LLS_s01e02_screenshots.zip,182490649,7a9c2613d6eef2aa6190ee81d7b6392ced4c62f0d68d5c6d95e8852dd13d5d91,PASS,895,1,Love Live! Superstar!!,1422.101,437,390,382,836,42,audio/s01e02.complete-audio.mp3,subtitles/S01E02.ja.corrected.ass,subtitles/S01E02.en.dialogue.ass,subtitles/S01E02.en.spoken-dialogue.ass,False,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 1\Love Live! Superstar!! - S01E02.mkv,subtitles\S01E02.ja.corrected.ass
S01E03,LLS_s01e03_screenshots.zip,187403713,f0cfbcf201be8e566676df5c99e6dc297aedec367e2676f1807f06270669b3a4,PASS,974,1,Love Live! Superstar!!,1423.09,397,390,380,911,46,audio/s01e03.complete-audio.mp3,subtitles/S01E03.ja.corrected.ass,subtitles/S01E03.en.dialogue.ass,subtitles/S01E03.en.spoken-dialogue.ass,False,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 1\Love Live! Superstar!! - S01E03.mkv,subtitles\S01E03.ja.corrected.ass
S01E04,LLS_s01e04_screenshots.zip,156091741,fb4ddda572eeb06b6b37f5e8a4df0969fe3bd48373693da6bfd7c9ab95cfbbc2,PASS,786,1,Love Live! Superstar!!,1422.101,400,380,375,726,42,audio/s01e04.complete-audio.mp3,subtitles/S01E04.ja.corrected.ass,subtitles/S01E04.en.dialogue.ass,subtitles/S01E04.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 1\Love Live! Superstar!! - S01E04.mkv,subtitles\S01E04.ja.corrected.ass
S01E05,LLS_s01e05_screenshots.zip,144116532,f3ac759c0fa45844efe8c3c752db9c795e3395789d57822c279480e2920ef51f,PASS,695,1,Love Live! Superstar!!,1423.09,443,385,380,638,39,audio/s01e05.complete-audio.mp3,subtitles/S01E05.ja.corrected.ass,subtitles/S01E05.en.dialogue.ass,subtitles/S01E05.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 1\Love Live! Superstar!! - S01E05.mkv,subtitles\S01E05.ja.corrected.ass
S01E06,LLS_s01e06_screenshots.zip,155091870,e6e1d53f5f6cdd7a1a522572cce709b7651d0f24c221d23ed32c9b6a55bd076a,PASS,779,1,Love Live! Superstar!!,1422.123,401,408,397,718,43,audio/s01e06.complete-audio.mp3,subtitles/S01E06.ja.corrected.ass,subtitles/S01E06.en.dialogue.ass,subtitles/S01E06.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 1\Love Live! Superstar!! - S01E06.mkv,subtitles\S01E06.ja.corrected.ass
S01E07,LLS_s01e07_screenshots.zip,152125835,b8a243547635b800308d3c106624906f05b0f19c10a4509b4b221fe5ca71afd8,PASS,791,2,Love Live! Superstar!!,1423.09,446,383,378,728,45,audio/s01e07.complete-audio.mp3,subtitles/S01E07.ja.corrected.ass,subtitles/S01E07.en.dialogue.ass,subtitles/S01E07.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 1\Love Live! Superstar!! - S01E07.mkv,subtitles\S01E07.ja.corrected.ass
S01E08,LLS_s01e08_screenshots.zip,158860172,7d7688e520d0199d963d399d297cdef020cdf7650762238a395ac9cce8937f82,PASS,798,2,Love Live! Superstar!!,1422.088,404,352,347,738,42,audio/s01e08.complete-audio.mp3,subtitles/S01E08.ja.corrected.ass,subtitles/S01E08.en.dialogue.ass,subtitles/S01E08.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 1\Love Live! Superstar!! - S01E08.mkv,subtitles\S01E08.ja.corrected.ass
S01E09,LLS_s01e09_screenshots.zip,161494635,942bc737e0cdb608aaea07440117782a39fa1a89fcaa7bc77560462ebac3c7c7,PASS,835,2,Love Live! Superstar!!,1423.09,459,420,396,772,45,audio/s01e09.complete-audio.mp3,subtitles/S01E09.ja.corrected.ass,subtitles/S01E09.en.dialogue.ass,subtitles/S01E09.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 1\Love Live! Superstar!! - S01E09.mkv,subtitles\S01E09.ja.corrected.ass
S01E10,LLS_s01e10_screenshots.zip,177180055,e9aecc9a0dca7f1c53c6cd530275ffbbe3025ebfd3c5b8febf82ccdd628a0d2b,PASS,886,2,Love Live! Superstar!!,1422.088,402,439,426,820,48,audio/s01e10.complete-audio.mp3,subtitles/S01E10.ja.corrected.ass,subtitles/S01E10.en.dialogue.ass,subtitles/S01E10.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 1\Love Live! Superstar!! - S01E10.mkv,subtitles\S01E10.ja.corrected.ass
