source	file_name	expected_sha256	actual_sha256	bytes	zip_integrity	language_assessment	admissibility	phase5_status
V01	86 - Volume 01.epub	09f9ef31033945e54b11886197709de84748ef6ef4691b2d4e98cd5eecf10cd8	09f9ef31033945e54b11886197709de84748ef6ef4691b2d4e98cd5eecf10cd8	6645102	PASS	Japanese	MAINLINE	PASS
V02	86 - Volume 02.epub	aa78286d5036091efeda8c6e809cbecae7fcadb3e87dc93c194552c5b10324f1	aa78286d5036091efeda8c6e809cbecae7fcadb3e87dc93c194552c5b10324f1	7703909	PASS	Japanese	MAINLINE	PASS
V03	86 - Volume 03.epub	8d7708267ac15d1eb7eac1ebe08db4199d4d29fd495601c810be55ab38cb7446	8d7708267ac15d1eb7eac1ebe08db4199d4d29fd495601c810be55ab38cb7446	12729709	PASS	Japanese	MAINLINE	PASS
V04	86 - Volume 04.epub	b01ea7cd93a09a7ac7457bbe65eb94dde911fbd28e63470d90f5065351981e1b	b01ea7cd93a09a7ac7457bbe65eb94dde911fbd28e63470d90f5065351981e1b	9452297	PASS	Japanese	MAINLINE	PASS
V05	86 - Volume 05.epub	6f415a58489855503e3ad6fa5dbedfdbafceec9d87b95a62a3a8433a5c860adf	6f415a58489855503e3ad6fa5dbedfdbafceec9d87b95a62a3a8433a5c860adf	10879949	PASS	Japanese	MAINLINE	PASS
V06	86 - Volume 06.epub	58b18e7e1205901499b5a25dc78bcb46257c85f829a25e4d46155b4a127b4fc7	58b18e7e1205901499b5a25dc78bcb46257c85f829a25e4d46155b4a127b4fc7	8000531	PASS	Japanese	MAINLINE	PASS
V07	86 - Volume 07.epub	cbf40552883ad820eaf76485620c9dbdbd6e295343d25c01fb5e7d5f6ee2a7b1	cbf40552883ad820eaf76485620c9dbdbd6e295343d25c01fb5e7d5f6ee2a7b1	7841380	PASS	Japanese	MAINLINE	PASS
V08	86 - Volume 08.epub	c3de5072add0336e680cb665947cfa683629e304502ab09e002e26433214bfef	c3de5072add0336e680cb665947cfa683629e304502ab09e002e26433214bfef	9432032	PASS	Japanese	MAINLINE	PASS
V09	86 - Volume 09.epub	980e1fdb37bd3096b83909d452433a1c17035444e08b0db22f80219e207c42fc	980e1fdb37bd3096b83909d452433a1c17035444e08b0db22f80219e207c42fc	7331153	PASS	Japanese	MAINLINE	PASS
V10	86 - Volume 10.epub	38038c0fb4495eb455bebaa86e5c5ee91f8f3b5a290c0e145571d194268cea86	38038c0fb4495eb455bebaa86e5c5ee91f8f3b5a290c0e145571d194268cea86	17521149	PASS	Japanese	MAINLINE	PASS
V11	86 - Volume 11.epub	e79f5af1d3af6ab2da74e5abb52202df93024ffc87a9cf1406f0e0aabfb04e79	e79f5af1d3af6ab2da74e5abb52202df93024ffc87a9cf1406f0e0aabfb04e79	18804946	PASS	Japanese	MAINLINE	PASS
V12	86 - Volume 12.epub	5324b68ffb6a9be25bda7233edb0f1f66f1599580c5b62064aea7d7b08a5b9cd	5324b68ffb6a9be25bda7233edb0f1f66f1599580c5b62064aea7d7b08a5b9cd	9715688	PASS	Japanese	MAINLINE	PASS
V13	86 - Volume 13.epub	e9e02b6bdabaf0b48478ecaf7354ebd2e7551ef3b247713002473f2b53f0b66e	e9e02b6bdabaf0b48478ecaf7354ebd2e7551ef3b247713002473f2b53f0b66e	9690920	PASS	Japanese	MAINLINE	PASS
V14	86 - Volume 14 [Japanese].epub	0530e6d0ad217fe1b74f6802be32b842a0facc81e5418cd0e8826a510fa54aaa	0530e6d0ad217fe1b74f6802be32b842a0facc81e5418cd0e8826a510fa54aaa	8069921	PASS	Japanese	MAINLINE	PASS
ALTER1	86 - Alter 01 [Japanese].epub	226f1909fd53a39b8e30ff286ae1f914b505fe205d112efb4c24c7f9322a7150	226f1909fd53a39b8e30ff286ae1f914b505fe205d112efb4c24c7f9322a7150	9486699	PASS	Japanese	SUPPLEMENTAL_AUDITED	PASS
ALTER2	86 - Alter 02 [Japanese].epub	b155b45bf2448f5b5a5f494fcc00c5fbb245c03dfd8898688792cffd3973fdf9	b155b45bf2448f5b5a5f494fcc00c5fbb245c03dfd8898688792cffd3973fdf9	7371524	PASS	Japanese	EXCLUDED_AU	PASS
