evidence_id	source	source_locator	prior_locator_id	anchor	quote_state	evidence_class	evidence_type	motif	analytic_function	note
T13-E001	V01	Ch.2 / p-007.xhtml ¶170	V01-L007	人生には菓子とかコーヒーとか	EXACT_VERIFIED	CS	PROSE_LOCATOR	人生には菓子とかコーヒーとか	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E002	V01	Ch.3 / p-008.xhtml ¶266	V01-L011	名前さえ、一回だって訊いたことがない	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	名前さえ、一回だって訊いたことがない	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E003	V01	Ch.3 / p-008.xhtml ¶489	V01-L014	必ず生きて、帰らないと	EXACT_VERIFIED	CS	PROSE_LOCATOR	必ず生きて、帰らないと	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E004	V01	Ch.7 / p-018.xhtml ¶343	V01-L026	生きているからどんどん変わって	EXACT_VERIFIED	NV	PROSE_LOCATOR	生きているからどんどん変わって	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E005	V01	Ch.7 / p-018.xhtml ¶526	V01-L029	花でも供えてくれませんか	EXACT_VERIFIED	CS	PROSE_LOCATOR	花でも供えてくれませんか	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E006	V01	afterword / p-024.xhtml ¶020	V01-L031	本作一冊でも完結してます	EXACT_VERIFIED	PT	PROSE_LOCATOR	本作一冊でも完結してます	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E007	V02	Prologue / p-002.xhtml ¶024–025	V02-L001	必ずプロセッサー達の本名は	EXACT_VERIFIED	BA/LI	PROSE_LOCATOR	必ずプロセッサー達の本名は	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E008	V02	Ch.2 / p-005.xhtml ¶241–244	V02-L011	お前にはこれから、長い時間がある	EXACT_VERIFIED	CS	PROSE_LOCATOR	お前にはこれから、長い時間がある	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E009	V02	Ch.3 / p-006.xhtml ¶077–080	V02-L020	civilian activities / `もうエイティシックスなどではない	PARAPHRASE + EXACT_ANCHOR	NV	PROSE_LOCATOR	civilian activities / `もうエイティシックスなどではない	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E010	V02	Ch.3 / p-006.xhtml ¶448	V02-L029	欠落した生き方	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	欠落した生き方	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E011	V02	Ch.4 / p-007.xhtml ¶430–432	V02-L035	何にも拠らず、己が身一つ恃みに生きる	EXACT_VERIFIED	NV/LI	PROSE_LOCATOR	何にも拠らず、己が身一つ恃みに生きる	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E012	V02	Afterword / p-011.xhtml ¶013–017	V02-L051	いきなり上下巻です` / `エイティシックスとは何なのか	EXACT_ANCHOR	PT	PROSE_LOCATOR	いきなり上下巻です` / `エイティシックスとは何なのか	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E013	V03	epigraph / p-001.xhtml ¶001–002	V03-L001	それが誇りだと` / `それ以外の何も	EXACT_VERIFIED	NV/PT	PROSE_LOCATOR	それが誇りだと` / `それ以外の何も	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E014	V03	Ch.6 / p-005.xhtml ¶350–372	V03-L008	置いていかれてばかりだ` / `おいていかないで	EXACT_VERIFIED	NV	PROSE_LOCATOR	置いていかれてばかりだ` / `おいていかないで	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E015	V03	Ch.6 / p-006.xhtml ¶169	V03-L017	そなたに死なれたくはない	EXACT_VERIFIED	CS	PROSE_LOCATOR	そなたに死なれたくはない	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E016	V03	Ch.8 / p-009.xhtml ¶334	V03-L023	兄貴討つために生きてきたんじゃねえ	EXACT_VERIFIED	CS	PROSE_LOCATOR	兄貴討つために生きてきたんじゃねえ	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E017	V03	Ch.8 / p-010.xhtml ¶116	V03-L030	手に入れた“自由”` / `あまりにも大きな空虚	EXACT_VERIFIED	NV	PROSE_LOCATOR	手に入れた“自由”` / `あまりにも大きな空虚	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E018	V03	Ch.9 / p-011.xhtml ¶244	V03-L036	引く覚悟はフレデリカ自身が決めるべき	EXACT_VERIFIED	NV	PROSE_LOCATOR	引く覚悟はフレデリカ自身が決めるべき	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E019	V03	red field / p-013.xhtml ¶106–110	V03-L044	忘れないでと、言われましたから` / `忘れたくないから	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	忘れないでと、言われましたから` / `忘れたくないから	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E020	V03	cemetery / p-014.xhtml ¶085	V03-L051	見たいとは...思わない。でも、海を見せたい	EXACT_VERIFIED	CS	PROSE_LOCATOR	見たいとは...思わない。でも、海を見せたい	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E021	V03	afterword / p-016.xhtml ¶031	V03-L056	三巻にしてようやく内面にスポット	EXACT_VERIFIED	PT	PROSE_LOCATOR	三巻にしてようやく内面にスポット	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E022	V04	Ch.1 / p-005.xhtml ¶271	V04-L003	報復してもいいのは、おれたちエイティシックスだけ	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	報復してもいいのは、おれたちエイティシックスだけ	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E023	V04	Ch.2 / p-006.xhtml ¶737	V04-L017	豚の鳴き声に、レーナは耳を傾けないでしょう？	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	豚の鳴き声に、レーナは耳を傾けないでしょう？	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E024	V04	Phönix fight / p-009.xhtml ¶474	V04-L028	必ず、ここへ。……帰ってきてください	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	必ず、ここへ。……帰ってきてください	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E025	V04	ending / p-012.xhtml ¶183	V04-L038	人を。愛せていますか	EXACT_VERIFIED	CS	PROSE_LOCATOR	人を。愛せていますか	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E026	V04	afterword / p-014.xhtml ¶23	V04-L045	ハッピーエンドのその先へ	EXACT_VERIFIED	PT	PROSE_LOCATOR	ハッピーエンドのその先へ	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E027	V05	Ch.1 / p-004.xhtml ¶36	V05-L002	死ぬのも死なれるのも...本当は怖い	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	死ぬのも死なれるのも...本当は怖い	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E028	V05	Ch.2 / p-005.xhtml ¶363	V05-L017	何のために己は生きるか	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	何のために己は生きるか	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E029	V05	Ch.3 / p-006.xhtml ¶721	V05-L027	それがしは...レルヒェリート殿ではない	EXACT_VERIFIED	CS	PROSE_LOCATOR	それがしは...レルヒェリート殿ではない	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E030	V05	Ch.4 / p-007.xhtml ¶345	V05-L038	人は死んだら生き返らない。代わりはいない	EXACT_VERIFIED	CS	PROSE_LOCATOR	人は死んだら生き返らない。代わりはいない	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E031	V05	epilogue / p-010.xhtml ¶57	V05-L049	自分の生きてきた道を...否定しなくてもいい	EXACT_VERIFIED	CS/LI	PROSE_LOCATOR	自分の生きてきた道を...否定しなくてもいい	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E032	V06	p-002 ¶17	V06-L001	彼──だろう、おそらく──もまた人の脳構造を取り込んだ指揮官機である以上、生...	EXACT_VERIFIED	PF/NV/LI	PROSE_LOCATOR	彼──だろう、おそらく──もまた人の脳構造を取り込んだ指揮官機である以上、生...	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E033	V06	p-004 ¶243	V06-L008	目の前のリュドミラは、先の戦闘で死んだリュドミラと同じ疑似人格、同じ戦闘経験...	EXACT_VERIFIED	PF/NV	PROSE_LOCATOR	目の前のリュドミラは、先の戦闘で死んだリュドミラと同じ疑似人格、同じ戦闘経験...	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E034	V06	p-004 ¶696	V06-L017	海を、見せたいと望んだ。──彼女を通してしか、未だ自分は未来を望めない。	EXACT_VERIFIED	NV	PROSE_LOCATOR	海を、見せたいと望んだ。──彼女を通してしか、未だ自分は未来を望めない。	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E035	V06	p-005 ¶150	V06-L025	その〈シリン〉を戦場に送りこみ、消耗品として使い捨てるのを、彼女の主は本心で...	EXACT_VERIFIED	BA/SI	PROSE_LOCATOR	その〈シリン〉を戦場に送りこみ、消耗品として使い捨てるのを、彼女の主は本心で...	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E036	V06	p-005 ¶748	V06-L032	「やっと認めたな。……卿の年頃の人間は他人に弱みを見せると死ぬ生き物らしいが...	EXACT_VERIFIED	CS/IT	PROSE_LOCATOR	「やっと認めたな。……卿の年頃の人間は他人に弱みを見せると死ぬ生き物らしいが...	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E037	V06	p-006 ¶860	V06-L041	シンは、戦い抜く強さを持っていたんじゃない。	EXACT_VERIFIED	NV/IT	PROSE_LOCATOR	シンは、戦い抜く強さを持っていたんじゃない。	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E038	V06	p-007 ¶704	V06-L051	がしゃりと鋭く足音を立てて、〈ジャガーノート〉が姿を現す。パーソナルマークは...	EXACT_VERIFIED	BA/MI	PROSE_LOCATOR	がしゃりと鋭く足音を立てて、〈ジャガーノート〉が姿を現す。パーソナルマークは...	prose_motif_control	canonical volume locator retained for motif/object/space context
