artifact	artifact_type	character	prior_status	new_status	prior_drive_sha256	canonical_sha256	content_action	promotion_verdict	authority_boundary
86_FREDERICA_ROSENFORT_CHARACTER_REFERENCE_PROFILE.md	character_reference_profile	Frederica Rosenfort	active_provisional	canonical	35b97d62b9a4a9bd130e8fdaca23c1d79cee44b532066fc6aec7cd39363bd11f	353399db927f5a48765ad4de0711b385fe03e400d431971363ef59acb9808614	METADATA_PROMOTION	PASS_CANONICAL	Japanese primary source and narrower canonical V2 authorities prevail
86_SHINEI_NOUZEN_CHARACTER_REFERENCE_PROFILE.md	character_reference_profile	Shinei Nouzen	active_provisional	canonical	dc05921737ee5ff5159845c9c28456d0b61c647ba75acc32f3113203910fd353	43dee958065554e9beda4bd337ad906227e33399efddbf846dab37892c6bcdeb	METADATA_PROMOTION + QUOTATION_NORMALIZATION	PASS_CANONICAL	Japanese primary source and narrower canonical V2 authorities prevail
86_VLADILENA_MILIZE_CHARACTER_REFERENCE_PROFILE.md	character_reference_profile	Vladilena Milizé	active_provisional	canonical	5b7c0dbb8d5b9108a227a9a33a821ebcb652c9f09f72320a3a4b9a24ed889e93	fa59bc7d68c3f4dd99ea85011cb07dee3866b375b7244e1c5bdb1c06b316088f	METADATA_PROMOTION	PASS_CANONICAL	Japanese primary source and narrower canonical V2 authorities prevail
86_RAIDEN_SHUGA_CHARACTER_REFERENCE_PROFILE.md	character_reference_profile	Raiden Shuga	active_provisional	canonical	b73e68ccac2826248feb1443f987cafc0aa2dec8e2e3856ec27f00f3655fa59e	fceaa6fbd3a582bd5c54047412e15a0b56bcdb94c0020101c2784d96d19c50aa	METADATA_PROMOTION	PASS_CANONICAL	Japanese primary source and narrower canonical V2 authorities prevail
86_THEOTO_RIKKA_CHARACTER_REFERENCE_PROFILE.md	character_reference_profile	Theoto Rikka	active_provisional	canonical	12eba24e1fd309e752a76652a6519a45b4e679fa70f0e751a568eaa2711e6653	11ff8c3f882387b1aeaa4c5930b70e702da613fd1bb3e66049d732585bbd88e8	METADATA_PROMOTION	PASS_CANONICAL	Japanese primary source and narrower canonical V2 authorities prevail
86_KURENA_KUKUMILA_CHARACTER_REFERENCE_PROFILE.md	character_reference_profile	Kurena Kukumila	active_provisional	canonical	87a879cbfba7bc95e74e35fec4ac59b627e9dcb3a493c24265fdc57150e5221e	f45f2ec52261e4d590fce06a5630272f1f3e2c490a377527a68970d8ba4f98f2	METADATA_PROMOTION	PASS_CANONICAL	Japanese primary source and narrower canonical V2 authorities prevail
86_ANJU_EMMA_CHARACTER_REFERENCE_PROFILE.md	character_reference_profile	Anju Emma	active_provisional	canonical	03e61c4f0f8b895053127e9b0dbe7b083a9f393737c0b2eeb34a164600149134	8d129f14e13dd8168370dbe6222e55b5a7029f35b0df9c1b4a076babcea2f80f	METADATA_PROMOTION	PASS_CANONICAL	Japanese primary source and narrower canonical V2 authorities prevail
86_SHIDEN_IIDA_CHARACTER_REFERENCE_PROFILE.md	character_reference_profile	Shiden Iida	active_provisional	canonical	647cef10022a04dd2a97dc87565ffe7201ffcb27124944e7fcfbc6f165d1355f	8bbb7264299992a1f3772134cd4d361a0b3279116cc15ba774841747334775c6	METADATA_PROMOTION	PASS_CANONICAL	Japanese primary source and narrower canonical V2 authorities prevail
86_ERNST_ZIMMERMANN_CHARACTER_REFERENCE_PROFILE.md	character_reference_profile	Ernst Zimmerman	active_provisional	canonical	828ee2e90a73f08b52634cd78e99dbf4311f5ad1b04bdae5653f675f3ef49647	e30446b352f57ab6ef7ed83944fd75a6dfb2a3423c96a992d900faf57a62eb28	METADATA_PROMOTION	PASS_CANONICAL	Japanese primary source and narrower canonical V2 authorities prevail
86_GRETHE_WENZEL_CHARACTER_REFERENCE_PROFILE.md	character_reference_profile	Grethe Wenzel	active_provisional	canonical	a6d766aba1e43a3a258e1f735d9cf889d295448c628a61f0143302d4e2e05713	9f86d566d72dd0279885e9745efa13539edfb8dbdfcefd1739bfca5ea734f20c	METADATA_PROMOTION + QUOTATION_NORMALIZATION	PASS_CANONICAL	Japanese primary source and narrower canonical V2 authorities prevail
86_ANNETTE_PENROSE_CHARACTER_REFERENCE_PROFILE.md	character_reference_profile	Annette Penrose	active_provisional	canonical	76e4ed93f485b4c64c1ef053c07bf5991a8e49360c988412b06ad09932c49292	c1f53bfb5d070e9178738a2fb00ab835a929ae633e450ac16bb3520a2c3c07b8	METADATA_PROMOTION	PASS_CANONICAL	Japanese primary source and narrower canonical V2 authorities prevail
86_VIKA_CHARACTER_REFERENCE_PROFILE.md	character_reference_profile	Viktor Idinarohk / Vika	active_provisional	canonical	0e32821fb945a66212dd384d8df03dda6b80f769a6b4743a9accef9c568662ce	ccc096f8f4978c338b3889ea4097c440d1d602630665057dd3e036779c1f2272	METADATA_PROMOTION	PASS_CANONICAL	Japanese primary source and narrower canonical V2 authorities prevail
86_LERCHE_CHARACTER_REFERENCE_PROFILE.md	character_reference_profile	Lerche	active_provisional	canonical	5f1336493416c056e4f26813250f20ca98d6f2ae65e2fa1c7e3d31f77db5f95e	c0156629e75925e14ee21a91d82fac5f3cf1266d395f244c4caa56f3f4550e16	METADATA_PROMOTION	PASS_CANONICAL	Japanese primary source and narrower canonical V2 authorities prevail
86_RITO_CHARACTER_REFERENCE_PROFILE.md	character_reference_profile	Rito Oriya	active_provisional	canonical	9e8cfb764d7d05aca143cf0408c805178a8abb5fa33937c0f034520d533ca17a	a76caae50ff0a21227733778bcac0d85846026f973b2ca8e12532584200d9d98	METADATA_PROMOTION	PASS_CANONICAL	Japanese primary source and narrower canonical V2 authorities prevail
86_MARCEL_CHARACTER_REFERENCE_PROFILE.md	character_reference_profile	Erwin Marcel / Marcel	active_provisional	canonical	3140ea5a066018f9ccf6494c2f0ce88e2543ecca3ef648b626be326ecec24e8e	801ba55cd14b581bd31c99b993d56366e53e4e995163e2123f3815f09063b671	METADATA_PROMOTION	PASS_CANONICAL	Japanese primary source and narrower canonical V2 authorities prevail
86_FIDO_CHARACTER_REFERENCE_PROFILE.md	character_reference_profile	Fido	active_provisional	canonical	935d95773cbf952bedd44516ce8857e18cfd572d87f44806f92fb27b032eefe8	8d4efdf2654bfe55a440372035ef57aa7c5d6ec97368908577a146d556296550	METADATA_PROMOTION + QUOTATION_NORMALIZATION	PASS_CANONICAL	Japanese primary source and narrower canonical V2 authorities prevail
86_CHARACTER_DIALOGUE_AND_BEHAVIOR_LOCATOR_INDEX.tsv	diagnostic_index	ALL	active_provisional	canonical	fe6d10e423572515f10e077bf89b3cafb08cba1122eb378729b74d4b684f3607	fe6d10e423572515f10e077bf89b3cafb08cba1122eb378729b74d4b684f3607	NO_BYTE_CHANGE; AUTHORITY_PROMOTION_BY_CMR9_LEDGER	PASS_CANONICAL	Retrieval index only; Phase-5/source authority prevails
86_CHARACTER_RELATIONSHIP_REGISTER_MATRIX.md	directed_matrix	ALL	active_provisional	canonical	9d5e0937048268f3c0c040a4b5fa1faa929ca7c9fc1638dc06e41138886f69b9	d41de73d47ae56b2f891df14ccd6957ebda9eb5bb17cbff7deb314fd5a42f7bd	METADATA_PROMOTION	PASS_CANONICAL	Directed state surface only; no symmetry inference
86_CHARACTER_MODELING_CROSSWALK.md	crosswalk	ALL	active_provisional	canonical	12e2b5109b11dbfad662ae5a64150495f6176b164a24d018cfb3ce6cad34f515	747cff682d9c8f52858276db450b73a6c0b8527a4523c207ea8127c685a9322b	HASH REFRESH + METADATA_PROMOTION	PASS_CANONICAL	Routes CMR back to existing V2 canon
