source	time_seconds	label	note	rms_dbfs	peak_dbfs	zcr	f0_proxy_median_hz	f0_proxy_iqr_hz	voiced_frame_fraction
LILJA-D01	516.0	early_training_contraction	Lilja visibly bowed/inward during early training	-35.000652072508984	-22.836049254889605	0.07701682838794356	268.6179441266454	107.6362459227114	0.6984924623115578
LILJA-D01	2047.0	early_self_command	eyes closed, hand to chest in early route	-37.55664870090153	-13.762905877357298	0.06846981984093502	401.7414748986397	158.20013286548487	0.1507537688442211
LILJA-D01	2812.0	first_live_backstage	stage/backstage confrontation with being seen	-38.652311892850456	-15.759800281982873	0.2142377224644135	291.85617042089984	343.49461836647316	0.2814070351758794
LILJA-D01	3578.0	post_live_softness	eyes closed, lowered-energy late STEP1 state	-37.47784760311715	-17.788353742546647	0.15459616556508696	438.5050314589053	55.86753705880233	0.27386934673366836
LILJA-D02	405.0	fan_or_rank_anxiety	outdoor, hands clasped, NIA-era concern	-23.290236419112055	-5.6944018076240175	0.13125205081329397	343.95289211017496	88.54308793932665	0.4020100502512563
LILJA-D02	1054.0	overwork_inward_state	eyes closed/inward during injury-overwork tranche	-23.34512817848134	-4.919206810688369	0.11104861013453335	307.338293237701	178.40208995713076	0.550251256281407
LILJA-D02	1240.0	trust_recovery	close-up after overwork crisis	-24.365123461005403	-5.423456283141284	0.1583930998921858	255.42063892717377	194.97103659014326	0.3542713567839196
LILJA-D03	1140.0	jealousy_or_uncertainty	private vulnerable STEP3 state	-29.686977213485264	-12.580312306578625	0.13006453225831655	365.21274480147986	132.3206608447424	0.31155778894472363
LILJA-D03	1795.0	technical_learning	open-hand / explanation after Shion correction	-25.913778681345107	-11.54761497469382	0.12000187502929734	474.2994735951616	231.71038715108455	0.6005025125628141
LILJA-D03	2231.0	world_making_claim	more direct STEP3 declaration	-27.414166385813132	-11.57369874696261	0.1557524336317755	319.20001573513775	110.37489065663752	0.46733668341708545
LILJA-D04	3270.0	hif_preparation	hands at chest in HIF costume	-25.993198896337795	-4.700618523655442	0.19236238066219785	161.90569008761528	3.99864403387636	0.12311557788944724
LILJA-D04	3614.0	late_private_resolve	late-route dressing-room resolve	-22.439974954553513	-5.63030276456406	0.14165846341349084	404.9060684034829	212.48262015667586	0.6432160804020101
LILJA-D04	3979.0	prima_stella_public_projection	stage performance near route climax	-16.123779586652923	-3.146492993648909	0.14434600540633447	314.0827998832053	266.57456130020137	0.40703517587939697
