source_id	class	form	title	filename	drive_id	provenance	notes	sha256	size_bytes	duration_seconds	format_name	container_bit_rate	video_codec	width	height	r_frame_rate	avg_frame_rate	video_bit_rate	audio_codec	sample_rate	channels	channel_layout	audio_bit_rate
RINAMI-C01	song_commu	song_commu	clumsy trick song commu	【楽曲コミュ】clumsy trick【姫崎莉波】【学マス】-(1080p30).mp4	1y4P4qHcDTSXRh4B0bWRqJb55-Jchtotz	drive	complete song commu	2450420e50dcdb25bf0eed8352329ffca6398c7405749effa6072c886f155959	63640083	463.284535	mov,mp4,m4a,3gp,3g2,mj2	1098937	h264	1920	1080	30/1	30/1	935747	aac	44100	2	stereo	127999
RINAMI-C02	song_commu	song_commu	L.U.V song commu	【楽曲コミュ】L.U.V【姫崎莉波】【学マス】-(1080p30).mp4	1m-xcWHo6ReovioG54sVQpVAg01mwyooK	drive	complete song commu	9a874f9bdd4c96881ab25eeb7f9dbf7afc8a61c9764c8e73b4dfde44ef673c62	89873383	546.086893	mov,mp4,m4a,3gp,3g2,mj2	1316616	h264	1920	1080	30/1	30/1	1157598	aac	44100	2	stereo	127999
RINAMI-C03	song_commu	song_commu	36℃ U･B･U song commu	【36℃ U･B･U】姫崎莉波  楽曲コミュまとめ【学マス】-(480p30).mp4	1tVWV_b-8gas9i6082Ka71NSR67mUR4iP	drive	complete song commu	3a4cd363e406e548bd66119d3bf7bcbbebed4cfcdf06cd57210125a642ce4047	21997223	640.847528	mov,mp4,m4a,3gp,3g2,mj2	274601	h264	854	480	30/1	30/1	117538	aac	44100	2	stereo	128001
RINAMI-C04	song_commu	song_commu	Campus mode!! song commu	【Campus mode!!】姫崎莉波 楽曲コミュまとめ【学マス】-(360p30).mp4	1V3pZF4U9IpknhZfONkuPPWSasoRth2Nq	drive	complete song commu	15f94955b02a29444eef79e01524c7919c9ab59d31de7e15dab6b147daee12ca	31942124	620.181769	mov,mp4,m4a,3gp,3g2,mj2	412035	h264	640	360	30/1	30/1	254225	aac	44100	2	stereo	128001
RINAMI-C05	song_commu	song_commu	ガラクタロード song commu	【ガラクタロード】姫崎莉波  楽曲コミュまとめ【学マス】-(480p30).mp4	1lOJUTIl6n933dF289HqWVnwtZbv1iQu4	drive	complete song commu	e57663fef1a553f5ec39c8bc12593ac690586dfd0962b88e9592cf6f23b091c8	22899350	605.483537	mov,mp4,m4a,3gp,3g2,mj2	302559	h264	854	480	30/1	30/1	145964	aac	44100	2	stereo	128001
RINAMI-C06	song_commu	song_commu	Howling over the World song commu	【楽曲コミュ】Howling over the World【姫崎莉波】【学マス】-(1080p30).mp4	18bto1TMmOiIpkUJ3HklvhG-R7Lv4Xeqr	drive	complete song commu	199ce58b9b05908ec4e6ab90b0f3114fe1c3925fde1af9169e7a8c013a97fbe5	90714695	524.120816	mov,mp4,m4a,3gp,3g2,mj2	1384637	h264	1920	1080	30/1	30/1	1221653	aac	44100	2	stereo	127999
RINAMI-C07	song_commu	song_commu	SUGAR FLAVOR / RippleSign song commu	【SUGAR FLAVOR】姫崎莉波  楽曲コミュまとめ【学マス】-(480p30).mp4	1uBw92jig8Y-DtDZ-kaEUHPCioWjDqomr	drive	complete duet song commu	adbd30e7fa384785376efcb11a688c9a511f807dc544241a89f6fad6eebf0e91	23376567	657.728435	mov,mp4,m4a,3gp,3g2,mj2	284330	h264	854	480	30/1	30/1	127707	aac	44100	2	stereo	128001
RINAMI-D01	dear	dear_compilation	Dear 001-010	【学マス】姫崎莉波　親愛度１～１０話【アイドルコミュ】-(1080p30).mp4	1UnCKMPc_TD9OWPqE5hpyd234EpwrxheM	library_direct_upload	1080p direct-upload analysis materialization; canonical Drive provenance counterpart is 720p30	8711ac602c7752cffaa4b6850a77741bd48811e128076fb9b834af7ffe5b84d2	246624468	3072.325079	mov,mp4,m4a,3gp,3g2,mj2	642183	h264	1920	1080	30/1	30/1	503450	aac	44100	2	stereo	127999
RINAMI-D02	dear	dear_compilation	Dear 011-020	【学マス】姫崎莉波　親愛度１１～２０話【アイドルコミュ】-(1080p30).mp4	1quvQodKda8W7EUgjyGVnhDfY0P6YqSxD	library_direct_upload	1080p direct-upload analysis materialization; canonical Drive provenance counterpart is 360p30	cdec8fbe60e69e65561e706dac50b28da5eafac1920efbe9add558d404433915	482625076	2976.682086	mov,mp4,m4a,3gp,3g2,mj2	1297081	h264	1920	1080	30/1	30/1	1157388	aac	44100	2	stereo	127999
RINAMI-D03	dear	dear_compilation	Dear 021-027 / STEP3	【学マス】姫崎莉波  親愛度コミュ21～27話まとめ【STEP3】-(720p60).mp4	155A_tELCd-gDsL2Rh5XsmpDbuao6TvmY	library_direct_upload	720p direct-upload analysis materialization; canonical Drive provenance counterpart is 480p30	8a774bb1f2ad3b32b8bc7fe811ed7b56ca61d4c5b569eb99da191bbd0bad2d70	320001712	2823.198186	mov,mp4,m4a,3gp,3g2,mj2	906777	h264	1280	720	60/1	60/1	761812	aac	44100	2	stereo	127999
