character	tier	ordinary_evidence_ref	ordinary_source	ordinary_locator	ordinary_anchor	ordinary_function	climactic_evidence_ref	climactic_source	climactic_locator	climactic_anchor	climactic_function	phase5_status
Shinei Nouzen	CORE_MAJOR	T06-E004	V02	item/xhtml/p-006.xhtml ¶85	ザンクト・イェデルに来て一か月。少年達はめいめいに、平和の楽しみ方を見つけ始めているらしい。ライデンはバイク便のアルバイトを始め、アンジュは料理教室に通い出して、セオはスケッチにあちこち出歩き、クレナはウィンドウショッピングを楽しみ、シンは気ままに図書館やら博物館やら回っている。それぞれに顔見知りや…	ordinary civilian exploration: libraries/museums after rescue	V14-L199	V14	`p-008` para 663	`そこにはいないレーナにまるで縋すがりつくようにして、とうとう、声をあげて泣きだした。`	direct confrontation with Rei wound / articulation of pain	PASS_CORE_PAIR
Vladilena Milize	CORE_MAJOR	V07-L044	V07	p-009.xhtml para 373 + p-009.xhtml para 400	ワルツのテンポに合わせていたステップが、気づけばシンもレーナもいつのまにか、互いのテンポに合っている。静かに凪ないだ二つの心臓が、同じ調子で鼓動を刻んでいる。 / 意識と鼓動が溶け合うような、魔法のような時間が溶ける。互いの心臓が、別々の鼓動を刻み始める。	dance/social synchronization outside battlefield command	V14-L176	V14	`p-008` para 507	`レイドデバイスを奪おうと摑つかみかかるその手より早く、神経活性率を最大値に設定。`	maximum Para-RAID intervention during No Face crisis	PASS_CORE_PAIR
Raiden Shuga	CORE_MAJOR	T06-E004	V02	item/xhtml/p-006.xhtml ¶85	ザンクト・イェデルに来て一か月。少年達はめいめいに、平和の楽しみ方を見つけ始めているらしい。ライデンはバイク便のアルバイトを始め、アンジュは料理教室に通い出して、セオはスケッチにあちこち出歩き、クレナはウィンドウショッピングを楽しみ、シンは気ままに図書館やら博物館やら回っている。それぞれに顔見知りや…	ordinary civilian exploration: courier work after rescue	V14-L081	V14	`p-007` para 73	`とめてくれるシンがいたから、シンがとめてくれるとわかっていたから、ライデンは好き放題に連邦を憎めた。どれだけ自分が憎んでも、どれほど悪意を吐...`	independent leadership burden and recognition of Shin as moral brake	PASS_CORE_PAIR
Theoto Rikka	CORE_MAJOR	T06-E004	V02	item/xhtml/p-006.xhtml ¶85	ザンクト・イェデルに来て一か月。少年達はめいめいに、平和の楽しみ方を見つけ始めているらしい。ライデンはバイク便のアルバイトを始め、アンジュは料理教室に通い出して、セオはスケッチにあちこち出歩き、クレナはウィンドウショッピングを楽しみ、シンは気ままに図書館やら博物館やら回っている。それぞれに顔見知りや…	ordinary civilian exploration: sketching after rescue	V08-L056	V08	`p-011.xhtml ¶839`	`僕はもう、──一緒には戦えないや`	amputation-era recognition that old combat-togetherness is no longer possible	PASS_CORE_PAIR
Kurena Kukumila	CORE_MAJOR	T06-E004	V02	item/xhtml/p-006.xhtml ¶85	ザンクト・イェデルに来て一か月。少年達はめいめいに、平和の楽しみ方を見つけ始めているらしい。ライデンはバイク便のアルバイトを始め、アンジュは料理教室に通い出して、セオはスケッチにあちこち出歩き、クレナはウィンドウショッピングを楽しみ、シンは気ままに図書館やら博物館やら回っている。それぞれに顔見知りや…	ordinary civilian exploration: window shopping after rescue	V14-L029	V14	`p-005` para 115	`「がんばったんだよ、あたし。セオがいなくなってシャナも死んじゃって、それでも。あたしだっていつまでも小さい妹じゃないって、強くなるんだって。...`	grief over Rito and failure despite deliberate growth	PASS_CORE_PAIR
Anju Emma	CORE_MAJOR	T06-E004	V02	item/xhtml/p-006.xhtml ¶85	ザンクト・イェデルに来て一か月。少年達はめいめいに、平和の楽しみ方を見つけ始めているらしい。ライデンはバイク便のアルバイトを始め、アンジュは料理教室に通い出して、セオはスケッチにあちこち出歩き、クレナはウィンドウショッピングを楽しみ、シンは気ままに図書館やら博物館やら回っている。それぞれに顔見知りや…	ordinary civilian exploration: cooking class after rescue	V14-L152	V14	`p-008` para 265	`恐怖のあまりにひきつった顔で、それでもアンジュは笑った。`	fear acknowledged while continuing Operation Wrath role	PASS_CORE_PAIR
Frederica Rosenfort	CORE_MAJOR	V14-L013	V14	`p-004` para 322	`「……と、というかフレデリカも、ずいぶん可か愛わいいものを持ってきたじゃないか。聖誕祭用のオーナメントセットだろ、それ」`	Christmas ornament / ordinary child-life object	V13-L093	V13	V13 / `p-007.xhtml` para 235	`「もうやめて。──おとうさん」`	interrupts Ernst with a direct stop request	PASS_CORE_PAIR
Ernst Zimmerman	CONTEXT_MAJOR_SECONDARY	ROUTED_BY_SPECIALIST_HOME				Major institutional secondary; evidence routes through V02/V13 paternalism and crisis-governance cases.	ROUTED_BY_SPECIALIST_HOME				Major institutional secondary; evidence routes through V02/V13 paternalism and crisis-governance cases.	CONTEXT_COVERAGE_ONLY
Grethe Wenzel	CONTEXT_MAJOR_SECONDARY	ROUTED_BY_SPECIALIST_HOME				Major institutional secondary; evidence routes through command-responsibility and distributed military cases.	ROUTED_BY_SPECIALIST_HOME				Major institutional secondary; evidence routes through command-responsibility and distributed military cases.	CONTEXT_COVERAGE_ONLY
Vika	CONTEXT_MAJOR_SECONDARY	ROUTED_BY_SPECIALIST_HOME				Major posthuman/institutional secondary; evidence routes through Sirin, capability, and command cases.	ROUTED_BY_SPECIALIST_HOME				Major posthuman/institutional secondary; evidence routes through Sirin, capability, and command cases.	CONTEXT_COVERAGE_ONLY
