retrieval_id	source	category	primary_or_canonical_locator	short_anchor	evidence_class	status	retrieval_note
V01-L003	V01	ADMIN_DEHUMANIZATION	p-005.xhtml ¶083–086	人間ではないのだから / 情報処理装置	PF/MI/LI	RETAINED	Republic language converts human operators into information-processing components.
V01-L006	V01	RIGHTS_AND_STANDING	p-007.xhtml ¶035	死んだ仲間を悼む自由も	NV	RETAINED	Even mourning freedom is denied; personhood is materially political, not just lexical.
V01-L015	V01	NEURAL_SUBSTRATE	p-010.xhtml ¶257	人間の脳です	PF	RETAINED	Legion processing can incorporate human brains, destabilizing a simple biological boundary.
V01-L020	V01	SELF_AUTHORED_VALUE	p-014.xhtml ¶084–090	存在証明 / 登り方は選べる	CS	RETAINED	Sector pride preserves a claim to choose how one lives/dies under coercive conditions.
V01-L026	V01	LIVING_CHANGE	p-018.xhtml ¶343	生きているからどんどん変わって	NV	RETAINED	The narration explicitly contrasts living Shin with the remembered dead by his capacity to keep changing.
T02-V01-WEAPON	V01	ADMIN_DEHUMANIZATION	item/xhtml/p-007.xhtml para 370	人の尊厳も権利もなく、死んで入る墓もなければ刻む名前も名めい誉よもない、使い捨ての兵器として死ぬまで使つかい潰つぶされた果てに、戦場の片かた隅すみで人知れず散るのが彼らのさだめ。この戦場に果てた幾いく百ひやく万まんの...	NV/LI	NEW_RETRIEVAL	Human dignity, rights, name and grave are removed while Processors are defined as disposable weapons.
T02-V01-BLACKSHEEP	V01	EARLY_LEGION_MODEL	item/xhtml/p-010.xhtml para 261	『だから亡ぼう霊れいと言っても、一いつ般ぱん的てきに魂たましいと呼ばれているものとは違ちがうのだと思います。存在の残ざん滓し、というのが近いのかもしれない。元の人間の意識があるわけでも意志の疎そ通つうが図れるわけでも...	CS/PF	NEW_RETRIEVAL	Early Black Sheep model presents copied dying cognition without communicable will; later volumes revise this for Shepherds.
V02-L014	V02	ANTI_INSTRUMENTALIZATION	p-005.xhtml ¶371–373	それじゃ共和国と同じじゃないか	CS/MI	RETAINED	Ernst rejects treating the Five as expendable simply because they are useful.
V02-L019	V02	IRREPLACEABLE_PERSON	p-005.xhtml ¶497	人は常に、その人唯一つの存在	CS	RETAINED	The text states that a person is a singular existence, distinguishing persons from fungible resources.
V02-L028	V02	BENEVOLENT_ENCLOSURE	p-006.xhtml ¶429–434	哀れみの檻	CS/LI	RETAINED	Pity can become a cage even after legal recognition.
V02-L031	V02	CAPABILITY_SPACE	p-006.xhtml ¶497–507	選べる道はなるべく多い方がいい	CS	RETAINED	More available paths are presented as preferable to a narrow externally assigned future.
V02-L045	V02	ROLE_FIXATION	p-008.xhtml ¶326	そなたは、キリと同じじゃ	CS	RETAINED	Kiriya becomes a warning about losing anchors until battle becomes the only remaining identity.
T02-V02-SHEPHERD-DUP	V02	IDENTITY_CONTINUITY	item/xhtml/p-005.xhtml para 57	人格を持つ〈羊飼い〉は、自分と全く同じ存在が別の個体として在ることに耐たえられないからだ。けれど処理装置としてより高性能の〈羊飼い〉を一度の撃げき破はで失うことを〈レギオン〉はよしとせず、保険としてこうして、予備機と...	PF/NV	NEW_RETRIEVAL	A personality-bearing Shepherd cannot tolerate an identical self-instance; transfer/backup is not simple multiplication.
T02-V02-BLACKSHEEP	V02	PERSONALITY_ABSENCE	item/xhtml/p-006.xhtml para 179	戦死者の脳構造の劣れつ化かコピーである〈黒羊〉に、人格はない。	PF/NV	NEW_RETRIEVAL	Black Sheep may use degraded brain structure without personality, separating neural substrate from person continuity.
V03-L009	V03	CHOICE_WITH_CONSTRAINT	p-006.xhtml ¶029–030	今は選んでこの戦場にいる / 進む道を選べる	NV	RETAINED	The Five now choose the battlefield, but choice exists inside a history that shaped available identities.
V03-L030	V03	FORMAL_VS_USABLE_FREEDOM	p-010.xhtml ¶116	手に入れた“自由” / あまりにも大きな空虚	NV	RETAINED	Formal freedom can open into emptiness when a person lacks desires and anchors.
V03-L031	V03	DESIRE_AND_LIFE	p-010.xhtml ¶118–119	望みがないのは、生きていないことだ	NV	RETAINED	The novel tightly links having no desire with a form of nonliving, but later Sirin evidence prevents this becoming a moral-status threshold.
V03-L033	V03	RELATIONAL_SUPPORT	p-010.xhtml ¶149	共に行く者どもを支えとすればよい	CS	RETAINED	Future agency can rely on companions without becoming non-agency.
V03-L035	V03	COMMAND_CONSTRAINED_WILL	p-011.xhtml ¶224	人格と意志 / 上位指揮官機の命令には背けない	NV/PF	RETAINED	Kiriya retains personality and will yet cannot disobey higher Legion command.
V03-L036	V03	DECISION_AUTHORITY	p-011.xhtml ¶244	引く覚悟はフレデリカ自身が決めるべき	NV	RETAINED	Shin preserves Frederica's authority over the decision concerning Kiriya where possible.
V04-L011	V04	HUMAN_AS_ASSET	p-006.xhtml ¶75	兵器の一部 / 資産 / 全機	CS/LI/MI	RETAINED	Even allied military language can count people as weapon inventory/assets.
V04-L021	V04	MEMORY_DESTRUCTION	p-008.xhtml ¶361	最後に記憶野を破壊してる	PF/LI	RETAINED	Legion processing deliberately destroys memory areas in a pathway toward fungible cognition.
V04-L022	V04	IDENTITY_INTEGRITY	p-009.xhtml ¶61	自己同一性	PF/NV/LI	RETAINED	Self-identity becomes an explicit technical variable.
V04-L023	V04	PERSONALITY_AS_NOISE	p-009.xhtml ¶67	人格という夾雑物	NV/LI	RETAINED	Legion optimization treats personality as removable contamination.
