item_id,source_type,corpus_layer,title,arc,unit,owner_character,event_id,card_id,bundle_part,bundle_part_count,source_story_count,source_story_ids,speaker_count,speakers,character_count,utterance_count,priority,priority_status,priority_reason,narrative_function,historical_selected,historical_priority,historical_rank,historical_reason,requires_av_review,missing_assets,manual_close_read,v1_relevance,contradicts_prior_claim,coverage_status,source_snapshot_id,md_path
hoshimi_001_shine_purity,GAME_BUNDLE,main_story,Shine Purity,hoshimi,,,,,1,1,6,st-original-cmn-01-01-01|st-original-cmn-01-01-02|st-original-cmn-01-01-03|st-original-cmn-01-01-04|st-original-cmn-01-01-05|st-original-cmn-01-01-06,9,aoi|firststaff|hrk|koh|ktn|mna|rio|shj|skr,19748,562,CORE,PROVISIONAL_PASS_A,Tier-A governing narrative; must be included in longitudinal reconstruction.,governing narrative / longitudinal progression,NO,,,,NO,,YES,UNASSESSED,UNASSESSED,CATALOGUED_PASS_A,IP-V2-SNAPSHOT-2026-08-13-A,idoly-ingest/01_main_story/01_hoshimi/hoshimi_001_shine_purity.md
hoshimi_002_short_goodbye,GAME_BUNDLE,main_story,Short Goodbye,hoshimi,,,,,1,1,5,st-original-cmn-01-01-07|st-original-cmn-01-01-08|st-original-cmn-01-01-09|st-original-cmn-01-01-10|st-original-cmn-01-01-11,11,hrk|koh|ktn|mna|ngs|rui|ski|skr|smr|suz|yu,15704,492,CORE,PROVISIONAL_PASS_A,Tier-A governing narrative; must be included in longitudinal reconstruction.,governing narrative / longitudinal progression,NO,,,,NO,,YES,UNASSESSED,UNASSESSED,CATALOGUED_PASS_A,IP-V2-SNAPSHOT-2026-08-13-A,idoly-ingest/01_main_story/01_hoshimi/hoshimi_002_short_goodbye.md
hoshimi_003_like_the_sun_moon,GAME_BUNDLE,main_story,like the Sun/Moon,hoshimi,,,,,1,1,5,st-original-cmn-01-01-12|st-original-cmn-01-01-13|st-original-cmn-01-01-14|st-original-cmn-01-01-15|st-original-cmn-01-01-16,12,chs|hrk|koh|ktn|mei|mna|ngs|shj|ski|skr|suz|szk,14049,428,CORE,PROVISIONAL_PASS_A,Tier-A governing narrative; must be included in longitudinal reconstruction.,governing narrative / longitudinal progression,NO,,,,NO,,YES,UNASSESSED,UNASSESSED,CATALOGUED_PASS_A,IP-V2-SNAPSHOT-2026-08-13-A,idoly-ingest/01_main_story/01_hoshimi/hoshimi_003_like_the_sun_moon.md
hoshimi_004_strange_one,GAME_BUNDLE,main_story,Strange One,hoshimi,,,,,1,1,5,st-original-cmn-01-01-17|st-original-cmn-01-01-18|st-original-cmn-01-01-19|st-original-cmn-01-01-20|st-original-cmn-01-01-21,15,chs|hrk|koh|ktn|mei|mna|ngs|rei|rui|ski|skr|smr|suz|szk|yu,14722,443,CORE,PROVISIONAL_PASS_A,Tier-A governing narrative; must be included in longitudinal reconstruction.,governing narrative / longitudinal progression,NO,,,,NO,,YES,UNASSESSED,UNASSESSED,CATALOGUED_PASS_A,IP-V2-SNAPSHOT-2026-08-13-A,idoly-ingest/01_main_story/01_hoshimi/hoshimi_004_strange_one.md
hoshimi_005_the_sun_moon_and_stars,GAME_BUNDLE,main_story,"The Sun, Moon and Stars",hoshimi,,,,,1,1,7,st-original-cmn-01-01-22|st-original-cmn-01-01-23|st-original-cmn-01-01-24|st-original-cmn-01-01-25|st-original-cmn-01-01-26|st-original-cmn-01-01-27|st-original-cmn-01-01-28,14,chs|hrk|koh|ktn|mei|mna|ngs|rei|ski|skr|smr|suz|szk|yu,18527,556,CORE,PROVISIONAL_PASS_A,Tier-A governing narrative; must be included in longitudinal reconstruction.,governing narrative / longitudinal progression,NO,,,,NO,,YES,UNASSESSED,UNASSESSED,CATALOGUED_PASS_A,IP-V2-SNAPSHOT-2026-08-13-A,idoly-ingest/01_main_story/01_hoshimi/hoshimi_005_the_sun_moon_and_stars.md
hoshimi_006_to_trust_one,GAME_BUNDLE,main_story,to Trust One,hoshimi,,,,,1,1,5,st-original-cmn-01-02-01|st-original-cmn-01-02-02|st-original-cmn-01-02-03|st-original-cmn-01-02-04|st-original-cmn-01-02-05,11,aoi|chs|dancea|hrk|koh|mna|rei|rio|shj|skr|szk,16842,506,CORE,PROVISIONAL_PASS_A,Tier-A governing narrative; must be included in longitudinal reconstruction.,governing narrative / longitudinal progression,NO,,,,NO,,YES,UNASSESSED,UNASSESSED,CATALOGUED_PASS_A,IP-V2-SNAPSHOT-2026-08-13-A,idoly-ingest/01_main_story/01_hoshimi/hoshimi_006_to_trust_one.md
hoshimi_007_drop_of_smile,GAME_BUNDLE,main_story,Drop of Smile,hoshimi,,,,,1,1,5,st-original-cmn-01-02-06|st-original-cmn-01-02-07|st-original-cmn-01-02-08|st-original-cmn-01-02-09|st-original-cmn-01-02-10,11,camera|chs|host|hrk|koh|ktn|mna|rei|skr|suz|szk,15552,501,CORE,PROVISIONAL_PASS_A,Tier-A governing narrative; must be included in longitudinal reconstruction.,governing narrative / longitudinal progression,NO,,,,NO,,YES,UNASSESSED,UNASSESSED,CATALOGUED_PASS_A,IP-V2-SNAPSHOT-2026-08-13-A,idoly-ingest/01_main_story/01_hoshimi/hoshimi_007_drop_of_smile.md
hoshimi_008_make_up_her_mind,GAME_BUNDLE,main_story,Make up her Mind,hoshimi,,,,,1,1,5,st-original-cmn-01-02-11|st-original-cmn-01-02-12|st-original-cmn-01-02-13|st-original-cmn-01-02-14|st-original-cmn-01-02-15,8,chs|hrk|koh|ktn|mna|rei|skr|szk,17485,530,CORE,PROVISIONAL_PASS_A,Tier-A governing narrative; must be included in longitudinal reconstruction.,governing narrative / longitudinal progression,NO,,,,NO,,YES,UNASSESSED,UNASSESSED,CATALOGUED_PASS_A,IP-V2-SNAPSHOT-2026-08-13-A,idoly-ingest/01_main_story/01_hoshimi/hoshimi_008_make_up_her_mind.md
hoshimi_009_with_a_will,GAME_BUNDLE,main_story,With a Will,hoshimi,,,,,1,1,5,st-original-cmn-01-02-16|st-original-cmn-01-02-17|st-original-cmn-01-02-18|st-original-cmn-01-02-19|st-original-cmn-01-02-20,12,dancea|host|koh|ktn|mei|mna|ngs|rui|ski|smr|suz|yu,15656,497,CORE,PROVISIONAL_PASS_A,Tier-A governing narrative; must be included in longitudinal reconstruction.,governing narrative / longitudinal progression,NO,,,,NO,,YES,UNASSESSED,UNASSESSED,CATALOGUED_PASS_A,IP-V2-SNAPSHOT-2026-08-13-A,idoly-ingest/01_main_story/01_hoshimi/hoshimi_009_with_a_will.md
hoshimi_010_proud_lady,GAME_BUNDLE,main_story,Proud Lady,hoshimi,,,,,1,1,5,st-original-cmn-01-02-21|st-original-cmn-01-02-22|st-original-cmn-01-02-23|st-original-cmn-01-02-24|st-original-cmn-01-02-25,11,koh|ktn|lizfanb|mei|mna|ngs|rei|rui|ski|suz|suzmam,16153,501,CORE,PROVISIONAL_PASS_A,Tier-A governing narrative; must be included in longitudinal reconstruction.,governing narrative / longitudinal progression,NO,,,,NO,,YES,UNASSESSED,UNASSESSED,CATALOGUED_PASS_A,IP-V2-SNAPSHOT-2026-08-13-A,idoly-ingest/01_main_story/01_hoshimi/hoshimi_010_proud_lady.md
hoshimi_011_resolution,GAME_BUNDLE,main_story,Resolution,hoshimi,,,,,1,1,5,st-original-cmn-01-02-26|st-original-cmn-01-02-27|st-original-cmn-01-02-28|st-original-cmn-01-02-29|st-original-cmn-01-02-30,7,koh|ktn|mei|mna|ngs|ski|suz,15686,512,CORE,PROVISIONAL_PASS_A,Tier-A governing narrative; must be included in longitudinal reconstruction.,governing narrative / longitudinal progression,NO,,,,NO,,YES,UNASSESSED,UNASSESSED,CATALOGUED_PASS_A,IP-V2-SNAPSHOT-2026-08-13-A,idoly-ingest/01_main_story/01_hoshimi/hoshimi_011_resolution.md
hoshimi_012_dear_my_sister_part_01,GAME_BUNDLE,main_story,Dear My Sister (Part 1),hoshimi,,,,,1,2,7,st-original-cmn-01-02-31|st-original-cmn-01-02-32|st-original-cmn-01-02-33|st-original-cmn-01-02-34|st-original-cmn-01-02-35|st-original-cmn-01-02-36|st-original-cmn-01-02-37,14,chs|design|hrk|koh|ktn|mei|mna|ngs|rei|ski|skr|smr|suz|szk,23440,752,CORE,PROVISIONAL_PASS_A,Tier-A governing narrative; must be included in longitudinal reconstruction.,governing narrative / longitudinal progression,NO,,,,NO,,YES,UNASSESSED,UNASSESSED,CATALOGUED_PASS_A,IP-V2-SNAPSHOT-2026-08-13-A,idoly-ingest/01_main_story/01_hoshimi/hoshimi_012_dear_my_sister_part_01.md
