revision_id	date	affected_case_or_claim	prior_formulation	revision_action	new_formulation	reason	evidence_pointer	status	notes
DJFW_CASE_0001	2026-08-28	SECOND_PASS_STRENGTHEN	Bonus/afterword material is not disposable extra material; it materially supports Chisato/Takina gap/exchange reading.	STRENGTHEN	Case reading section 15; baseline comparison section 11; locator notes 165jZQSS0tV4tPemRjEYBx4SL7dmkLrQf	medium_high	Boundary-testing bonus remains categorical only; no graphic analysis.		
DJFW_REV_20260828_0002	2026-08-28	DJFW_CASE_0002 character-collapse interpretation	Swimsuit case treated mainly as costume/fetish-triggered Minami narrowing.	STRENGTHEN	Still costume/body driven, but authorial afterword explicitly recognizes sexual-appeal-priority character-collapse risk and attempts a canon-trait bridge.	Safe afterword evidence adds creator self-audit layer.	reading 13BuHxC1io1nu_PH_OLkYs47eYr4j7iTb	canonical	Does not erase narrowing; increases taxonomic value.
DJFW_REV_20260828_0003	2026-08-28	DJFW_CASE_0003 transformation mechanism	Maid work primarily read as role-performance fantasy.	STRENGTHEN	Author explicitly states stronger transformation would require diegetic time because ordinary Minami would not simply become another personality.	Afterword provides unusually explicit fan-author transformation theory.	reading 1pnpnXVvKoJCI2JAH0NYbP9G_uke05djr	canonical	Role performance remains anchored to ordinary affectionate Minami/P.
DJFW_REV_20260828_0004	2026-08-28	DJFW_CASE_0004 long-form characterization	Long complete edition suggested strongest long-form narrative sophistication.	REVISE	Best described as accretive relationship continuity: duration and repeated ordinary-life resets are real, but author says scenes were added without conventional storyboard and expanded across three booklets.	Afterword distinguishes temporal accumulation from tightly planned plot.	reading 1wNIxtxqfQ6kOo1DzqINQev-CsjSZ2c0q	canonical	Relationship-writing value remains high.
DJFW_REV_20260828_0005	2026-08-28	DJFW_CASE_0005 Minami autonomy/desire	Otona could be read as Minami finally discovering adult first-person desire.	REVISE	Otona intensifies already-existing Minami desire and gives it private adulthood symbolism; it does not create a first-person self late.	Canonical Minami audit rejects the late-birth-of-desire chronology.	reading 1jou_7pnJHL2-VC-DszBVIPLB4I-bvh2W + audit 1Tno1Y_-ipFuokgTbHjJpc_qDvIyzA8i8	canonical	Still strongest quartet adult/desire case.
DJFW_REV_20260828_0006	2026-08-28	DJFW_CASE_0006 first-pass classification	Frailty-collapse intensification; low subjecthood; weak Hiro voice.	STRENGTHEN	Continuous pass confirms precise failure: body limit is noticed but authored difficulty is replaced by an externally triggered mechanism.	Full sequence review against mature Hiro baseline.	V2 reading 1xzAo58DzPoMS0DHWPc3DdM1Xj_t3A3xL	canonical	V1 reading marked superseded.
DJFW_REV_20260828_0007	2026-08-28	DJFW_CASE_0007 strongest-Hiro claim	Shirayoi no Yado strongest Hiro-preserving work in initial cluster.	STRENGTHEN	Remains strongest long-form transformative AU because multiple Hiro baseline mechanisms are systematically translated into occult story grammar.	Full sequence plus safe setup/afterword mapping.	V2 reading 1JDkoHmW68v91EoefFS1kaTWH0DoFoOEf	canonical	Now distinguished from 0009, which is strongest short-form relational compression.
DJFW_REV_20260828_0008	2026-08-28	DJFW_CASE_0008 Hiro segment map	One Hiro segment around archive p028-p035.	REVISE	Contributor pages resolve two adjacent independently authored Hiro micro-segments, printed p29-p32 and p33-p36.	Safe contributor mapping corrects anthology structure.	V2 reading 1H2w_TEQOr0mIukg7JYduZdYlE2BgCpz0	canonical	Both remain micro-fidelity, not full Hiro characterization.
DJFW_REV_20260828_0009	2026-08-28	DJFW_CASE_0009 Hiro fidelity	OPEN / likely low-to-medium pending manual segment map.	REVISE	Medium-high/high short-form Hiro fidelity within the mapped mameojitan segment; strongest current short-form Hiro relational/voice compression.	TOC and safe setup/closing dialogue resolve contributor segment and preserve frailty, shared dream, reciprocal constraint, teasing, and accountable difficulty.	V2 reading 1mqpgYimEyitiIOgx_lW8P2D_EfbOvVxh	canonical	Major run revision; V1 reading marked superseded.
DJFW_REV_20260828_0010	2026-08-28	DJFW_CASE_0010 Hiro presence / negative control	Not a Hiro work / no Hiro character evidence.	REVISE	Not a Hiro-character work despite a closing-page Hiro depiction; visual presence does not create voice, decision, or relationship authorship.	User-supplied closing-page evidence corrected metadata while leaving structural negative-control classification intact.	V2 categorical reading 1H8sBFuZT85996KCEMyHRh5wbT0SXcDO3	canonical	No explicit OCR/transcription; V1 reading marked superseded.
