jp_id	source	locator_id	display_locator	index_anchor	quote_state	phase5_locked_locator	phase5_locked_anchor	source_verification	source_excerpt
JP-TITLE-001	V01	V01-L012	`p-008.xhtml ¶339`	`ヴラディレーナ・ミリーゼ`	`EXACT_VERIFIED` / `CS/LI`	`p-008.xhtml ¶339`	`ヴラディレーナ・ミリーゼ`	PASS_SOURCE_EXACT	「わたしは、レーナ。ヴラディレーナ・ミリーゼと、言います。こんな、今更ですけれども、......あなたたちの名前を、教えていただけませんか......?」
JP-TITLE-004	V07	V07-L013	`p-007.xhtml ¶375`	`共和国人で、同時に...女王`	`EXACT_VERIFIED` / `CS/LI`	`p-007.xhtml ¶375`	`共和国人で、同時におれたちエイティシックスの女王`	PASS_SOURCE_EXACT	「あなたは共和国人で、同時におれたちエイティシックスの女王でもあります。それをこういう時に、なかったことにしないでください」
JP-TITLE-005	V10	V10-L024	p-016.xhtml para 257	`〈葬儀屋〉`	`EXACT_VERIFIED_BY_PHASE5` / `CS/LI`	p-016.xhtml para 257	「〈葬儀屋アンダーテイカー〉」	PASS_SOURCE_EXACT	「〈葬儀屋〉」
JP-TITLE-006	V10	V10-L027	`p-020 ¶49`	`我らが死神`	`EXACT_VERIFIED` / `CS/LI`	`p-020 ¶49`	`我らが死神`	PASS_SOURCE_EXACT	「今日もお疲れさん、我らが死神」
JP-TITLE-007	V10	V10-L060	p-033.xhtml para 129	`おれは死神でいなくてよかった`	`EXACT_VERIFIED_BY_PHASE5` / `CS/LI`	p-033.xhtml para 129	「奪われなくてよかった。無くさなくてよかった。傷なんて、負わなくてよかった。こんな風に誰かが、誰もが少しだけ、優しく在れた世界なら。おれは死神でいなくてよかった」	PASS_SOURCE_EXACT	「奪われなくてよかった。無くさなくてよかった。傷なんて、負わなくてよかった。こんな風に誰かが、誰もが少しだけ、優しく在れた世界なら。おれは死神でいなくてよかった」
JP-TITLE-008	V11	V11-L004	p-010.xhtml para 181	`悲壮面の聖女`	`EXACT_VERIFIED_BY_PHASE5` / `CS/LI`	p-010.xhtml para 181	「あなたのせいじゃないわ。……反省するのはいい。でもあなたの罪じゃないことを、あなたの罪だって言っては駄目。悲壮面の聖女を、演じたら駄目よ」	PASS_SOURCE_EXACT	「あなたのせいじゃないわ。......反省するのはいい。でもあなたの罪じゃないことを、あなたの罪だって言っては駄目。悲壮面の聖女を、演じたら駄目よ」
JP-TITLE-010	V12	V12-L029	`p-005 ¶516`	`弱い死神`	`EXACT_VERIFIED` / `CS/LI`	`p-005 ¶516`	`一人きりじゃ戦えない、弱い死神だから`	PASS_SOURCE_EXACT	「一緒に戦うお前たちでもう手一杯だ。......一人きりじゃ戦えない、弱い死神だから」
JP-ADDR-001	V01	V01-L028	p-018.xhtml para 434	`先にいきます。少佐`	`EXACT_VERIFIED_BY_PHASE5` / `CS/LI`	p-018.xhtml para 434	『先にいきます。少佐』	PASS_SOURCE_EXACT	『先にいきます。少佐』
JP-ADDR-007	V07	V07-L052	`p-009.xhtml ¶649`	`貴女が好きです`	`EXACT_VERIFIED` / `CS/LI`	`p-009.xhtml ¶649`	`貴女が好きです`	PASS_SOURCE_EXACT	「貴女が好きです」
JP-ADDR-008	V08	V08-L039	`p-011.xhtml ¶54`	`女王陛下ァ`	`EXACT_VERIFIED` / `CS/LI`	`p-011.xhtml ¶54`	`しっかりしろよ女王陛下ァ`	PASS_SOURCE_EXACT	『──しっかりしろよ女王陛下ァ!!』
JP-ADDR-011	V13	V13-L082	V13 / `p-007.xhtml` para 38	`callsign → rank → `シン`	`EXACT_VERIFIED_BY_PHASE5` / `CS`	V13 / `p-007.xhtml` para 38	`『今度こそ聞こえていますね、〈アンダーテイカー〉。ヴラディレーナ・ミリーゼ大佐、指揮に復帰します。──心配かけました、シン』`	PASS_SOURCE_EXACT	『今度こそ聞こえていますね、〈アンダーテイカー〉。ヴラディレーナ・ミリーゼ大佐、指揮に復帰します。──心配かけました、シン』
JP-ADDR-012	V14	V14-L075	`p-006` para 345	`死神殿`	`EXACT_VERIFIED` / `CS`	`p-006` para 345	`「まさか。死神殿なら、お前たちが人間だからだと、そう仰おおせてくださることでしょう」`	PASS_SOURCE_EXACT	「まさか。死神殿なら、お前たちが人間だからだと、そう仰せてくださることでしょう」
JP-ADDR-013	V14	V14-L177	`p-008` para 530	`その人はわたしのものだ！`	`EXACT_VERIFIED` / `CS/LI`	`p-008` para 530	`「その人はわたしのものだ！ 返せ！」`	PASS_SOURCE_EXACT	「その人はわたしのものだ! 返せ!」
JP-POL-001	V01	V01-L001	`p-001.xhtml ¶001`	`豚に人権を与えぬことを`	`EXACT_VERIFIED` / `NV/PT/LI`	`p-001.xhtml ¶001`	`豚に人権を与えぬことを`	PASS_SOURCE_EXACT	豚に人権を与えぬことを、非道と謗られた国家はない。
JP-POL-002	V01	V01-L003	`p-005.xhtml ¶083–086`	`人間ではないのだから` / `情報処理装置`	`EXACT_VERIFIED` / `PF/MI/LI`	`p-005.xhtml ¶083–086`	`人間ではないのだから` / `情報処理装置`	PASS_SOURCE_EXACT	エイティシックスは人間ではないのだから、奴らを乗せればそれは有人機ではなく無人機だ。 / 共和国工廠自律式無人戦闘機械〈ジャガーノート〉。 / 人的損害を完全に零にする先進的かつ人道的な兵器として、市民の絶賛とともに投入された。 / エイティシックスの操縦士を情報処理装置と定義して搭載した、有人搭乗式の無人機である。
JP-POL-007	V07	V07-L012	`p-007.xhtml ¶363`	`家畜でも...無人機の部品でもない`	`EXACT_VERIFIED` / `CS/LI`	`p-007.xhtml ¶363`	`おれは家畜でもなければ無人機の部品でもない`	PASS_SOURCE_EXACT	「弁えているから、言っています。おれは家畜でもなければ無人機の部品でもない。......大攻勢で滅びた共和国とその市民が人類を超越した優良種でないのと、同じように」
