case_id	audience_orientation	subculture_category	relationship_dependency	confidence	notes	scope_boundary	next_action
DJFW_CASE_0001	R18 yuri/otaku doujin with male-oriented visual grammar	Lycoris Chisato/Takina canon-dyad intensification	high; dyad recognition is central	medium_high	Scenario-driven but not fully interchangeable; depends on Chisato/Takina baseline.	non-graphic classification only	Compare against other Lycoris and yuri R18 cases.
DJFW_CASE_0002	R18 Cinderella Girls Minami/Producer fanwork	costume/body-premise romantic fanwork	medium-high; Minami identity and Producer familiarity matter	high	Not fully interchangeable; narrowed around visual premise.	non-graphic classification	Compare with telomereNA 0003-0005.
DJFW_CASE_0003	R18 Cinderella Girls Minami/Producer fanwork	role-play / maid master-servant transformation	high; ordinary Minami/P relationship is explicit substrate	high	Role grammar is character-dependent rather than pure costume substitution.	non-graphic classification	Use as role-performance comparator.
DJFW_CASE_0004	R18 ongoing Minami/Producer fanwork series/compilation	relationship-duration / icha-love continuity	high; repeated pair continuity central	high	Accretive continuation rather than one premise.	non-graphic classification	Use as duration comparator.
DJFW_CASE_0005	R18 Minami/Producer adulthood-romance fanwork	private adulthood / icha-love self-authorization	high; character-specific age/adulthood symbolism and Minami/P relation central	high	Strongest quartet character-specific adult/desire frame.	non-graphic classification	Use as autonomy comparator.
DJFW_CASE_0006	R18 Gakuen Idolmaster Hiro/P scenario	frailty/body-risk negative control	medium; Hiro's weak body matters more than Hiro's deeper grammar	high	Scenario mechanism dominates character dependency.	non-graphic classification	Retain as negative control.
DJFW_CASE_0007	R18 Hiro/P occult AU for Gakuen Idolmaster readers	folklore-horror / transformative character AU	very high; story architecture depends on Hiro/P specificity	high	Strongest current long-form character-dependent Hiro fanwork.	non-graphic classification	Use as transformative fidelity benchmark.
DJFW_CASE_0008	R18 multi-author Gakumas roster anthology	motif catalog / roster-fantasy anthology	low-to-medium at whole-work level; some microsegment character specificity	high	Hiro material is two small contributor pieces, not the anthology's governing identity.	non-graphic classification	Use as roster-anthology comparator.
DJFW_CASE_0009	R18 multi-author Gakumas icha-love anthology	romantic roster anthology with character-specific contributor segments	high within mameojitan Hiro segment; variable anthology-wide	high	Hiro segment depends unusually strongly on Hiro/P relational grammar.	non-graphic segment analysis	Use as short-form high-fidelity anthology comparator.
DJFW_CASE_0010	explicit minor-coded Idolmaster fetish-machine fanwork	creator-machine / interchangeable roster negative control	very low character dependency	high	The authorial mechanism persists when character names/designs change.	categorical-only; no explicit detail	Use for subjecthood/interchangeability taxonomy only.
