search_family	raw_family_hit_rows
RETURN_KAERU	498
RETURN_MODORU	410
RETURN_KANRU	36
MILITARY_RETURN	101
DEPART_RETURN_SPEECH	19
HOME_FURUSATO	114
HOMELAND_SOKOKU	181
TOGETHER_ISSHO	197
TOGETHER_TOMONI	338
WAIT_LEAVE_BEHIND	459
PRIDE	226
CURSE	79
WISH_BOND_PRAYER	225
EXCLUSIVITY_SHIKA	201
FREEDOM	117
EQUALITY_RIGHTS	65
JUSTICE	92
ILLUSION	12
SUPPORT	118
OBEY	169
TRUST	199
RELY	101
COMMAND_REQUEST	1669
DESIRE_CHOICE	475
FUTURE_TIME	3527
PERSONHOOD_SELF	140
ROLE_DESTINY	195
DEATH_GOD_UNDERTAKER	729
QUEEN_TITLE	274
ADDRESS_FORMS	3370
FORGIVE_ALLOW	236
REVISION_MOU	31
JUSTICE_ASPIRATIONAL	7
JUSTICE_DECLARATIVE	2
MORAL_RETURN	3
ALIVE_GRAMMAR	6
PAIN_PLAIN	16
