case_id	source_id	raw_package_file_id	raw_folder_id	extraction_folder_id	contact_sheet_folder_id	case_reading_doc_id	baseline_doc_id	source_state	notes
DJFW_CASE_0001	DJFW_SOURCE_0001	1LEYqha_nOxztyb6-Mfo-lvHhjM7jRnXY	1TutNro9m8LVJFc3TwJtkF2Nmdu9S0BAZ	1X1Vw2r9SRNkyZqeQ5iExAw1xkpFUGmCX	1kLLn7UMOGqrEquGOe75L9HHh-rnfphXq	1w78_WUdclMxL3W5ppQwKCUwZhvOAIfnJmLRdlNfpzus	1wPgEZfLURU_kvLQmYuOEyK4yx0zSCO1uZcdrrnoezb8	uploaded_extracted_manifested	Raw CBZ in Drive; extraction manifests and safe blurred contact sheet uploaded.
DJFW_CASE_0002	DJFW_SOURCE_0002	100TPFWefp7y9BXW5LIctWWCFwZFMkx_P	1VYmFnOoAHqKtJjLB_TTS09XQ4RMPlsEE			13BuHxC1io1nu_PH_OLkYs47eYr4j7iTb	1Tno1Y_-ipFuokgTbHjJpc_qDvIyzA8i8	uploaded_locked_reviewed	Canonical V1 continuous-sequential reading; local extraction derivatives not uploaded.
DJFW_CASE_0003	DJFW_SOURCE_0003	1fhZXPrHMnKu3D6bAByZdq_OMOEoGVt_9	1q9O_q0NhIm36yVVw2EZGi0g4yVSL89UX			1pnpnXVvKoJCI2JAH0NYbP9G_uke05djr	1Tno1Y_-ipFuokgTbHjJpc_qDvIyzA8i8	uploaded_locked_reviewed	Canonical V1 continuous-sequential reading; local extraction derivatives not uploaded.
DJFW_CASE_0004	DJFW_SOURCE_0004	1hiEdgcXkBZv5iGKQIKVPqkxK72GfjiiC	1Y7OZRK9FLMP3OxQug5Y56NQ6Er3qcLWh			1wNIxtxqfQ6kOo1DzqINQev-CsjSZ2c0q	1Tno1Y_-ipFuokgTbHjJpc_qDvIyzA8i8	uploaded_locked_reviewed	Canonical V1 continuous-sequential reading; local extraction derivatives not uploaded.
DJFW_CASE_0005	DJFW_SOURCE_0005	1Dl_XiR0tiUmcMcy4Uq2ZUrmuIyrdcdEz	1zmEWCVl8L5TI92fx93aKKtPsyqP18yPR			1jou_7pnJHL2-VC-DszBVIPLB4I-bvh2W	1Tno1Y_-ipFuokgTbHjJpc_qDvIyzA8i8	uploaded_locked_reviewed	Canonical V1 continuous-sequential reading; local extraction derivatives not uploaded.
DJFW_CASE_0006	DJFW_SOURCE_0006	12DeCjZU_smIGvwn0ZIVKsWkNMcGVHTXe	1BGABed0QhM_pvf-R37JjDCkHpa4so5FQ			1xzAo58DzPoMS0DHWPc3DdM1Xj_t3A3xL	1LhYxmUiGNvWqvL6fNO7vpV198VlfV-8V	uploaded_locked_reviewed	V2 canonical; prior V1 first pass marked superseded.
DJFW_CASE_0007	DJFW_SOURCE_0007	1IGbaXQ-XPOGuhv3gGfWGNRDMTV9urGt9	1NuB2t9VnwmnfHxrjI0gSmtUu2RYTvsj5			1JDkoHmW68v91EoefFS1kaTWH0DoFoOEf	1LhYxmUiGNvWqvL6fNO7vpV198VlfV-8V	uploaded_locked_reviewed	V2 canonical; prior V1 first pass marked superseded.
DJFW_CASE_0008	DJFW_SOURCE_0008	1kxfqTIFGnr6AvPOpcu254mLh4gZ7pJde	1HZVUtkBLKk2g5DuzSihj9z4PWA12sNja			1H2w_TEQOr0mIukg7JYduZdYlE2BgCpz0	1LhYxmUiGNvWqvL6fNO7vpV198VlfV-8V	uploaded_locked_exact_duplicate_resupply	V2 canonical; same case identity; prior V1 first pass superseded.
DJFW_CASE_0009	DJFW_SOURCE_0009	1ENGEE7YSGEVtdYILqgTg161oTakPJVbg	1evWP0UR8aCW5WfYlYV2LlqQD9SuNoOPu			1mqpgYimEyitiIOgx_lW8P2D_EfbOvVxh	1LhYxmUiGNvWqvL6fNO7vpV198VlfV-8V	uploaded_locked_reviewed	V2 canonical materially revises prior OPEN fidelity state.
DJFW_CASE_0010	DJFW_SOURCE_0010	1CS9OUe8bmXQxO8tPnNFIgohxzeXEqM5E	1h5_SAHSF12tnviBSSLcQo-VZmq7cri8o			1H8sBFuZT85996KCEMyHRh5wbT0SXcDO3		uploaded_locked_categorical_only	V2 categorical authority; no detailed baseline or explicit OCR needed for negative-control classification.
