evidence_id	source	source_locator	prior_locator_id	short_japanese_anchor	quote_state	evidence_class	analytic_function	note
T05-E001	V02	Ch.2 / `p-005.xhtml ¶497`	V02-L019	人は常に、その人唯一つの存在	EXACT_VERIFIED	CS	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E002	V02	Ch.5 / `p-008.xhtml ¶282`	V02-L043	退却という思考はそもそもなかった	EXACT_VERIFIED	NV/MI	withdrawal_return_and_recovery	Retained from canonical volume locator after contextual rereading for T05.
T05-E003	V03	Ch.6 / `p-006.xhtml ¶169`	V03-L017	そなたに死なれたくはない	EXACT_VERIFIED	CS	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E004	V03	Ch.7 / mission departure	V03-L018	戦争が終わるまで生き残ること	EXACT_VERIFIED	CS/MI	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E005	V03	Ch.7 / mission departure	V03-L019	この先何度でも	EXACT_VERIFIED	CS	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E006	V03	Ch.8 / `p-009.xhtml ¶089`	V03-L021	必ず帰れ	EXACT_VERIFIED	CS	withdrawal_return_and_recovery	Retained from canonical volume locator after contextual rereading for T05.
T05-E007	V03	Ch.8 / `p-009.xhtml ¶326`	V03-L022	生きて帰ってくるつもりもなかった	EXACT_VERIFIED	CS	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E008	V03	Ch.8 / `p-009.xhtml ¶347`	V03-L025	俺は、死にたくねえ。それだけだ	EXACT_VERIFIED	CS/LI	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E009	V03	Ch.8 / `p-009.xhtml ¶355`	V03-L027	一人で戦おうとすんじゃねえ	EXACT_VERIFIED	CS/LI	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E010	V04	Ch.4 / `p-008.xhtml ¶77`	V04-L019	共和国人のために、エイティシックスに犠牲を	EXACT_VERIFIED	CS/MI	sacrifice_and_survival_doctrine	Retained from canonical volume locator after contextual rereading for T05.
T05-E011	V04	Shepherd surge / `p-009.xhtml ¶79`	V04-L024	別に死にたいわけじゃないからな	EXACT_VERIFIED	CS	distributed_capability_and_military_ethics	Retained from canonical volume locator after contextual rereading for T05.
T05-E012	V04	Shepherd surge / `p-009.xhtml ¶83`	V04-L025	戦隊副長としての俺の権利と責任	EXACT_VERIFIED	CS/LI/MI	command_succession_and_delegation	Retained from canonical volume locator after contextual rereading for T05.
T05-E013	V04	Shepherd surge / `p-009.xhtml ¶88`	V04-L026	指揮は任せていいか	EXACT_VERIFIED	CS/BA	command_succession_and_delegation	Retained from canonical volume locator after contextual rereading for T05.
T05-E014	V04	interlude / `p-011.xhtml ¶42`	V04-L032	誰か迎えに寄越してもらえませんか	EXACT_VERIFIED	CS/BA	withdrawal_return_and_recovery	Retained from canonical volume locator after contextual rereading for T05.
T05-E015	V05	Ch.3 / `p-006.xhtml ¶759`	V05-L028	撤退は、れっきとした戦術行動です	EXACT_VERIFIED	CS/MI/LI	withdrawal_return_and_recovery	Retained from canonical volume locator after contextual rereading for T05.
T05-E016	V05	interlude / `p-009.xhtml ¶333–336`	V05-L042	英雄とはもはや、弱者の戦術だ	EXACT_VERIFIED	NV/LI/MI	hero_identity_and_exceptionalism	Retained from canonical volume locator after contextual rereading for T05.
