base_commit	operation	previous_git_path	current_git_path	previous_git_sha256	current_git_sha256	transformation
df03cc7e41cde31d101d064da5da868febb6089b	MOVE	series/gakuen-idolmaster/03_SOURCE_FACING_READINGS/01_CHARACTER_CORE_READINGS/01_HANAMI_SAKI/GKM_PHASE3_SAKI_AUDIOVISUAL_ARTIFACT_CHECKSUMS.sha256	series/gakuen-idolmaster/05_AUDIOVISUAL_ANALYSIS/01_HANAMI_SAKI/GKM_PHASE3_SAKI_AUDIOVISUAL_ARTIFACT_CHECKSUMS.sha256	ad5a002e71261b9b705594f720e1add321719954968e74b7e12686990fb524b2	ad5a002e71261b9b705594f720e1add321719954968e74b7e12686990fb524b2	MOVE_ONLY
df03cc7e41cde31d101d064da5da868febb6089b	MOVE	series/gakuen-idolmaster/03_SOURCE_FACING_READINGS/01_CHARACTER_CORE_READINGS/01_HANAMI_SAKI/GKM_PHASE3_SAKI_AUDIOVISUAL_COMPLETION_REPORT.md	series/gakuen-idolmaster/05_AUDIOVISUAL_ANALYSIS/01_HANAMI_SAKI/GKM_PHASE3_SAKI_AUDIOVISUAL_COMPLETION_REPORT.md	90fc7cf1d4bc6be2e03bace8d139d0dc3fde47f5ff5da3ca0e68e385fcc48096	90fc7cf1d4bc6be2e03bace8d139d0dc3fde47f5ff5da3ca0e68e385fcc48096	MOVE_ONLY
df03cc7e41cde31d101d064da5da868febb6089b	MOVE	series/gakuen-idolmaster/03_SOURCE_FACING_READINGS/01_CHARACTER_CORE_READINGS/01_HANAMI_SAKI/GKM_PHASE3_SAKI_AV_DELIVERY_AUDIT.md	series/gakuen-idolmaster/05_AUDIOVISUAL_ANALYSIS/01_HANAMI_SAKI/GKM_PHASE3_SAKI_AV_DELIVERY_AUDIT.md	bcae874896592dcca9b6719d49f2a1b0ebb991198fd31184da840425c5bb7755	bcae874896592dcca9b6719d49f2a1b0ebb991198fd31184da840425c5bb7755	MOVE_ONLY
df03cc7e41cde31d101d064da5da868febb6089b	MOVE	series/gakuen-idolmaster/03_SOURCE_FACING_READINGS/01_CHARACTER_CORE_READINGS/02_TSUKIMURA_TEMARI/GKM_PHASE3_TEMARI_AUDIOVISUAL_ARTIFACT_CHECKSUMS.sha256	series/gakuen-idolmaster/05_AUDIOVISUAL_ANALYSIS/02_TSUKIMURA_TEMARI/GKM_PHASE3_TEMARI_AUDIOVISUAL_ARTIFACT_CHECKSUMS.sha256	0646d769f68fc4a2df5c3e2a5b90fa9e97870feae7ce9a974251139558c819a9	0646d769f68fc4a2df5c3e2a5b90fa9e97870feae7ce9a974251139558c819a9	MOVE_ONLY
df03cc7e41cde31d101d064da5da868febb6089b	MOVE	series/gakuen-idolmaster/03_SOURCE_FACING_READINGS/01_CHARACTER_CORE_READINGS/02_TSUKIMURA_TEMARI/GKM_PHASE3_TEMARI_AUDIOVISUAL_COMPLETION_REPORT.md	series/gakuen-idolmaster/05_AUDIOVISUAL_ANALYSIS/02_TSUKIMURA_TEMARI/GKM_PHASE3_TEMARI_AUDIOVISUAL_COMPLETION_REPORT.md	bdeea77d932a4b9ca3db664c27ae900decca72c568e8c095d300bc9abcf8c2f3	bdeea77d932a4b9ca3db664c27ae900decca72c568e8c095d300bc9abcf8c2f3	MOVE_ONLY
df03cc7e41cde31d101d064da5da868febb6089b	MOVE	series/gakuen-idolmaster/03_SOURCE_FACING_READINGS/01_CHARACTER_CORE_READINGS/02_TSUKIMURA_TEMARI/GKM_PHASE3_TEMARI_AV_DELIVERY_AUDIT.md	series/gakuen-idolmaster/05_AUDIOVISUAL_ANALYSIS/02_TSUKIMURA_TEMARI/GKM_PHASE3_TEMARI_AV_DELIVERY_AUDIT.md	b8467990abe5f6b4436590c6dd08d42c107b53b5445a6a313f593f17fe51d27b	b8467990abe5f6b4436590c6dd08d42c107b53b5445a6a313f593f17fe51d27b	MOVE_ONLY
df03cc7e41cde31d101d064da5da868febb6089b	MOVE	series/gakuen-idolmaster/03_SOURCE_FACING_READINGS/01_CHARACTER_CORE_READINGS/03_FUJITA_KOTONE/GAKUEN_IDOLMASTER_PHASE3_KOTONE_COMPLETE_AUDIOVISUAL_BASELINE.zip.sha256	series/gakuen-idolmaster/05_AUDIOVISUAL_ANALYSIS/03_FUJITA_KOTONE/GAKUEN_IDOLMASTER_PHASE3_KOTONE_COMPLETE_AUDIOVISUAL_BASELINE.zip.sha256	5fcf95fab66b9f7ab0e01b2b7a19b7c6eee9c7cadd87fb75d357325f0cb32866	5fcf95fab66b9f7ab0e01b2b7a19b7c6eee9c7cadd87fb75d357325f0cb32866	MOVE_ONLY
df03cc7e41cde31d101d064da5da868febb6089b	MOVE	series/gakuen-idolmaster/03_SOURCE_FACING_READINGS/01_CHARACTER_CORE_READINGS/03_FUJITA_KOTONE/GKM_PHASE3_KOTONE_AUDIOVISUAL_ARTIFACT_CHECKSUMS.sha256	series/gakuen-idolmaster/05_AUDIOVISUAL_ANALYSIS/03_FUJITA_KOTONE/GKM_PHASE3_KOTONE_AUDIOVISUAL_ARTIFACT_CHECKSUMS.sha256	41735bb3f8df08ece07755d48cb7a34b8b20027986cbe035660caed0426e80bf	41735bb3f8df08ece07755d48cb7a34b8b20027986cbe035660caed0426e80bf	MOVE_ONLY
df03cc7e41cde31d101d064da5da868febb6089b	MOVE	series/gakuen-idolmaster/03_SOURCE_FACING_READINGS/01_CHARACTER_CORE_READINGS/03_FUJITA_KOTONE/GKM_PHASE3_KOTONE_AUDIOVISUAL_COMPLETION_REPORT.md	series/gakuen-idolmaster/05_AUDIOVISUAL_ANALYSIS/03_FUJITA_KOTONE/GKM_PHASE3_KOTONE_AUDIOVISUAL_COMPLETION_REPORT.md	3a283acc26beb61b0ab11ae2fee541d38374e54b3ed04ae8bf4c45ce1a2b8c3a	3a283acc26beb61b0ab11ae2fee541d38374e54b3ed04ae8bf4c45ce1a2b8c3a	MOVE_ONLY
df03cc7e41cde31d101d064da5da868febb6089b	MOVE	series/gakuen-idolmaster/03_SOURCE_FACING_READINGS/01_CHARACTER_CORE_READINGS/03_FUJITA_KOTONE/GKM_PHASE3_KOTONE_AV_DELIVERY_AUDIT.md	series/gakuen-idolmaster/05_AUDIOVISUAL_ANALYSIS/03_FUJITA_KOTONE/GKM_PHASE3_KOTONE_AV_DELIVERY_AUDIT.md	204086aa79e92a5652261fc43b162ddf01453f26ebc40ed9eab6333a327ac80e	204086aa79e92a5652261fc43b162ddf01453f26ebc40ed9eab6333a327ac80e	MOVE_ONLY
