case_id	unit	subjecthood_outcome	agency_state	interiority_state	confidence	notes	scope_boundary	notes
DJFW_CASE_0001	main Chisato/Takina dyad	partially_subject_preserving	motives and relational pressure remain legible	medium; no full OCR	medium_high	R18 frame narrows both characters but does not fully erase dyad logic.	main story only	
DJFW_CASE_0001	cafe/teacher gag scaffolding	subject_reducing	gag/training mechanism	low	medium	More useful as institutional-training comedy than character study.	non-graphic summary only	
DJFW_CASE_0001	bonus boundary material	out_of_scope_for_detailed_erotic_analysis	not analyzed	not analyzed	high for boundary decision	Logged categorically only; no graphic/detail analysis.	excluded from detailed reading	
DJFW_CASE_0002	Nitta Minami	partially_subject_preserving	active/playful choices remain legible but narrowed by body/costume premise	limited; broader life/self-authoring architecture absent	high	Not interchangeable, but substantially narrowed.	full work, non-graphic structural analysis	
DJFW_CASE_0003	Nitta Minami	substantially_subject_preserving_in_narrowed_frame	role is consciously performed/negotiated rather than merely imposed	moderate; role-play remains connected to ordinary affectionate Minami/P	high	Transformation is bridged through role and implied time.	full work, non-graphic structural analysis	
DJFW_CASE_0004	Nitta Minami	variable_partially_to_substantially_preserved	stronger in ordinary-life resets; thinner in long scenario-driven passages	moderate across complete compilation	high	Temporal continuity preserves personhood better than a single-scene premise, but not uniformly.	full work, non-graphic structural analysis	
DJFW_CASE_0005	Nitta Minami	substantially_subject_preserving	private adulthood/desire is self-authored within romantic frame	moderate-high; adult symbolism simplified but Minami remains chooser	high	Strongest quartet adult/desire case.	full work, non-graphic structural analysis	
DJFW_CASE_0006	Shinosawa Hiro	subject_reducing	bodily consequence overtakes authored challenge	low	high	Real Hiro vulnerability used as mechanism rather than self-authored difficulty.	full work, non-graphic structural analysis	
DJFW_CASE_0007	Shinosawa Hiro	strongly_subject_preserving_AU	investigator/exorcist competence and choice organize the story	high; oddity becomes world-facing method	high	AU ontology changes while Hiro remains an acting subject.	full work; explicit pages structural-only	
DJFW_CASE_0008	two Hiro micro-segments	subject_reducing_microform	some evaluative agency survives within motif-first premises	low	high	Micro-fidelity is not full subjecthood.	mapped Hiro segments only	
DJFW_CASE_0009	Hiro / Producer, mameojitan segment	substantially_subject_preserving_short_form	Hiro evaluates body limits, relationship constraints, and difficult path as participant/chooser	medium-high within eight-page form	high	Short form preserves enough agency and relational interiority to retire prior OPEN state.	mapped safe Hiro segment evidence; explicit middle not described	
DJFW_CASE_0010	multi-idol roster / Hiro visual cameo	subject_erasing_or_functionally_annihilating	character decisions are non-governing relative to repeated creator-machine scenario	none usable	high for categorical determination	Visual presence does not amount to character authorship.	categorical-only; no explicit scene analysis	
