source_id	title	class	duration_seconds	mean_volume_dbfs	max_volume_dbfs	analysis_note
RINAMI-P01	clumsy trick 3DMV	performance	161.587664	-18.6	-0.4	whole supplied mix; volumedetect descriptor; not an isolated vocal stem
RINAMI-P02	clumsy trick official MV	performance	232.176327	-11.6	0.0	whole supplied mix; volumedetect descriptor; not an isolated vocal stem
RINAMI-P03	L.U.V 3DMV	performance	200.736508	-19.3	-0.0	whole supplied mix; volumedetect descriptor; not an isolated vocal stem
RINAMI-P04	L.U.V full-song presentation	performance	251.366009	-12.9	0.0	whole supplied mix; volumedetect descriptor; not an isolated vocal stem
RINAMI-P05	36℃ U･B･U 3DMV	performance	169.15737	-16.7	-0.4	whole supplied mix; volumedetect descriptor; not an isolated vocal stem
RINAMI-P06	36℃ U･B･U official MV	performance	251.634649	-16.6	-1.1	whole supplied mix; volumedetect descriptor; not an isolated vocal stem
RINAMI-P07	Campus mode!! 3DMV	performance	160.380227	-17.3	-0.4	whole supplied mix; volumedetect descriptor; not an isolated vocal stem
RINAMI-P08	ガラクタロード 3DMV	performance	164.118639	-18.2	-0.4	whole supplied mix; volumedetect descriptor; not an isolated vocal stem
RINAMI-P09	Howling over the World 3DMV	performance	111.386122	-17.8	-0.2	whole supplied mix; volumedetect descriptor; not an isolated vocal stem
RINAMI-P10	SUGAR FLAVOR duet 3DMV	performance	138.646349	-15.8	-0.2	whole supplied mix; volumedetect descriptor; not an isolated vocal stem
RINAMI-P11	SUGAR FLAVOR official MV	performance	188.104853	-12.6	-0.0	whole supplied mix; volumedetect descriptor; not an isolated vocal stem
RINAMI-P12	歌声は君いろ official MV	performance	278.314376	-12.1	0.0	whole supplied mix; volumedetect descriptor; not an isolated vocal stem
RINAMI-P13	ENDLESS DANCE 3DMV	performance	109.389206	-15.5	-0.4	whole supplied mix; volumedetect descriptor; not an isolated vocal stem
RINAMI-P14	がむしゃらに行こう！ 3DMV	performance	109.644626	-17.8	-0.3	whole supplied mix; volumedetect descriptor; not an isolated vocal stem
RINAMI-P15	ミラクルナナウ(ﾟ∀ﾟ)！ 3DMV	performance	116.819592	-18.0	-0.0	whole supplied mix; volumedetect descriptor; not an isolated vocal stem
RINAMI-P16	初 [Rinami] song video	performance	153.878639	-19.7	-6.4	whole supplied mix; volumedetect descriptor; not an isolated vocal stem
