source_id	filename	role	duration_s	estimated_tempo_bpm	rms_dbfs_median	rms_dbfs_p10	rms_dbfs_p90	spectral_centroid_hz_median	spectral_rolloff85_hz_median	zero_crossing_rate_median	dominant_mean_chroma_pitch_class	method_limit	logical_identity
AV-UME-010	4K HDR「The Rolling Riceball」(花海佑芽 SSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4	rendered_3dmv_performance	157.709932	93.75	-18.241085052490234	-27.72333335876465	-15.188468933105469	2211.025381195441	4382.8125	0.1826171875	F	Complete-mix descriptor; arrangement, mastering, crowd, and effects are inseparable from the vocal.	the_rolling_riceball_3dmv
AV-UME-011	初星学園 「The Rolling Riceball」Official Music Video (HATSUBOSHI GAKUEN - The Rolling Riceball)-(1080p30).mp4	authored_official_mv	191.936145	93.75	-11.402524948120117	-16.146177291870117	-9.550901412963867	2422.1262222994146	4656.25	0.201171875	F	Complete-mix descriptor; arrangement, mastering, crowd, and effects are inseparable from the vocal.	the_rolling_riceball_official_mv
AV-UME-012	4K HDR「グースーピー」 (花海佑芽 ソロ2 SSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4	rendered_3dmv_performance	184.38966	133.92857142857142	-17.18102264404297	-30.285633087158203	-14.975113868713379	2326.3647725168466	4703.125	0.17822265625	G#	Complete-mix descriptor; arrangement, mastering, crowd, and effects are inseparable from the vocal.	gooseypy_3dmv
AV-UME-013	グースーピー-(1080p25).mp4	full_song_video_asset	181.52	104.16666666666667	-12.796594619750977	-18.228044509887695	-10.714526176452637	2420.742031467391	4929.6875	0.17822265625	G#	Complete-mix descriptor; arrangement, mastering, crowd, and effects are inseparable from the vocal.	gooseypy_full_song_video_asset
AV-UME-014	初星学園 「真っ白いページと水彩の主人公」Official Music Video (A Blank White Page and a Watercolor Hero)-(1080p24).mp4	authored_official_mv	226.139138	104.16666666666667	-11.035694122314453	-14.09070873260498	-9.842849731445312	2037.432106496251	4226.5625	0.1455078125	C#	Complete-mix descriptor; arrangement, mastering, crowd, and effects are inseparable from the vocal.	white_page_watercolor_protagonist_official_mv
AV-UME-015	4K HDR「Campus mode!!」(花海佑芽 フェスSSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4	rendered_3dmv_performance	160.960726	93.75	-17.83745002746582	-26.386856079101562	-15.83803653717041	2239.5618235537568	4570.3125	0.1796875	B	Complete-mix descriptor; arrangement, mastering, crowd, and effects are inseparable from the vocal.	campus_mode_3dmv
AV-UME-016	4K HDR「GO MY WAY!! 」(花海佑芽 カバー SSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4	rendered_3dmv_performance	143.31356	117.1875	-16.942119598388672	-27.725597381591797	-14.4264554977417	2249.667351707986	4593.75	0.17041015625	E	Complete-mix descriptor; arrangement, mastering, crowd, and effects are inseparable from the vocal.	go_my_way_3dmv
AV-UME-017	【学マス】花海 佑芽 誕生日記念Single「つよつよ最強エクササイズ」- Game Sizeリリックビデオ CD予約受付中！【アイドルマスター】-(1080p24).mp4	official_lyric_video	143.638639	133.92857142857142	-11.525392532348633	-17.962339401245117	-9.392768859863281	2494.0838557219945	4937.5	0.1787109375	C#	Complete-mix descriptor; arrangement, mastering, crowd, and effects are inseparable from the vocal.	tsuyotsuyo_saikyo_exercise_official_lyric_video
AV-UME-018	つよつよ最強エクササイズ-(1080p25).mp4	full_song_video_asset	184.516009	133.92857142857142	-11.341906547546387	-17.55087661743164	-9.281126976013184	2531.8942843022505	5000.0	0.18017578125	C#	Complete-mix descriptor; arrangement, mastering, crowd, and effects are inseparable from the vocal.	tsuyotsuyo_saikyo_exercise_full_song_asset
AV-UME-019	4K HDR「ENDLESS DANCE」(花海佑芽 SSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4	rendered_3dmv_performance	109.714286	156.25	-16.419546127319336	-87.53787994384766	-14.17879581451416	2473.976479951446	4835.9375	0.18896484375	A	Complete-mix descriptor; arrangement, mastering, crowd, and effects are inseparable from the vocal.	endless_dance_3dmv
AV-UME-020	4K HDR「Howling over the World」 (花海佑芽 ソロ SSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4	rendered_3dmv_performance	111.757642	133.92857142857142	-17.59784507751465	-63.986724853515625	-14.952057838439941	2358.0462349510326	4640.625	0.17724609375	A	Complete-mix descriptor; arrangement, mastering, crowd, and effects are inseparable from the vocal.	howling_over_the_world_3dmv
AV-UME-021	4K HDR「ミラクルナナウ(ﾟ∀ﾟ)！」 (花海佑芽 SSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4	rendered_3dmv_performance	115.333515	117.1875	-19.038976669311523	-93.55152893066406	-15.485663414001465	2640.872346204651	5132.8125	0.18359375	A	Complete-mix descriptor; arrangement, mastering, crowd, and effects are inseparable from the vocal.	miracle_nanau_3dmv
