rank	id	title	tier	total	S	O	C	I	R	J	H	D	opens	operation	chronology	caveat	confidence	rationale
1	event_2025_007_st-eve-2508-free	st-eve-2508-free	E1_CORE	21	4	4	3	3	3	2	2	0	OPEN-07,OPEN-08,OPEN-09,OPEN-10,OPEN-16	REVISION	LATE_GAME_US_ARC_PART2		HIGH	IIIX reverses dissolution only after each member re-authors a reason to continue; fran forces miho to confront her own failure to publicly preserve Yō, directly entering the Tier-A deferred memory question.
2	event_2025_005_st-eve-2507-free	st-eve-2507-free	E1_CORE	21	4	4	3	3	3	2	2	0	OPEN-07,OPEN-08,OPEN-09,OPEN-10,OPEN-16	REVISION	LATE_GAME_US_ARC_PART1		HIGH	IIIX US arc dismantles each member's inherited reason to continue: kana finds her father, fran receives investment pressure, and miho watches Yō erased from public narrative before the unit chooses dissolution.
3	event_2026_007_st-eve-2607-marathon-raid	PRIDE貫く頂点への道標	E1_CORE	21	4	4	3	3	3	2	2	0	OPEN-06,OPEN-07,OPEN-08	REVISION	LATE_GAME_POST_STELLAR_LIKELY		HIGH	Sunny voluntarily seeks DoriKyun pressure; DoriKyun finally articulates an anti-exploitation industry mission and recognizes Sunny as genuine, materially revising the antagonist/mentor ledger.
4	event_2022_007_st-eve-2207-contest	Happy Smile Selfie	E1_CORE	21	4	4	3	3	3	2	2	0	OPEN-05,OPEN-10,OPEN-16	CHRONOLOGY_CORRECTION	POST_IIIX_HOSHIMI_TRANSFER		HIGH	IIIX immediately after Hoshimi transfer confronts reduced agency privilege, reputational damage and new institutional dependence while insisting the unit remains self-authored.
5	event_2023_006_st-eve-2306-contest	星々が奇跡と叶える約束の未来	E1_CORE	21	4	4	3	3	3	2	2	0	OPEN-14,OPEN-18	REVISION	POST_ANIME_HOSHIMI_EXPANSION		HIGH	Mana/Haruko/Saegusa institutional history and the unfulfilled duet promise are inherited by the next generation, making Hoshimi continuity concrete rather than metaphorical.
6	event_2024_005_st-eve-2405-race	すれ違いのディソナンス	E1_CORE	21	4	4	3	3	3	2	2	0	OPEN-07,OPEN-13,OPEN-16	REVISION	POST_ANIME_PRE_STELLAR		HIGH	LizNoir clashes over an external producer who asks them to trade recognizability for growth; the arc ends on the unresolved question of what may be sacrificed for the top.
7	event_2024_011_st-eve-2411-race	欺瞞の最強TWINkle	E1_CORE	21	4	4	3	3	3	2	2	0	OPEN-05,OPEN-08,OPEN-16	REVISION	POST_BIG4_LIKELY		HIGH	Kokoro and kana manufacture a convincing friendship persona for work while school/career strain and kana's father-motive expose the cost and utility of performed authenticity.
8	event_2023_011_st-eve-2311-marathon-raid	翔けぬけるVictoire　誓いのplume	E1_CORE	20	4	4	3	2	3	2	2	0	OPEN-07,OPEN-08,OPEN-11	REVISION	POST_NEXT_VENUS_PRE_STELLAR		HIGH	TRINITYAiLE responds to one loss with a 99-win safety strategy; fan evidence shows the loss was more memorable than the wins, directly attacking metric sovereignty.
9	event_2024_006_st-eve-2406-contest	君を照らすムーンライトロード	E1_CORE	20	4	4	3	2	3	2	2	0	OPEN-06,OPEN-07,OPEN-08	REVISION	BIG4_INTERCALATION_PRE_DORIKYUN_FINAL		HIGH	Immediately before the DoriKyun decision, Tsuki survives public hostility and encounters idols for whom defeat means either retirement or renewed continuation; loss is shown to have different moral qualities.
10	event_2021_004_st-eve-2110-marathon	煌めく奇跡をもう一度	E1_CORE	20	4	4	3	2	3	2	2	0	OPEN-17,OPEN-18	REVISION	POST_ANIME_HOSHIMI_EXPANSION		HIGH	Mana birthday ritual binds Makino dream-memory, local public memory, private grief, and annual commemoration; direct test of supernatural ambiguity and Hoshimi memory institution.
