case_id	baseline_artifact	baseline_type	drive_id	authority_state	use_for	confidence	notes	source_boundary	last_checked	status	next_action
DJFW_CASE_0001	CURRENT_STATE_AND_CORPUS_MAP.md	Lycoris current routing	1RhBkjdCamB7Sg4ZwljlBCi8RCTrZladm	canonical_first_read	authority routing	high	Active Lycoris first-read entrypoint.	V2 current project state	2026-08-28	active	Use before future Lycoris fanwork analysis.
DJFW_CASE_0001	06_Japanese_Character_Voice_and_Performance.md	voice/performance baseline	file_search_turn102file0	prior synthesis authority	surface voice and performed voice	high	Chisato elasticity; Takina containment and expanded bandwidth.	V1/full-series voice synthesis	2026-08-28	active_reference	Use for line-level comparison if OCR added.
DJFW_CASE_0001	02_Chisato_Takina_Relationship_and_Yuri.md	relationship baseline	file_search_turn102file1	prior synthesis authority	dyad grammar	high	Influence without ownership; 相棒/yuri-coded partnership.	V1/full-series relationship synthesis	2026-08-28	active_reference	Use for dyad comparisons.
DJFW_CASE_0001	08_Strengths_Unresolved_Tensions_and_Matrices.md	ethical/thematic baseline	file_search_turn102file2	prior synthesis authority	institutional/utilitarian theme	high	Self-authorship under inherited violence; person-vs-tool motif.	V1/full-series synthesis matrix	2026-08-28	active_reference	Use for DA/institutional parody comparison.
DJFW_CASE_0002	CINDERELLA_GIRLS_NITTA_MINAMI_CHARACTER_MONOGRAPH.md	mobile-game character monograph	16_uez2i4Qdq5GepkWF0uO24qjMlJB9V_	active_provisional_under_canonical_audit	Minami character/voice/relationship comparator	high	Anime continuity excluded from governing evidence.	Mobage + Deresute Minami corpus	2026-08-28	active_reference	Apply audit corrections alongside monograph.
DJFW_CASE_0002	CINDERELLA_GIRLS_NITTA_MINAMI_MONOGRAPH_AUDIT.md	canonical character-monograph audit	1Tno1Y_-ipFuokgTbHjJpc_qDvIyzA8i8	canonical	governing correction to Minami longitudinal model	high	Desire exists early; growth concerns preserving its authority amid responsibility.	Mobage + Deresute audit; anime excluded	2026-08-28	governing_reference	Use for all telomereNA Minami fidelity claims.
DJFW_CASE_0003	CINDERELLA_GIRLS_NITTA_MINAMI_CHARACTER_MONOGRAPH.md	mobile-game character monograph	16_uez2i4Qdq5GepkWF0uO24qjMlJB9V_	active_provisional_under_canonical_audit	Minami role-performance/relationship comparator	high	Public proper-Minami mode is authentic performance, not simple falsity.	Mobage + Deresute Minami corpus	2026-08-28	active_reference	Apply audit corrections alongside monograph.
DJFW_CASE_0003	CINDERELLA_GIRLS_NITTA_MINAMI_MONOGRAPH_AUDIT.md	canonical character-monograph audit	1Tno1Y_-ipFuokgTbHjJpc_qDvIyzA8i8	canonical	governing correction to transformation/agency claims	high	Role performance can be craft, pleasure, professionalism, and aspiration.	Mobage + Deresute audit; anime excluded	2026-08-28	governing_reference	Use for all telomereNA Minami fidelity claims.
DJFW_CASE_0004	CINDERELLA_GIRLS_NITTA_MINAMI_CHARACTER_MONOGRAPH.md	mobile-game character monograph	16_uez2i4Qdq5GepkWF0uO24qjMlJB9V_	active_provisional_under_canonical_audit	Minami ongoing-relationship comparator	high	Producer is evaluator, witness, attachment figure, and safe audience/co-traveler in later model.	Mobage + Deresute Minami corpus	2026-08-28	active_reference	Apply audit corrections alongside monograph.
DJFW_CASE_0004	CINDERELLA_GIRLS_NITTA_MINAMI_MONOGRAPH_AUDIT.md	canonical character-monograph audit	1Tno1Y_-ipFuokgTbHjJpc_qDvIyzA8i8	canonical	governing correction to longitudinal desire/responsibility model	high	Avoid reading length as automatic character depth; preserve recursive development.	Mobage + Deresute audit; anime excluded	2026-08-28	governing_reference	Use for all telomereNA Minami fidelity claims.
DJFW_CASE_0005	CINDERELLA_GIRLS_NITTA_MINAMI_CHARACTER_MONOGRAPH.md	mobile-game character monograph	16_uez2i4Qdq5GepkWF0uO24qjMlJB9V_	active_provisional_under_canonical_audit	Minami adulthood/desire comparator	high	Adult/child ambiguity remains live even after choosing idolhood.	Mobage + Deresute Minami corpus	2026-08-28	active_reference	Apply audit corrections alongside monograph.
DJFW_CASE_0005	CINDERELLA_GIRLS_NITTA_MINAMI_MONOGRAPH_AUDIT.md	canonical character-monograph audit	1Tno1Y_-ipFuokgTbHjJpc_qDvIyzA8i8	canonical	governing correction to first-person desire claim	high	Minami does not discover first-person desire late; later texts intensify/authorize an existing capacity.	Mobage + Deresute audit; anime excluded	2026-08-28	governing_reference	Use for all telomereNA Minami fidelity claims.
DJFW_CASE_0006	GKM_HIRO_COMPLETE_AUDIOVISUAL_BASELINE.md	canonical Hiro audiovisual baseline	1LhYxmUiGNvWqvL6fNO7vpV198VlfV-8V	canonical	Hiro body/difficulty/Producer comparator	high	Chosen impossibility becomes accountable attachment; frailty is not helplessness.	canonical Gakuen Idolmaster Hiro textual+AV baseline	2026-08-28	governing_reference	Use for Hiro fidelity and collapse-risk comparisons.
DJFW_CASE_0007	GKM_HIRO_COMPLETE_AUDIOVISUAL_BASELINE.md	canonical Hiro audiovisual baseline	1LhYxmUiGNvWqvL6fNO7vpV198VlfV-8V	canonical	Hiro AU transformation / Producer relation comparator	high	Tests whether ontology can change while difficult form and accountable attachment survive.	canonical Gakuen Idolmaster Hiro textual+AV baseline	2026-08-28	governing_reference	Use for long-form transformative AU benchmark.
DJFW_CASE_0008	GKM_HIRO_COMPLETE_AUDIOVISUAL_BASELINE.md	canonical Hiro audiovisual baseline	1LhYxmUiGNvWqvL6fNO7vpV198VlfV-8V	canonical	Hiro micro-fidelity comparator	high	Tests evaluative calm versus full difficult-form architecture in anthology microsegments.	canonical Gakuen Idolmaster Hiro textual+AV baseline	2026-08-28	governing_reference	Use for anthology micro-fidelity comparison.
DJFW_CASE_0009	GKM_HIRO_COMPLETE_AUDIOVISUAL_BASELINE.md	canonical Hiro audiovisual baseline	1LhYxmUiGNvWqvL6fNO7vpV198VlfV-8V	canonical	Hiro short-form voice/relationship comparator	high	Tests reciprocal constraint, frailty, shared dream, teasing, and accountable difficulty.	canonical Gakuen Idolmaster Hiro textual+AV baseline	2026-08-28	governing_reference	Use as strongest current short-form Hiro comparator.
